2014-07-28T18:16:39.040+0000: 32.727: [GC [PSYoungGen: 257728K->5050K(300608K)] 257728K->5058K(987584K), 0.0140350 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2014-07-28T18:16:43.428+0000: 37.115: [GC [PSYoungGen: 262778K->6668K(300608K)] 262786K->6684K(987584K), 0.0084320 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-28T18:16:45.669+0000: 39.356: [GC [PSYoungGen: 264389K->5680K(300608K)] 264405K->5704K(987584K), 0.0050910 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-28T18:16:47.470+0000: 41.157: [GC [PSYoungGen: 263408K->5874K(300608K)] 263432K->5906K(987584K), 0.0204490 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2014-07-28T18:16:49.298+0000: 42.985: [GC [PSYoungGen: 263602K->5744K(257088K)] 263634K->5784K(944064K), 0.0117840 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-28T18:16:50.934+0000: 44.620: [GC [PSYoungGen: 257072K->5664K(250880K)] 257112K->5712K(937856K), 0.0068810 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-28T18:16:52.649+0000: 46.336: [GC [PSYoungGen: 250848K->320K(239552K)] 250896K->5715K(926528K), 0.0129070 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2014-07-28T18:16:54.268+0000: 47.954: [GC [PSYoungGen: 239552K->416K(233984K)] 244947K->5867K(920960K), 0.0036810 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T18:16:55.842+0000: 49.528: [GC [PSYoungGen: 233952K->448K(228480K)] 239403K->5899K(915456K), 0.0043260 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-28T18:16:57.395+0000: 51.082: [GC [PSYoungGen: 228480K->512K(223232K)] 233931K->5963K(910208K), 0.0036180 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-28T18:16:58.918+0000: 52.605: [GC [PSYoungGen: 223232K->416K(218048K)] 228683K->5931K(905024K), 0.0056950 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:00.405+0000: 54.092: [GC [PSYoungGen: 218016K->256K(212928K)] 223531K->5811K(899904K), 0.0069960 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-28T18:17:01.863+0000: 55.550: [GC [PSYoungGen: 212928K->448K(208320K)] 218483K->6075K(895296K), 0.0041840 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-28T18:17:03.289+0000: 56.976: [GC [PSYoungGen: 208320K->480K(203776K)] 213947K->6171K(890752K), 0.0035710 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-28T18:17:04.680+0000: 58.367: [GC [PSYoungGen: 203744K->384K(199168K)] 209435K->6171K(886144K), 0.0042970 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:06.040+0000: 59.727: [GC [PSYoungGen: 199168K->320K(194816K)] 204955K->6179K(881792K), 0.0057740 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:07.371+0000: 61.058: [GC [PSYoungGen: 194816K->352K(198272K)] 200675K->6259K(885248K), 0.0027250 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:08.683+0000: 62.370: [GC [PSYoungGen: 190687K->320K(186624K)] 196595K->6283K(873600K), 0.0057760 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-28T18:17:09.960+0000: 63.647: [GC [PSYoungGen: 186624K->256K(189760K)] 192587K->6275K(876736K), 0.0025330 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:11.217+0000: 64.904: [GC [PSYoungGen: 182649K->512K(179136K)] 188668K->6611K(866112K), 0.0049280 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-28T18:17:12.442+0000: 66.129: [GC [PSYoungGen: 179136K->320K(175296K)] 185235K->6483K(862272K), 0.0042040 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:13.644+0000: 67.331: [GC [PSYoungGen: 175296K->388K(171904K)] 181459K->6607K(858880K), 0.0078020 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-28T18:17:14.821+0000: 68.507: [GC [PSYoungGen: 171844K->448K(168512K)] 178063K->6747K(855488K), 0.0045330 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:15.978+0000: 69.665: [GC [PSYoungGen: 168512K->320K(165120K)] 174811K->6699K(852096K), 0.0042230 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-28T18:17:17.111+0000: 70.798: [GC [PSYoungGen: 165120K->416K(167040K)] 171499K->6875K(854016K), 0.0033390 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:18.225+0000: 71.912: [GC [PSYoungGen: 162016K->320K(158848K)] 168475K->6827K(845824K), 0.0049510 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-28T18:17:19.314+0000: 73.001: [GC [PSYoungGen: 158848K->480K(160384K)] 165355K->7067K(847360K), 0.0042640 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:20.381+0000: 74.068: [GC [PSYoungGen: 156000K->320K(152960K)] 162587K->6963K(839936K), 0.0050360 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:21.431+0000: 75.118: [GC [PSYoungGen: 152960K->384K(154112K)] 159603K->7099K(841088K), 0.0050990 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:22.458+0000: 76.145: [GC [PSYoungGen: 150208K->320K(147392K)] 156923K->7107K(834368K), 0.0044440 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-28T18:17:23.471+0000: 77.157: [GC [PSYoungGen: 147392K->384K(148288K)] 154179K->7243K(835264K), 0.0032350 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:24.462+0000: 78.149: [GC [PSYoungGen: 144832K->320K(142208K)] 151691K->7251K(829184K), 0.0040630 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:25.438+0000: 79.124: [GC [PSYoungGen: 142189K->416K(142784K)] 149120K->7427K(829760K), 0.0040000 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-28T18:17:26.396+0000: 80.083: [GC [PSYoungGen: 139808K->256K(137216K)] 146819K->7331K(824192K), 0.0036550 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:27.333+0000: 81.020: [GC [PSYoungGen: 137216K->288K(137600K)] 144291K->7427K(824576K), 0.0032130 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:28.257+0000: 81.944: [GC [PSYoungGen: 134880K->320K(132608K)] 142019K->7531K(819584K), 0.0026500 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-28T18:17:29.168+0000: 82.854: [GC [PSYoungGen: 132608K->224K(130304K)] 139819K->7459K(817280K), 0.0022170 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:30.059+0000: 83.746: [GC [PSYoungGen: 130272K->160K(128064K)] 137507K->7419K(815040K), 0.0025550 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-28T18:17:30.939+0000: 84.626: [GC [PSYoungGen: 128030K->274K(128128K)] 135289K->7565K(815104K), 0.0049170 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-28T18:17:31.802+0000: 85.489: [GC [PSYoungGen: 126034K->224K(123968K)] 133325K->7547K(810944K), 0.0049740 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2014-07-28T18:17:32.657+0000: 86.344: [GC [PSYoungGen: 123936K->224K(121984K)] 131259K->7587K(808960K), 0.0051950 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-28T18:17:33.490+0000: 87.177: [GC [PSYoungGen: 121952K->192K(120000K)] 129315K->7579K(806976K), 0.0057440 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-28T18:17:34.354+0000: 88.041: [GC [PSYoungGen: 120000K->256K(119808K)] 127387K->7659K(806784K), 0.0038420 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-28T18:17:35.250+0000: 88.937: [GC [PSYoungGen: 118208K->402K(116608K)] 125611K->7837K(803584K), 0.0050370 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-28T18:17:36.141+0000: 89.828: [GC [PSYoungGen: 116562K->356K(114752K)] 123997K->7807K(801728K), 0.0038650 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-28T18:17:37.037+0000: 90.724: [GC [PSYoungGen: 114724K->370K(113024K)] 122175K->7877K(800000K), 0.0031130 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:37.932+0000: 91.619: [GC [PSYoungGen: 113010K->384K(111360K)] 120517K->7923K(798336K), 0.0073990 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-28T18:17:38.772+0000: 92.459: [GC [PSYoungGen: 111360K->256K(109568K)] 118899K->7827K(796544K), 0.0028750 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-28T18:17:39.606+0000: 93.292: [GC [PSYoungGen: 109568K->288K(108032K)] 117139K->7891K(795008K), 0.0027550 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:40.411+0000: 94.098: [GC [PSYoungGen: 108000K->434K(106624K)] 115603K->8093K(793600K), 0.0033500 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-28T18:17:41.227+0000: 94.914: [GC [PSYoungGen: 106610K->288K(104960K)] 114269K->8011K(791936K), 0.0030210 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-28T18:17:41.947+0000: 95.634: [GC [PSYoungGen: 104928K->384K(103552K)] 112651K->8179K(790528K), 0.0026060 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:42.656+0000: 96.343: [GC [PSYoungGen: 103552K->256K(101952K)] 111347K->8091K(788928K), 0.0019110 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:43.357+0000: 97.043: [GC [PSYoungGen: 101952K->256K(100544K)] 109787K->8139K(787520K), 0.0036460 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:44.044+0000: 97.731: [GC [PSYoungGen: 100544K->160K(99136K)] 108427K->8083K(786112K), 0.0017870 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-28T18:17:44.789+0000: 98.476: [GC [PSYoungGen: 99104K->288K(97920K)] 107027K->8251K(784896K), 0.0026700 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-28T18:17:45.521+0000: 99.208: [GC [PSYoungGen: 97888K->256K(96576K)] 105851K->8227K(783552K), 0.0058480 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-28T18:17:46.227+0000: 99.913: [GC [PSYoungGen: 96576K->320K(95360K)] 104547K->8331K(782336K), 0.0048110 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:46.929+0000: 100.616: [GC [PSYoungGen: 95360K->352K(94144K)] 103371K->8427K(781120K), 0.0029190 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:47.627+0000: 101.314: [GC [PSYoungGen: 94112K->384K(92928K)] 102187K->8523K(779904K), 0.0019600 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T18:17:48.316+0000: 102.003: [GC [PSYoungGen: 92928K->256K(91584K)] 101067K->8419K(778560K), 0.0031590 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-28T18:17:48.990+0000: 102.677: [GC [PSYoungGen: 91584K->384K(90560K)] 99747K->8595K(777536K), 0.0041570 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-28T18:17:49.659+0000: 103.346: [GC [PSYoungGen: 90560K->448K(89472K)] 98771K->8731K(776448K), 0.0027560 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
