2014-07-16T14:05:31.369+0000: 141.556: [GC [PSYoungGen: 1138158K->886K(1092160K)] 1208039K->70887K(1779136K), 0.0127250 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2014-07-16T14:05:33.710+0000: 143.898: [GC [PSYoungGen: 1092150K->438K(1073664K)] 1162151K->70567K(1760640K), 0.0146740 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-16T14:05:35.996+0000: 146.183: [GC [PSYoungGen: 1047606K->608K(1005824K)] 1117735K->70857K(1692800K), 0.0086650 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T14:05:38.114+0000: 148.301: [GC [PSYoungGen: 1005792K->192K(988160K)] 1076041K->70625K(1675136K), 0.0060370 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T14:05:40.254+0000: 150.441: [GC [PSYoungGen: 965376K->562K(927680K)] 1035809K->71099K(1614656K), 0.0077940 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T14:05:42.213+0000: 152.400: [GC [PSYoungGen: 927666K->242K(910784K)] 998203K->70891K(1597760K), 0.0056280 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T14:05:44.118+0000: 154.305: [GC [PSYoungGen: 891122K->438K(856832K)] 961771K->71151K(1543808K), 0.0067820 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-16T14:05:46.013+0000: 156.200: [GC [PSYoungGen: 856822K->658K(840640K)] 927535K->71499K(1527616K), 0.0102280 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-16T14:05:47.773+0000: 157.960: [GC [PSYoungGen: 824146K->512K(792704K)] 894987K->71537K(1479680K), 0.0101730 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T14:05:49.451+0000: 159.638: [GC [PSYoungGen: 792704K->456K(777088K)] 863729K->71577K(1464064K), 0.0041250 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T14:05:51.218+0000: 161.406: [GC [PSYoungGen: 762824K->818K(734720K)] 833945K->71995K(1421696K), 0.0066970 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T14:05:52.835+0000: 163.022: [GC [PSYoungGen: 734706K->320K(719296K)] 805883K->71641K(1406272K), 0.0119140 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
