2014-07-16T12:49:41.615+0000: 24.244: [GC [PSYoungGen: 257728K->42878K(300608K)] 257728K->72385K(987584K), 0.0775160 secs] [Times: user=0.23 sys=0.05, real=0.08 secs] 
2014-07-16T12:49:42.270+0000: 24.899: [GC [PSYoungGen: 300606K->42866K(300608K)] 330113K->83247K(987584K), 0.0740820 secs] [Times: user=0.25 sys=0.03, real=0.07 secs] 
2014-07-16T12:49:43.083+0000: 25.711: [GC [PSYoungGen: 300594K->42856K(300608K)] 340975K->85985K(987584K), 0.0446960 secs] [Times: user=0.16 sys=0.01, real=0.04 secs] 
2014-07-16T12:49:43.903+0000: 26.531: [GC [PSYoungGen: 300584K->42876K(558336K)] 343713K->86655K(1245312K), 0.0585760 secs] [Times: user=0.22 sys=0.02, real=0.06 secs] 
2014-07-16T12:49:45.593+0000: 28.222: [GC [PSYoungGen: 558332K->42875K(558336K)] 602111K->86921K(1245312K), 0.0647770 secs] [Times: user=0.22 sys=0.02, real=0.06 secs] 
2014-07-16T12:49:47.281+0000: 29.909: [GC [PSYoungGen: 558331K->43341K(1102976K)] 602377K->87387K(1789952K), 0.0576420 secs] [Times: user=0.21 sys=0.02, real=0.05 secs] 
2014-07-16T12:49:50.614+0000: 33.242: [GC [PSYoungGen: 1074253K->9918K(1104768K)] 1118299K->87856K(1791744K), 0.0613980 secs] [Times: user=0.21 sys=0.03, real=0.06 secs] 
2014-07-16T12:49:53.624+0000: 36.253: [GC [PSYoungGen: 1040830K->7976K(2138368K)] 1118768K->87570K(2825344K), 0.0296460 secs] [Times: user=0.11 sys=0.01, real=0.03 secs] 
2014-07-16T12:49:58.939+0000: 41.568: [GC [PSYoungGen: 2066792K->7606K(2141376K)] 2146386K->87683K(2828352K), 0.0284120 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2014-07-16T12:50:03.416+0000: 46.044: [GC [PSYoungGen: 2066401K->7487K(2711680K)] 2146478K->88199K(3398656K), 0.0367440 secs] [Times: user=0.12 sys=0.00, real=0.04 secs] 
2014-07-16T12:50:08.993+0000: 51.622: [GC [PSYoungGen: 2635199K->6788K(2634560K)] 2715911K->88060K(3321536K), 0.0164910 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-16T12:50:14.667+0000: 57.295: [GC [PSYoungGen: 2634500K->7140K(2712960K)] 2715772K->88596K(3399936K), 0.0348840 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
2014-07-16T12:50:20.266+0000: 62.895: [GC [PSYoungGen: 2636324K->6980K(2636224K)] 2717780K->88862K(3323200K), 0.0157590 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-16T12:50:25.822+0000: 68.450: [GC [PSYoungGen: 2636164K->6980K(2516544K)] 2718046K->89035K(3203520K), 0.0056600 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T12:50:31.122+0000: 73.750: [GC [PSYoungGen: 2516484K->6948K(2402752K)] 2598539K->89259K(3089728K), 0.0203310 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-16T12:50:36.194+0000: 78.822: [GC [PSYoungGen: 2402724K->6934K(2294656K)] 2485035K->89397K(2981632K), 0.0228890 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-16T12:50:41.044+0000: 83.672: [GC [PSYoungGen: 2294614K->6774K(2191680K)] 2377077K->89501K(2878656K), 0.0064930 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T12:50:45.729+0000: 88.357: [GC [PSYoungGen: 2191670K->6884K(2094144K)] 2274397K->89747K(2781120K), 0.0221730 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2014-07-16T12:50:50.156+0000: 92.785: [GC [PSYoungGen: 2094116K->6732K(2001152K)] 2176979K->89859K(2688128K), 0.0220090 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-16T12:50:54.424+0000: 97.052: [GC [PSYoungGen: 2001100K->6948K(1913088K)] 2084227K->90195K(2600064K), 0.0200130 secs] [Times: user=0.02 sys=0.01, real=0.02 secs] 
2014-07-16T12:50:58.518+0000: 101.146: [GC [PSYoungGen: 1913060K->6564K(1828800K)] 1996307K->90059K(2515776K), 0.0302660 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2014-07-16T12:51:02.386+0000: 105.014: [GC [PSYoungGen: 1828772K->6756K(1749184K)] 1912267K->90371K(2436160K), 0.0127700 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-16T12:51:06.107+0000: 108.735: [GC [PSYoungGen: 1749156K->6756K(1673344K)] 1832771K->90547K(2360320K), 0.0231810 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-16T12:51:09.621+0000: 112.249: [GC [PSYoungGen: 1673296K->6796K(1601280K)] 1757087K->90747K(2288256K), 0.0248510 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
2014-07-16T12:51:13.036+0000: 115.665: [GC [PSYoungGen: 1601228K->7020K(1532864K)] 1685179K->91097K(2219840K), 0.0337900 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
2014-07-16T12:51:16.248+0000: 118.877: [GC [PSYoungGen: 1532844K->6824K(1467456K)] 1616921K->91100K(2154432K), 0.0282730 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2014-07-16T12:51:19.361+0000: 121.990: [GC [PSYoungGen: 1467432K->6756K(1405376K)] 1551708K->91200K(2092352K), 0.0178420 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T12:51:22.335+0000: 124.963: [GC [PSYoungGen: 1405348K->6710K(1346304K)] 1489792K->91250K(2033280K), 0.0244580 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-16T12:51:25.201+0000: 127.829: [GC [PSYoungGen: 1346294K->6660K(1290176K)] 1430834K->91360K(1977152K), 0.0363660 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
2014-07-16T12:51:27.945+0000: 130.573: [GC [PSYoungGen: 1290076K->6828K(1236864K)] 1374776K->91721K(1923840K), 0.0246550 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T12:51:30.572+0000: 133.201: [GC [PSYoungGen: 1236844K->6916K(1186176K)] 1321737K->91928K(1873152K), 0.0267590 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2014-07-16T12:51:33.069+0000: 135.697: [GC [PSYoungGen: 1186116K->6852K(1137728K)] 1271128K->91968K(1824704K), 0.0256060 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-16T12:51:35.483+0000: 138.112: [GC [PSYoungGen: 1137667K->6756K(1091584K)] 1222784K->92032K(1778560K), 0.0070120 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T12:51:37.787+0000: 140.415: [GC [PSYoungGen: 1091556K->6760K(1362816K)] 1176832K->92172K(2049792K), 0.0501150 secs] [Times: user=0.16 sys=0.00, real=0.05 secs] 
2014-07-16T12:51:40.671+0000: 143.300: [GC [PSYoungGen: 1362792K->6532K(1305664K)] 1448204K->92048K(1992640K), 0.0064980 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T12:51:43.478+0000: 146.106: [GC [PSYoungGen: 1305604K->6970K(1251904K)] 1391120K->92558K(1938880K), 0.0085490 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-16T12:51:46.087+0000: 148.715: [GC [PSYoungGen: 1251898K->6660K(1200128K)] 1337486K->92432K(1887104K), 0.0156420 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-16T12:51:48.665+0000: 151.293: [GC [PSYoungGen: 1200068K->6664K(1151104K)] 1285840K->92556K(1838080K), 0.0160410 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-16T12:51:51.086+0000: 153.714: [GC [PSYoungGen: 1151048K->6660K(1104448K)] 1236940K->92680K(1791424K), 0.0197770 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
2014-07-16T12:51:53.453+0000: 156.082: [GC [PSYoungGen: 1104388K->6892K(1060224K)] 1190408K->93001K(1747200K), 0.0135260 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2014-07-16T12:51:55.695+0000: 158.324: [GC [PSYoungGen: 1060204K->6998K(1018048K)] 1146313K->93322K(1705024K), 0.0169490 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-16T12:51:57.857+0000: 160.486: [GC [PSYoungGen: 1018006K->6614K(977408K)] 1104330K->93050K(1664384K), 0.0352740 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
2014-07-16T12:51:59.984+0000: 162.612: [GC [PSYoungGen: 977366K->6710K(939136K)] 1063802K->93258K(1626112K), 0.0277510 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2014-07-16T12:52:01.965+0000: 164.594: [GC [PSYoungGen: 939126K->6564K(902528K)] 1025674K->93216K(1589504K), 0.0189720 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
2014-07-16T12:52:03.896+0000: 166.525: [GC [PSYoungGen: 902500K->6774K(867968K)] 989152K->93530K(1554944K), 0.0051870 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T12:52:05.737+0000: 168.365: [GC [PSYoungGen: 867958K->6906K(835008K)] 954714K->93830K(1521984K), 0.0108370 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T12:52:07.498+0000: 170.126: [GC [PSYoungGen: 835002K->6468K(803072K)] 921926K->93512K(1490048K), 0.0154000 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2014-07-16T12:52:09.242+0000: 171.871: [GC [PSYoungGen: 803012K->6404K(772928K)] 890056K->93544K(1459904K), 0.0063530 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T12:52:10.862+0000: 173.490: [GC [PSYoungGen: 772868K->6710K(744512K)] 860008K->93946K(1431488K), 0.0152000 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-16T12:52:12.426+0000: 175.055: [GC [PSYoungGen: 744502K->6596K(717120K)] 831738K->93896K(1404096K), 0.0266080 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
