2014-07-16T14:03:32.439+0000: 22.626: [GC [PSYoungGen: 257728K->11218K(300608K)] 257728K->11226K(987584K), 0.0212140 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2014-07-16T14:03:36.866+0000: 27.053: [GC [PSYoungGen: 268946K->12497K(300608K)] 268954K->12513K(987584K), 0.0170200 secs] [Times: user=0.09 sys=0.01, real=0.02 secs] 
2014-07-16T14:03:39.822+0000: 30.009: [GC [PSYoungGen: 270225K->12817K(300608K)] 270241K->12841K(987584K), 0.0211150 secs] [Times: user=0.13 sys=0.01, real=0.03 secs] 
2014-07-16T14:03:42.273+0000: 32.460: [GC [PSYoungGen: 270545K->12945K(300608K)] 270569K->12977K(987584K), 0.0094030 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-16T14:03:44.236+0000: 34.423: [GC [PSYoungGen: 270673K->18347K(269696K)] 270705K->18387K(956672K), 0.0148200 secs] [Times: user=0.09 sys=0.01, real=0.01 secs] 
2014-07-16T14:03:46.014+0000: 36.202: [GC [PSYoungGen: 269675K->17587K(262784K)] 269715K->22675K(949760K), 0.0178670 secs] [Times: user=0.08 sys=0.03, real=0.01 secs] 
2014-07-16T14:03:47.846+0000: 38.033: [GC [PSYoungGen: 262771K->9268K(248512K)] 267859K->24433K(935488K), 0.0242360 secs] [Times: user=0.16 sys=0.01, real=0.02 secs] 
2014-07-16T14:03:49.539+0000: 39.726: [GC [PSYoungGen: 248500K->8916K(246080K)] 263665K->24477K(933056K), 0.0112380 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2014-07-16T14:03:51.054+0000: 41.241: [GC [PSYoungGen: 242452K->3226K(231296K)] 258013K->25392K(918272K), 0.0102400 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
2014-07-16T14:03:52.561+0000: 42.748: [GC [PSYoungGen: 231219K->2142K(242048K)] 253385K->25922K(929024K), 0.0036260 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-16T14:03:53.969+0000: 44.156: [GC [PSYoungGen: 224862K->962K(218624K)] 248642K->25912K(905600K), 0.0040720 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T14:03:55.269+0000: 45.456: [GC [PSYoungGen: 218562K->598K(232768K)] 243512K->25620K(919744K), 0.0045600 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T14:03:56.514+0000: 46.701: [GC [PSYoungGen: 213270K->566K(208448K)] 238292K->25644K(895424K), 0.0053330 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T14:03:57.747+0000: 47.934: [GC [PSYoungGen: 208407K->812K(222784K)] 233485K->25938K(909760K), 0.0056250 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2014-07-16T14:03:58.838+0000: 49.025: [GC [PSYoungGen: 204076K->548K(199360K)] 229202K->25738K(886336K), 0.0064150 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-16T14:03:59.787+0000: 49.974: [GC [PSYoungGen: 199327K->616K(212928K)] 224517K->25886K(899904K), 0.0065970 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2014-07-16T14:04:00.740+0000: 50.927: [GC [PSYoungGen: 195112K->778K(191168K)] 220382K->26112K(878144K), 0.0074550 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-16T14:04:01.643+0000: 51.830: [GC [PSYoungGen: 191114K->626K(203264K)] 216448K->26282K(890240K), 0.0038560 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T14:04:02.580+0000: 52.768: [GC [PSYoungGen: 186930K->1088K(183488K)] 212586K->26824K(870464K), 0.0073920 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T14:04:03.646+0000: 53.833: [GC [PSYoungGen: 183488K->1140K(193728K)] 209224K->26900K(880704K), 0.0105250 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-16T14:04:04.402+0000: 54.589: [GC [PSYoungGen: 179764K->954K(175936K)] 205524K->26794K(862912K), 0.0056240 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T14:04:05.123+0000: 55.311: [GC [PSYoungGen: 175930K->712K(185152K)] 201770K->26632K(872128K), 0.0045700 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-16T14:04:05.812+0000: 56.000: [GC [PSYoungGen: 172168K->708K(168832K)] 198088K->26684K(855808K), 0.0070230 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T14:04:06.526+0000: 56.714: [GC [PSYoungGen: 168772K->666K(176960K)] 194748K->26714K(863936K), 0.0053590 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
