2014-07-16T15:21:48.425+0000: 22.747: [GC [PSYoungGen: 257728K->14738K(300608K)] 257728K->14746K(987584K), 0.0580020 secs] [Times: user=0.33 sys=0.01, real=0.06 secs] 
2014-07-16T15:21:52.710+0000: 27.031: [GC [PSYoungGen: 272466K->17075K(300608K)] 272474K->17091K(987584K), 0.0337770 secs] [Times: user=0.23 sys=0.02, real=0.03 secs] 
2014-07-16T15:21:54.651+0000: 28.973: [GC [PSYoungGen: 274803K->24375K(300608K)] 274819K->24399K(987584K), 0.0161300 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2014-07-16T15:21:56.836+0000: 31.157: [GC [PSYoungGen: 282103K->29579K(300608K)] 282127K->29611K(987584K), 0.0178590 secs] [Times: user=0.11 sys=0.01, real=0.02 secs] 
2014-07-16T15:21:58.975+0000: 33.296: [GC [PSYoungGen: 287307K->33590K(284928K)] 287339K->33622K(971904K), 0.0178910 secs] [Times: user=0.11 sys=0.01, real=0.02 secs] 
2014-07-16T15:22:00.880+0000: 35.201: [GC [PSYoungGen: 284918K->35775K(282624K)] 284950K->35815K(969600K), 0.0116470 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2014-07-16T15:22:02.661+0000: 36.983: [GC [PSYoungGen: 280959K->22614K(288256K)] 280999K->38005K(975232K), 0.0431190 secs] [Times: user=0.29 sys=0.03, real=0.04 secs] 
2014-07-16T15:22:04.494+0000: 38.815: [GC [PSYoungGen: 267798K->9980K(530624K)] 283189K->38398K(1217600K), 0.0191770 secs] [Times: user=0.12 sys=0.03, real=0.02 secs] 
2014-07-16T15:22:07.615+0000: 41.937: [GC [PSYoungGen: 499260K->5901K(479232K)] 527678K->40915K(1166208K), 0.0058190 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T15:22:10.487+0000: 44.808: [GC [PSYoungGen: 479181K->4389K(487680K)] 514195K->42096K(1174656K), 0.0068780 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-16T15:22:13.292+0000: 47.613: [GC [PSYoungGen: 462373K->1177K(444608K)] 500080K->42367K(1131584K), 0.0093890 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-16T15:22:15.714+0000: 50.036: [GC [PSYoungGen: 444569K->996K(460736K)] 485759K->42731K(1147712K), 0.0120950 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
2014-07-16T15:22:18.010+0000: 52.331: [GC [PSYoungGen: 430372K->1262K(417280K)] 472107K->43312K(1104256K), 0.0047080 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T15:22:20.235+0000: 54.556: [GC [PSYoungGen: 417262K->634K(434112K)] 459312K->42699K(1121088K), 0.0034980 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T15:22:22.275+0000: 56.596: [GC [PSYoungGen: 403834K->808K(391744K)] 445899K->42905K(1078720K), 0.0073060 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-16T15:22:24.161+0000: 58.482: [GC [PSYoungGen: 391720K->534K(408384K)] 433817K->42679K(1095360K), 0.0086950 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-16T15:22:25.979+0000: 60.300: [GC [PSYoungGen: 379670K->694K(368576K)] 421815K->42919K(1055552K), 0.0054610 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T15:22:27.877+0000: 62.199: [GC [PSYoungGen: 368524K->858K(383936K)] 410750K->43115K(1070912K), 0.0080240 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
