2014-07-16T15:21:50.389+0000: 24.710: [GC [PSYoungGen: 257728K->42864K(300608K)] 257728K->57718K(987584K), 0.0774580 secs] [Times: user=0.25 sys=0.03, real=0.08 secs] 
2014-07-16T15:21:50.718+0000: 25.040: [GC [PSYoungGen: 300592K->42870K(300608K)] 315446K->64029K(987584K), 0.0499800 secs] [Times: user=0.16 sys=0.03, real=0.05 secs] 
2014-07-16T15:21:52.207+0000: 26.528: [GC [PSYoungGen: 300598K->42870K(300608K)] 321757K->64493K(987584K), 0.0275200 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
2014-07-16T15:21:53.503+0000: 27.824: [GC [PSYoungGen: 300598K->42870K(558336K)] 322221K->65397K(1245312K), 0.0848260 secs] [Times: user=0.29 sys=0.03, real=0.09 secs] 
2014-07-16T15:21:55.847+0000: 30.168: [GC [PSYoungGen: 558326K->42874K(558336K)] 580853K->66338K(1245312K), 0.0629450 secs] [Times: user=0.22 sys=0.03, real=0.07 secs] 
2014-07-16T15:21:58.196+0000: 32.518: [GC [PSYoungGen: 558330K->43104K(1088704K)] 581794K->66567K(1775680K), 0.0962910 secs] [Times: user=0.36 sys=0.02, real=0.10 secs] 
2014-07-16T15:22:02.663+0000: 36.984: [GC [PSYoungGen: 1074016K->2436K(1089472K)] 1097479K->66053K(1776448K), 0.0923090 secs] [Times: user=0.33 sys=0.02, real=0.09 secs] 
2014-07-16T15:22:06.647+0000: 40.969: [GC [PSYoungGen: 1033348K->2436K(2124224K)] 1096965K->66429K(2811200K), 0.0119820 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-16T15:22:13.683+0000: 48.005: [GC [PSYoungGen: 2059908K->2144K(2128576K)] 2123901K->66561K(2815552K), 0.0466220 secs] [Times: user=0.17 sys=0.00, real=0.05 secs] 
2014-07-16T15:22:20.025+0000: 54.347: [GC [PSYoungGen: 2059616K->1892K(2720576K)] 2124033K->66997K(3407552K), 0.0446200 secs] [Times: user=0.16 sys=0.00, real=0.05 secs] 
2014-07-16T15:22:27.624+0000: 61.945: [GC [PSYoungGen: 2648932K->1888K(2648960K)] 2714037K->67849K(3335936K), 0.0337560 secs] [Times: user=0.13 sys=0.01, real=0.03 secs] 
