2014-07-16T07:29:08.567+0000: 23.787: [GC [PSYoungGen: 257728K->42864K(300608K)] 257728K->57750K(987584K), 0.0718350 secs] [Times: user=0.25 sys=0.03, real=0.07 secs] 
2014-07-16T07:29:08.872+0000: 24.092: [GC [PSYoungGen: 300592K->42848K(300608K)] 315478K->64008K(987584K), 0.0534130 secs] [Times: user=0.19 sys=0.02, real=0.06 secs] 
2014-07-16T07:29:09.996+0000: 25.215: [GC [PSYoungGen: 300576K->42870K(300608K)] 321736K->64990K(987584K), 0.0448600 secs] [Times: user=0.17 sys=0.00, real=0.04 secs] 
2014-07-16T07:29:11.091+0000: 26.311: [GC [PSYoungGen: 300598K->42854K(558336K)] 322718K->65407K(1245312K), 0.0377720 secs] [Times: user=0.13 sys=0.01, real=0.04 secs] 
2014-07-16T07:29:13.110+0000: 28.330: [GC [PSYoungGen: 558310K->42860K(558336K)] 580863K->65749K(1245312K), 0.0617620 secs] [Times: user=0.21 sys=0.03, real=0.06 secs] 
2014-07-16T07:29:15.099+0000: 30.319: [GC [PSYoungGen: 558316K->43306K(1088704K)] 581205K->66195K(1775680K), 0.0484480 secs] [Times: user=0.17 sys=0.02, real=0.05 secs] 
2014-07-16T07:29:18.706+0000: 33.926: [GC [PSYoungGen: 1074218K->2372K(1089600K)] 1097107K->65842K(1776576K), 0.0804120 secs] [Times: user=0.27 sys=0.03, real=0.08 secs] 
2014-07-16T07:29:22.070+0000: 37.290: [GC [PSYoungGen: 1033284K->2554K(2124288K)] 1096754K->66392K(2811264K), 0.0404240 secs] [Times: user=0.15 sys=0.00, real=0.04 secs] 
2014-07-16T07:29:28.508+0000: 43.728: [GC [PSYoungGen: 2060026K->2144K(2128640K)] 2123864K->66358K(2815616K), 0.0445940 secs] [Times: user=0.17 sys=0.00, real=0.04 secs] 
2014-07-16T07:29:35.016+0000: 50.236: [GC [PSYoungGen: 2059616K->2212K(2720704K)] 2123830K->66930K(3407680K), 0.0240420 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2014-07-16T07:29:42.875+0000: 58.095: [GC [PSYoungGen: 2649380K->1686K(2648896K)] 2714098K->67220K(3335872K), 0.0073480 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T07:29:50.589+0000: 65.809: [GC [PSYoungGen: 2648854K->1938K(2722112K)] 2714388K->67976K(3409088K), 0.0339300 secs] [Times: user=0.13 sys=0.00, real=0.04 secs] 
2014-07-16T07:29:57.801+0000: 73.020: [GC [PSYoungGen: 2649263K->950K(2648384K)] 2715302K->67452K(3335360K), 0.0047530 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T07:30:04.444+0000: 79.664: [GC [PSYoungGen: 2648374K->1284K(2528192K)] 2714876K->68290K(3215168K), 0.0089870 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-16T07:30:10.189+0000: 85.409: [GC [PSYoungGen: 2528132K->1234K(2483584K)] 2595138K->68656K(3170560K), 0.0184170 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T07:30:15.359+0000: 90.579: [GC [PSYoungGen: 2413457K->548K(2303872K)] 2480880K->68298K(2990848K), 0.0150070 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T07:30:20.277+0000: 95.497: [GC [PSYoungGen: 2303844K->498K(2266880K)] 2371594K->68472K(2953856K), 0.0048870 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T07:30:24.969+0000: 100.189: [GC [PSYoungGen: 2200242K->1238K(2102592K)] 2268216K->69436K(2789568K), 0.0129210 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-16T07:30:29.485+0000: 104.705: [GC [PSYoungGen: 2102550K->384K(2069696K)] 2170748K->68774K(2756672K), 0.0080570 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T07:30:33.754+0000: 108.974: [GC [PSYoungGen: 2008128K->704K(1919488K)] 2076518K->69278K(2606464K), 0.0224460 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
2014-07-16T07:30:37.831+0000: 113.051: [GC [PSYoungGen: 1919488K->576K(1890688K)] 1988062K->69414K(2577664K), 0.0094790 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T07:30:41.736+0000: 116.956: [GC [PSYoungGen: 1834816K->882K(1754752K)] 1903654K->69848K(2441728K), 0.0296600 secs] [Times: user=0.09 sys=0.01, real=0.03 secs] 
2014-07-16T07:30:45.427+0000: 120.647: [GC [PSYoungGen: 1754738K->608K(1728192K)] 1823704K->69806K(2415168K), 0.0125590 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T07:30:48.961+0000: 124.181: [GC [PSYoungGen: 1678048K->498K(1605312K)] 1747246K->69816K(2292288K), 0.0132340 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T07:30:52.457+0000: 127.677: [GC [PSYoungGen: 1605298K->612K(1580992K)] 1674616K->70018K(2267968K), 0.0104560 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T07:30:55.699+0000: 130.919: [GC [PSYoungGen: 1536292K->370K(1470336K)] 1605698K->70080K(2157312K), 0.0214710 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2014-07-16T07:30:58.851+0000: 134.071: [GC [PSYoungGen: 1470320K->946K(1447552K)] 1540031K->70760K(2134528K), 0.0072260 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-16T07:31:01.841+0000: 137.061: [GC [PSYoungGen: 1408370K->544K(1348544K)] 1478184K->70502K(2035520K), 0.0116270 secs] [Times: user=0.02 sys=0.01, real=0.02 secs] 
2014-07-16T07:31:04.706+0000: 139.926: [GC [PSYoungGen: 1348511K->352K(1326592K)] 1418469K->70582K(2013568K), 0.0181080 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
2014-07-16T07:31:07.455+0000: 142.675: [GC [PSYoungGen: 1291744K->438K(1238016K)] 1361974K->70740K(1924992K), 0.0084560 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:10.082+0000: 145.302: [GC [PSYoungGen: 1238006K->658K(1217216K)] 1308308K->71032K(1904192K), 0.0076400 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:12.634+0000: 147.854: [GC [PSYoungGen: 1187026K->768K(1138432K)] 1257400K->71310K(1825408K), 0.0101830 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-16T07:31:15.031+0000: 150.251: [GC [PSYoungGen: 1138432K->1056K(1118144K)] 1208974K->71806K(1805120K), 0.0087450 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:17.359+0000: 152.579: [GC [PSYoungGen: 1092384K->676K(1047936K)] 1163134K->71514K(1734912K), 0.0097440 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-16T07:31:19.566+0000: 154.786: [GC [PSYoungGen: 1047908K->324K(1028416K)] 1118746K->71234K(1715392K), 0.0062270 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T07:31:21.695+0000: 156.915: [GC [PSYoungGen: 1005479K->530K(965824K)] 1076390K->71560K(1652800K), 0.0134820 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:23.771+0000: 158.991: [GC [PSYoungGen: 965751K->548K(947264K)] 1036782K->71738K(1634240K), 0.0065490 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:25.741+0000: 160.961: [GC [PSYoungGen: 927716K->210K(891200K)] 998906K->71520K(1578176K), 0.0059730 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:27.694+0000: 162.914: [GC [PSYoungGen: 891154K->370K(873856K)] 962464K->71744K(1560832K), 0.0117700 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:29.521+0000: 164.741: [GC [PSYoungGen: 856818K->612K(824192K)] 928192K->72066K(1511168K), 0.0064180 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:31.310+0000: 166.530: [GC [PSYoungGen: 824068K->626K(807168K)] 895522K->72184K(1494144K), 0.0238430 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-16T07:31:32.949+0000: 168.169: [GC [PSYoungGen: 792771K->320K(762688K)] 864330K->72006K(1449664K), 0.0070060 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T07:31:34.564+0000: 169.784: [GC [PSYoungGen: 762688K->338K(746752K)] 834374K->72152K(1433728K), 0.0036800 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:36.143+0000: 171.363: [GC [PSYoungGen: 734226K->288K(707072K)] 806040K->72142K(1394048K), 0.0101540 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:37.688+0000: 172.908: [GC [PSYoungGen: 707040K->192K(691968K)] 778894K->72086K(1378944K), 0.0028330 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T07:31:39.159+0000: 174.379: [GC [PSYoungGen: 681088K->552K(656832K)] 752982K->72518K(1343808K), 0.0190620 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:40.556+0000: 175.776: [GC [PSYoungGen: 656754K->320K(642176K)] 728721K->72358K(1329152K), 0.0305050 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
2014-07-16T07:31:41.894+0000: 177.114: [GC [PSYoungGen: 633024K->352K(610624K)] 705062K->72518K(1297600K), 0.0111800 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-16T07:31:43.245+0000: 178.465: [GC [PSYoungGen: 610592K->512K(596928K)] 682758K->72814K(1283904K), 0.0072030 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:44.486+0000: 179.706: [GC [PSYoungGen: 589312K->192K(568576K)] 661614K->72574K(1255552K), 0.0097270 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-16T07:31:45.693+0000: 180.913: [GC [PSYoungGen: 568576K->512K(555840K)] 640958K->72966K(1242816K), 0.0073030 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:46.862+0000: 182.082: [GC [PSYoungGen: 549376K->474K(530752K)] 621830K->72952K(1217728K), 0.0050480 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T07:31:47.996+0000: 183.216: [GC [PSYoungGen: 530714K->402K(518400K)] 603192K->72896K(1205376K), 0.0044040 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:49.086+0000: 184.306: [GC [PSYoungGen: 512850K->402K(495872K)] 585344K->72936K(1182848K), 0.0080060 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-16T07:31:50.135+0000: 185.355: [GC [PSYoungGen: 495826K->288K(479488K)] 568360K->72854K(1166464K), 0.0060140 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:51.147+0000: 186.367: [GC [PSYoungGen: 479419K->224K(463872K)] 551986K->72862K(1150848K), 0.0044460 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:52.137+0000: 187.357: [GC [PSYoungGen: 463840K->306K(453184K)] 536478K->73000K(1140160K), 0.0079690 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:53.101+0000: 188.321: [GC [PSYoungGen: 448984K->384K(434944K)] 521678K->73158K(1121920K), 0.0084700 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:54.025+0000: 189.245: [GC [PSYoungGen: 434944K->338K(421312K)] 507718K->73208K(1108288K), 0.0056160 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-16T07:31:54.920+0000: 190.140: [GC [PSYoungGen: 421266K->544K(408512K)] 494136K->73462K(1095488K), 0.0066340 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:55.777+0000: 190.997: [GC [PSYoungGen: 408480K->192K(395648K)] 481398K->73166K(1082624K), 0.0086360 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:56.619+0000: 191.839: [GC [PSYoungGen: 395648K->338K(383872K)] 468622K->73336K(1070848K), 0.0050540 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:57.471+0000: 192.691: [GC [PSYoungGen: 383826K->448K(372480K)] 456824K->73478K(1059456K), 0.0082450 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-16T07:31:58.225+0000: 193.445: [GC [PSYoungGen: 372480K->224K(361344K)] 445510K->73302K(1048320K), 0.0038020 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-16T07:31:59.000+0000: 194.220: [GC [PSYoungGen: 361312K->128K(350720K)] 434390K->73222K(1037696K), 0.0036240 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T07:31:59.750+0000: 194.970: [GC [PSYoungGen: 350705K->406K(340992K)] 423799K->73524K(1027968K), 0.0067810 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T07:32:00.478+0000: 195.698: [GC [PSYoungGen: 340949K->370K(331264K)] 414068K->73568K(1018240K), 0.0042910 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T07:32:01.182+0000: 196.402: [GC [PSYoungGen: 331245K->484K(322112K)] 404443K->73754K(1009088K), 0.0133090 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T07:32:01.872+0000: 197.092: [GC [PSYoungGen: 322084K->512K(313216K)] 395354K->73854K(1000192K), 0.0065310 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T07:32:02.563+0000: 197.783: [GC [PSYoungGen: 313212K->320K(375616K)] 386554K->73710K(1062592K), 0.0174150 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-16T07:32:03.339+0000: 198.559: [GC [PSYoungGen: 375616K->192K(450560K)] 449006K->73662K(1137536K), 0.0108560 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T07:32:04.306+0000: 199.526: [GC [PSYoungGen: 450560K->790K(541312K)] 524030K->74316K(1228288K), 0.0099200 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T07:32:05.454+0000: 200.674: [GC [PSYoungGen: 541266K->424K(649024K)] 614792K->73998K(1336000K), 0.0109650 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T07:32:06.831+0000: 202.051: [GC [PSYoungGen: 649000K->288K(625728K)] 722574K->73894K(1312704K), 0.0040990 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T07:32:08.161+0000: 203.381: [GC [PSYoungGen: 625696K->434K(603712K)] 699302K->74064K(1290688K), 0.0054280 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T07:32:09.451+0000: 204.671: [GC [PSYoungGen: 603698K->320K(582464K)] 677328K->74014K(1269440K), 0.0051550 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
