2014-07-16T06:07:23.797+0000: 22.797: [GC [PSYoungGen: 257728K->11043K(300608K)] 257728K->11051K(987584K), 0.0371750 secs] [Times: user=0.15 sys=0.00, real=0.04 secs] 
2014-07-16T06:07:27.896+0000: 26.897: [GC [PSYoungGen: 268771K->12705K(300608K)] 268779K->12721K(987584K), 0.0103570 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-16T06:07:30.420+0000: 29.421: [GC [PSYoungGen: 270433K->12881K(300608K)] 270449K->12905K(987584K), 0.0094140 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2014-07-16T06:07:32.909+0000: 31.910: [GC [PSYoungGen: 270609K->13647K(300608K)] 270633K->13671K(987584K), 0.0097710 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-16T06:07:34.790+0000: 33.790: [GC [PSYoungGen: 271375K->19745K(271104K)] 271399K->19777K(958080K), 0.0308280 secs] [Times: user=0.16 sys=0.01, real=0.03 secs] 
2014-07-16T06:07:36.433+0000: 35.434: [GC [PSYoungGen: 271073K->18987K(264192K)] 271105K->23396K(951168K), 0.0199630 secs] [Times: user=0.09 sys=0.01, real=0.02 secs] 
2014-07-16T06:07:38.233+0000: 37.233: [GC [PSYoungGen: 264171K->9148K(248384K)] 268580K->24567K(935360K), 0.0087590 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2014-07-16T06:07:39.816+0000: 38.817: [GC [PSYoungGen: 248380K->8296K(251904K)] 263799K->24814K(938880K), 0.0039780 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T06:07:41.282+0000: 40.282: [GC [PSYoungGen: 241832K->2784K(230848K)] 258350K->25623K(917824K), 0.0053920 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T06:07:42.787+0000: 41.788: [GC [PSYoungGen: 230816K->820K(243840K)] 253655K->25273K(930816K), 0.0069380 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-16T06:07:44.081+0000: 43.081: [GC [PSYoungGen: 223540K->352K(217984K)] 247993K->25385K(904960K), 0.0030530 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T06:07:45.383+0000: 44.384: [GC [PSYoungGen: 217952K->620K(233984K)] 242985K->25693K(920960K), 0.0068750 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-16T06:07:46.669+0000: 45.670: [GC [PSYoungGen: 213292K->416K(208320K)] 238365K->25529K(895296K), 0.0029390 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T06:07:47.988+0000: 46.989: [GC [PSYoungGen: 208267K->652K(223808K)] 233380K->25813K(910784K), 0.0028180 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T06:07:49.046+0000: 48.046: [GC [PSYoungGen: 203912K->388K(199232K)] 229073K->25589K(886208K), 0.0030880 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T06:07:50.075+0000: 49.075: [GC [PSYoungGen: 199172K->320K(213888K)] 224373K->25561K(900864K), 0.0048460 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T06:07:51.035+0000: 50.035: [GC [PSYoungGen: 194816K->552K(190912K)] 220057K->25857K(877888K), 0.0090160 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T06:07:51.987+0000: 50.988: [GC [PSYoungGen: 190888K->1120K(203904K)] 216193K->26465K(890880K), 0.0049980 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-16T06:07:52.961+0000: 51.961: [GC [PSYoungGen: 187424K->652K(183104K)] 212769K->26029K(870080K), 0.0056930 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T06:07:53.933+0000: 52.934: [GC [PSYoungGen: 183052K->922K(194432K)] 208429K->26331K(881408K), 0.0035570 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T06:07:54.897+0000: 53.898: [GC [PSYoungGen: 179546K->534K(175552K)] 204955K->25999K(862528K), 0.0045790 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T06:07:55.804+0000: 54.804: [GC [PSYoungGen: 175491K->438K(185664K)] 200956K->25927K(872640K), 0.0038090 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
