2014-07-16T04:52:49.655+0000: 23.899: [GC [PSYoungGen: 257728K->42859K(300608K)] 257728K->72378K(987584K), 0.0650680 secs] [Times: user=0.16 sys=0.06, real=0.07 secs] 
2014-07-16T04:52:50.395+0000: 24.640: [GC [PSYoungGen: 300587K->42878K(300608K)] 330106K->84426K(987584K), 0.0728190 secs] [Times: user=0.24 sys=0.03, real=0.07 secs] 
2014-07-16T04:52:51.225+0000: 25.469: [GC [PSYoungGen: 300606K->42868K(300608K)] 342154K->85417K(987584K), 0.0547130 secs] [Times: user=0.21 sys=0.00, real=0.05 secs] 
2014-07-16T04:52:52.045+0000: 26.290: [GC [PSYoungGen: 300596K->42853K(558336K)] 343145K->86155K(1245312K), 0.0492860 secs] [Times: user=0.18 sys=0.02, real=0.05 secs] 
2014-07-16T04:52:53.662+0000: 27.906: [GC [PSYoungGen: 558309K->42850K(558336K)] 601611K->86304K(1245312K), 0.0473790 secs] [Times: user=0.15 sys=0.03, real=0.04 secs] 
2014-07-16T04:52:55.308+0000: 29.553: [GC [PSYoungGen: 558306K->43068K(1103296K)] 601760K->86522K(1790272K), 0.0696460 secs] [Times: user=0.25 sys=0.03, real=0.07 secs] 
2014-07-16T04:52:58.582+0000: 32.826: [GC [PSYoungGen: 1073980K->8996K(1105088K)] 1117434K->86739K(1792064K), 0.0661060 secs] [Times: user=0.22 sys=0.03, real=0.06 secs] 
2014-07-16T04:53:01.703+0000: 35.948: [GC [PSYoungGen: 1039908K->7948K(2138816K)] 1117651K->86959K(2825792K), 0.0398810 secs] [Times: user=0.13 sys=0.01, real=0.04 secs] 
2014-07-16T04:53:07.265+0000: 41.510: [GC [PSYoungGen: 2066828K->8429K(2141760K)] 2145839K->87797K(2828736K), 0.0410760 secs] [Times: user=0.11 sys=0.01, real=0.04 secs] 
2014-07-16T04:53:12.014+0000: 46.259: [GC [PSYoungGen: 2067309K->7640K(2711808K)] 2146677K->87546K(3398784K), 0.0260120 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
2014-07-16T04:53:17.756+0000: 52.000: [GC [PSYoungGen: 2635480K->7084K(2634944K)] 2715386K->87526K(3321920K), 0.0182940 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-16T04:53:23.383+0000: 57.628: [GC [PSYoungGen: 2634924K->7076K(2712832K)] 2715366K->87710K(3399808K), 0.0193370 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
2014-07-16T04:53:29.021+0000: 63.266: [GC [PSYoungGen: 2636260K->7030K(2636224K)] 2716894K->88056K(3323200K), 0.0388480 secs] [Times: user=0.14 sys=0.00, real=0.04 secs] 
2014-07-16T04:53:34.616+0000: 68.860: [GC [PSYoungGen: 2636214K->7080K(2712896K)] 2717240K->88300K(3399872K), 0.0319100 secs] [Times: user=0.10 sys=0.00, real=0.04 secs] 
2014-07-16T04:53:40.193+0000: 74.437: [GC [PSYoungGen: 2639208K->6806K(2519168K)] 2720428K->88330K(3206144K), 0.0169650 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2014-07-16T04:53:45.511+0000: 79.755: [GC [PSYoungGen: 2519126K->6820K(2405248K)] 2600650K->88520K(3092224K), 0.0225760 secs] [Times: user=0.08 sys=0.01, real=0.02 secs] 
2014-07-16T04:53:50.597+0000: 84.841: [GC [PSYoungGen: 2405220K->6774K(2296960K)] 2486920K->88690K(2983936K), 0.0288550 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2014-07-16T04:53:55.454+0000: 89.698: [GC [PSYoungGen: 2296950K->6966K(2194240K)] 2378866K->89058K(2881216K), 0.0210590 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2014-07-16T04:54:00.130+0000: 94.374: [GC [PSYoungGen: 2194230K->6692K(2096192K)] 2276322K->88936K(2783168K), 0.0203260 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T04:54:04.558+0000: 98.802: [GC [PSYoungGen: 2096164K->6838K(2003328K)] 2178408K->89234K(2690304K), 0.0287580 secs] [Times: user=0.08 sys=0.01, real=0.03 secs] 
2014-07-16T04:54:08.820+0000: 103.064: [GC [PSYoungGen: 2003318K->6660K(1914816K)] 2085714K->89232K(2601792K), 0.0169130 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2014-07-16T04:54:12.891+0000: 107.135: [GC [PSYoungGen: 1914756K->6792K(1830912K)] 1997328K->89476K(2517888K), 0.0212550 secs] [Times: user=0.06 sys=0.01, real=0.03 secs] 
2014-07-16T04:54:16.762+0000: 111.006: [GC [PSYoungGen: 1830856K->6596K(1750848K)] 1913540K->89504K(2437824K), 0.0064980 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T04:54:20.460+0000: 114.705: [GC [PSYoungGen: 1750788K->6756K(1675008K)] 1833696K->89792K(2361984K), 0.0187450 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-16T04:54:23.986+0000: 118.231: [GC [PSYoungGen: 1674980K->6678K(1602752K)] 1758016K->89858K(2289728K), 0.0339080 secs] [Times: user=0.11 sys=0.01, real=0.03 secs] 
2014-07-16T04:54:27.389+0000: 121.633: [GC [PSYoungGen: 1602710K->6660K(1534080K)] 1685890K->90008K(2221056K), 0.0249020 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2014-07-16T04:54:30.655+0000: 124.899: [GC [PSYoungGen: 1534020K->6646K(1468736K)] 1617368K->90074K(2155712K), 0.0179980 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-16T04:54:33.786+0000: 128.031: [GC [PSYoungGen: 1468726K->6756K(1406720K)] 1552154K->90368K(2093696K), 0.0190200 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2014-07-16T04:54:36.781+0000: 131.025: [GC [PSYoungGen: 1406692K->6614K(1347520K)] 1490304K->90354K(2034496K), 0.0259580 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
