2014-07-16T06:07:25.302+0000: 24.302: [GC [PSYoungGen: 257728K->42848K(300608K)] 257728K->57771K(987584K), 0.0614440 secs] [Times: user=0.18 sys=0.02, real=0.06 secs] 
2014-07-16T06:07:25.524+0000: 24.525: [GC [PSYoungGen: 300576K->42854K(300608K)] 315499K->64155K(987584K), 0.0617940 secs] [Times: user=0.22 sys=0.02, real=0.06 secs] 
2014-07-16T06:07:26.594+0000: 25.594: [GC [PSYoungGen: 300582K->42870K(300608K)] 321883K->64243K(987584K), 0.0548250 secs] [Times: user=0.20 sys=0.00, real=0.05 secs] 
2014-07-16T06:07:28.035+0000: 27.036: [GC [PSYoungGen: 300598K->42870K(558336K)] 321971K->64779K(1245312K), 0.0505110 secs] [Times: user=0.18 sys=0.03, real=0.05 secs] 
2014-07-16T06:07:30.509+0000: 29.510: [GC [PSYoungGen: 558326K->42848K(558336K)] 580235K->65260K(1245312K), 0.0794830 secs] [Times: user=0.29 sys=0.02, real=0.08 secs] 
2014-07-16T06:07:33.145+0000: 32.145: [GC [PSYoungGen: 558304K->43850K(1088256K)] 580716K->66263K(1775232K), 0.0804080 secs] [Times: user=0.30 sys=0.02, real=0.08 secs] 
2014-07-16T06:07:37.039+0000: 36.040: [GC [PSYoungGen: 1074762K->2244K(1089344K)] 1097175K->65731K(1776320K), 0.0882060 secs] [Times: user=0.31 sys=0.02, real=0.09 secs] 
2014-07-16T06:07:40.890+0000: 39.891: [GC [PSYoungGen: 1033156K->2180K(2124096K)] 1096643K->65947K(2811072K), 0.0118050 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-16T06:07:48.116+0000: 47.116: [GC [PSYoungGen: 2059588K->2628K(2128512K)] 2123355K->66779K(2815488K), 0.0301660 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
2014-07-16T06:07:54.106+0000: 53.107: [GC [PSYoungGen: 2060036K->2002K(2720640K)] 2124187K->66704K(3407616K), 0.0447990 secs] [Times: user=0.17 sys=0.00, real=0.04 secs] 
2014-07-16T06:08:01.897+0000: 60.898: [GC [PSYoungGen: 2649298K->1892K(2649216K)] 2714000K->67411K(3336192K), 0.0298090 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
2014-07-16T06:08:09.467+0000: 68.468: [GC [PSYoungGen: 2649188K->1892K(2722240K)] 2714707K->67979K(3409216K), 0.0142630 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2014-07-16T06:08:17.068+0000: 76.069: [GC [PSYoungGen: 2649572K->1654K(2649344K)] 2715659K->68317K(3336320K), 0.0406680 secs] [Times: user=0.16 sys=0.01, real=0.04 secs] 
2014-07-16T06:08:24.117+0000: 83.118: [GC [PSYoungGen: 2649334K->1608K(2722112K)] 2715997K->68679K(3409088K), 0.0332330 secs] [Times: user=0.12 sys=0.01, real=0.04 secs] 
2014-07-16T06:08:30.392+0000: 89.393: [GC [PSYoungGen: 2650952K->1266K(2529920K)] 2718023K->68864K(3216896K), 0.0419020 secs] [Times: user=0.13 sys=0.00, real=0.04 secs] 
2014-07-16T06:08:35.793+0000: 94.793: [GC [PSYoungGen: 2529906K->676K(2414656K)] 2597504K->68723K(3101632K), 0.0068600 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T06:08:40.901+0000: 99.902: [GC [PSYoungGen: 2414628K->320K(2371904K)] 2482675K->68542K(3058880K), 0.0122100 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T06:08:45.783+0000: 104.784: [GC [PSYoungGen: 2305280K->352K(2201728K)] 2373502K->68782K(2888704K), 0.0196750 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
2014-07-16T06:08:50.437+0000: 109.437: [GC [PSYoungGen: 2201696K->466K(2164864K)] 2270126K->69032K(2851840K), 0.0080970 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T06:08:54.912+0000: 113.912: [GC [PSYoungGen: 2103314K->580K(2009856K)] 2171880K->69395K(2696832K), 0.0175910 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
2014-07-16T06:08:59.170+0000: 118.171: [GC [PSYoungGen: 2009796K->662K(1976704K)] 2078611K->69629K(2663680K), 0.0111650 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T06:09:03.237+0000: 122.238: [GC [PSYoungGen: 1920854K->416K(1836032K)] 1989821K->69646K(2523008K), 0.0114090 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T06:09:07.128+0000: 126.129: [GC [PSYoungGen: 1836000K->320K(1806016K)] 1905230K->69670K(2492992K), 0.0043810 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T06:09:10.900+0000: 129.900: [GC [PSYoungGen: 1755456K->626K(1679296K)] 1824806K->70176K(2366272K), 0.0149940 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T06:09:14.490+0000: 133.491: [GC [PSYoungGen: 1679282K->256K(1651328K)] 1748832K->70014K(2338304K), 0.0061620 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T06:09:17.898+0000: 136.898: [GC [PSYoungGen: 1606208K->658K(1537472K)] 1675966K->70552K(2224448K), 0.0174850 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-16T06:09:21.172+0000: 140.173: [GC [PSYoungGen: 1537426K->480K(1511104K)] 1607320K->70558K(2198080K), 0.0050640 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T06:09:24.297+0000: 143.298: [GC [PSYoungGen: 1471378K->288K(1408768K)] 1541457K->70526K(2095744K), 0.0138000 secs] [Times: user=0.01 sys=0.01, real=0.02 secs] 
2014-07-16T06:09:27.300+0000: 146.300: [GC [PSYoungGen: 1408736K->484K(1384256K)] 1478974K->70843K(2071232K), 0.0071760 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T06:09:30.204+0000: 149.205: [GC [PSYoungGen: 1349412K->512K(1292864K)] 1419771K->70998K(1979840K), 0.0092440 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T06:09:32.946+0000: 151.947: [GC [PSYoungGen: 1292864K->242K(1269376K)] 1363350K->70896K(1956352K), 0.0160090 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2014-07-16T06:09:35.591+0000: 154.591: [GC [PSYoungGen: 1238770K->224K(1187584K)] 1309424K->70942K(1874560K), 0.0053390 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T06:09:38.229+0000: 157.229: [GC [PSYoungGen: 1187543K->822K(1165440K)] 1258262K->71637K(1852416K), 0.0071110 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T06:09:40.586+0000: 159.587: [GC [PSYoungGen: 1139382K->160K(1092352K)] 1210197K->71182K(1779328K), 0.0063560 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-16T06:09:42.904+0000: 161.905: [GC [PSYoungGen: 1092320K->192K(1071296K)] 1163342K->71302K(1758272K), 0.0036010 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T06:09:45.142+0000: 164.142: [GC [PSYoungGen: 1048192K->288K(1006272K)] 1119302K->71462K(1693248K), 0.0136620 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T06:09:47.275+0000: 166.276: [GC [PSYoungGen: 1006240K->484K(986112K)] 1077414K->71755K(1673088K), 0.0031510 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T06:09:49.343+0000: 168.344: [GC [PSYoungGen: 966436K->416K(928320K)] 1037707K->71798K(1615296K), 0.0097840 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T06:09:51.307+0000: 170.308: [GC [PSYoungGen: 928288K->434K(908928K)] 999670K->72008K(1595904K), 0.0037740 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-16T06:09:53.190+0000: 172.191: [GC [PSYoungGen: 892018K->210K(857280K)] 963592K->71856K(1544256K), 0.0084250 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
