2014-07-08T22:22:21.899+0000: 22.708: [GC [PSYoungGen: 257728K->15093K(300608K)] 257728K->15101K(987584K), 0.0302000 secs] [Times: user=0.13 sys=0.02, real=0.04 secs] 
2014-07-08T22:22:25.713+0000: 26.522: [GC [PSYoungGen: 272821K->17998K(300608K)] 272829K->18014K(987584K), 0.0141740 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
2014-07-08T22:22:27.479+0000: 28.288: [GC [PSYoungGen: 275726K->20432K(300608K)] 275742K->20456K(987584K), 0.0198590 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2014-07-08T22:22:29.171+0000: 29.979: [GC [PSYoungGen: 278160K->24007K(300608K)] 278184K->24039K(987584K), 0.0352210 secs] [Times: user=0.23 sys=0.01, real=0.03 secs] 
2014-07-08T22:22:30.613+0000: 31.422: [GC [PSYoungGen: 281735K->27250K(278592K)] 281767K->27282K(965568K), 0.0183230 secs] [Times: user=0.10 sys=0.01, real=0.02 secs] 
2014-07-08T22:22:31.906+0000: 32.715: [GC [PSYoungGen: 278578K->26227K(278528K)] 278610K->28407K(965504K), 0.0240810 secs] [Times: user=0.15 sys=0.02, real=0.03 secs] 
2014-07-08T22:22:33.289+0000: 34.098: [GC [PSYoungGen: 278515K->10981K(284992K)] 280695K->29066K(971968K), 0.0190500 secs] [Times: user=0.12 sys=0.01, real=0.02 secs] 
2014-07-08T22:22:35.400+0000: 36.209: [GC [PSYoungGen: 263261K->7003K(537216K)] 281346K->30539K(1224192K), 0.0076990 secs] [Times: user=0.04 sys=0.02, real=0.01 secs] 
2014-07-08T22:22:40.875+0000: 41.684: [GC [PSYoungGen: 510491K->3439K(490304K)] 534027K->31015K(1177280K), 0.0087680 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T22:22:45.907+0000: 46.716: [GC [PSYoungGen: 490287K->2222K(492416K)] 517863K->31107K(1179392K), 0.0083090 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2014-07-08T22:22:50.161+0000: 50.970: [GC [PSYoungGen: 473198K->1475K(457344K)] 502083K->31206K(1144320K), 0.0077410 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T22:22:54.772+0000: 55.580: [GC [PSYoungGen: 457187K->1739K(463424K)] 486918K->31620K(1150400K), 0.0148040 secs] [Times: user=0.08 sys=0.01, real=0.02 secs] 
2014-07-08T22:22:58.941+0000: 59.750: [GC [PSYoungGen: 443019K->1302K(428736K)] 472900K->31182K(1115712K), 0.0060130 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T22:23:05.646+0000: 66.455: [GC [PSYoungGen: 428659K->1408K(435904K)] 458539K->31288K(1122880K), 0.0118060 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
2014-07-08T22:23:12.577+0000: 73.386: [GC [PSYoungGen: 415488K->1508K(402880K)] 445368K->31388K(1089856K), 0.0069450 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T22:23:17.931+0000: 78.740: [GC [PSYoungGen: 402852K->1334K(409856K)] 432732K->31222K(1096832K), 0.0112490 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T22:23:23.673+0000: 84.482: [GC [PSYoungGen: 390518K->1536K(379136K)] 420406K->31425K(1066112K), 0.0155280 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2014-07-08T22:23:29.674+0000: 90.482: [GC [PSYoungGen: 379072K->1504K(385216K)] 408961K->31400K(1072192K), 0.0128550 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
2014-07-08T22:23:32.959+0000: 93.768: [GC [PSYoungGen: 367840K->1390K(356992K)] 397736K->31286K(1043968K), 0.0077690 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T22:23:37.923+0000: 98.732: [GC [PSYoungGen: 356974K->1598K(362304K)] 386870K->31494K(1049280K), 0.0094160 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-08T22:23:42.720+0000: 103.529: [GC [PSYoungGen: 346878K->1788K(337216K)] 376774K->31685K(1024192K), 0.0107140 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T22:23:45.968+0000: 106.777: [GC [PSYoungGen: 337207K->1366K(341120K)] 367103K->31262K(1028096K), 0.0091400 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T22:23:49.905+0000: 110.714: [GC [PSYoungGen: 327285K->1708K(318592K)] 357181K->31604K(1005568K), 0.0081040 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T22:23:53.362+0000: 114.170: [GC [PSYoungGen: 318572K->1504K(321280K)] 348468K->31400K(1008256K), 0.0057150 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T22:23:56.754+0000: 117.562: [GC [PSYoungGen: 309664K->1586K(301376K)] 339560K->31482K(988352K), 0.0066680 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T22:23:59.748+0000: 120.557: [GC [PSYoungGen: 301341K->1454K(303232K)] 331237K->31350K(990208K), 0.0073430 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T22:24:02.189+0000: 122.998: [GC [PSYoungGen: 293230K->1422K(285504K)] 323126K->31334K(972480K), 0.0059810 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-08T22:24:05.736+0000: 126.545: [GC [PSYoungGen: 285454K->1380K(286464K)] 315366K->31292K(973440K), 0.0060150 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-08T22:24:08.652+0000: 129.461: [GC [PSYoungGen: 277986K->1636K(271168K)] 307899K->31548K(958144K), 0.0092800 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2014-07-08T22:24:11.510+0000: 132.319: [GC [PSYoungGen: 271128K->1274K(270976K)] 301040K->31186K(957952K), 0.0065390 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-08T22:24:14.706+0000: 135.515: [GC [PSYoungGen: 263930K->1534K(257600K)] 293842K->31446K(944576K), 0.0034750 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T22:24:18.069+0000: 138.878: [GC [PSYoungGen: 257598K->1522K(256448K)] 287510K->31434K(943424K), 0.0055790 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2014-07-08T22:24:20.470+0000: 141.279: [GC [PSYoungGen: 251250K->1810K(245440K)] 281162K->31739K(932416K), 0.0084030 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T22:24:23.302+0000: 144.110: [GC [PSYoungGen: 245384K->1420K(242048K)] 275312K->31348K(929024K), 0.0102560 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T22:24:25.972+0000: 146.780: [GC [PSYoungGen: 239115K->1718K(233728K)] 269044K->31646K(920704K), 0.0106670 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-08T22:24:29.192+0000: 150.001: [GC [PSYoungGen: 233718K->1660K(228288K)] 263646K->31588K(915264K), 0.0079120 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
