2014-07-08T21:21:48.358+0000: 550.497: [GC [PSYoungGen: 780934K->2825K(752256K)] 878000K->100435K(1439232K), 0.0206690 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-08T21:22:01.850+0000: 563.988: [GC [PSYoungGen: 752201K->2508K(724096K)] 849811K->100687K(1411072K), 0.0173760 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T21:22:14.562+0000: 576.700: [GC [PSYoungGen: 724024K->2683K(697664K)] 822202K->101333K(1384640K), 0.0460800 secs] [Times: user=0.17 sys=0.00, real=0.04 secs] 
2014-07-08T21:22:26.764+0000: 588.902: [GC [PSYoungGen: 697659K->2384K(672064K)] 796309K->101554K(1359040K), 0.0249750 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2014-07-08T21:22:39.622+0000: 601.761: [GC [PSYoungGen: 672010K->2640K(648192K)] 771180K->102291K(1335168K), 0.0306170 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
2014-07-08T21:22:51.837+0000: 613.975: [GC [PSYoungGen: 648144K->2164K(624640K)] 747795K->102262K(1311616K), 0.0345820 secs] [Times: user=0.12 sys=0.01, real=0.03 secs] 
2014-07-08T21:23:03.343+0000: 625.481: [GC [PSYoungGen: 624627K->2508K(603072K)] 724725K->103031K(1290048K), 0.0256800 secs] [Times: user=0.08 sys=0.01, real=0.03 secs] 
2014-07-08T21:23:14.180+0000: 636.318: [GC [PSYoungGen: 603020K->2412K(581952K)] 703543K->103407K(1268928K), 0.0172660 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
2014-07-08T21:23:25.044+0000: 647.182: [GC [PSYoungGen: 581905K->2384K(561920K)] 682899K->103802K(1248896K), 0.0295650 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2014-07-08T21:23:35.744+0000: 657.883: [GC [PSYoungGen: 561844K->2150K(542528K)] 663262K->103992K(1229504K), 0.0262470 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
2014-07-08T21:23:44.498+0000: 666.636: [GC [PSYoungGen: 542502K->2224K(524352K)] 644344K->104466K(1211328K), 0.0247870 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2014-07-08T21:23:54.289+0000: 676.427: [GC [PSYoungGen: 524300K->2600K(507264K)] 626542K->105179K(1194240K), 0.0207030 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-08T21:24:04.196+0000: 686.334: [GC [PSYoungGen: 507192K->2182K(490240K)] 609770K->105152K(1177216K), 0.0215100 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2014-07-08T21:24:11.163+0000: 693.301: [GC [PSYoungGen: 490182K->2249K(474368K)] 593152K->105587K(1161344K), 0.0169910 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2014-07-08T21:24:17.654+0000: 699.793: [GC [PSYoungGen: 474313K->2409K(459264K)] 577651K->105987K(1146240K), 0.0149870 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-08T21:24:23.373+0000: 705.511: [GC [PSYoungGen: 459241K->2349K(444608K)] 562819K->106215K(1131584K), 0.0121460 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T21:24:30.016+0000: 712.154: [GC [PSYoungGen: 444589K->1798K(430144K)] 548455K->105880K(1117120K), 0.0060340 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T21:24:34.861+0000: 716.999: [GC [PSYoungGen: 430077K->2284K(417280K)] 534159K->106631K(1104256K), 0.0194780 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-08T21:24:40.365+0000: 722.503: [GC [PSYoungGen: 417258K->2096K(404352K)] 521605K->106658K(1091328K), 0.0172490 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-08T21:24:45.378+0000: 727.516: [GC [PSYoungGen: 404318K->2345K(392384K)] 508880K->107083K(1079360K), 0.0176520 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2014-07-08T21:24:50.828+0000: 732.966: [GC [PSYoungGen: 392342K->2189K(380544K)] 497080K->107167K(1067520K), 0.0095980 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T21:24:55.838+0000: 737.976: [GC [PSYoungGen: 380493K->2160K(369280K)] 485471K->107306K(1056256K), 0.0200240 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-08T21:25:02.023+0000: 744.162: [GC [PSYoungGen: 369264K->2164K(358528K)] 474410K->107558K(1045504K), 0.0147040 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-08T21:25:06.712+0000: 748.850: [GC [PSYoungGen: 358516K->2128K(348224K)] 463910K->107730K(1035200K), 0.0125560 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T21:25:10.225+0000: 752.364: [GC [PSYoungGen: 348136K->1712K(337920K)] 453738K->107547K(1024896K), 0.0241770 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2014-07-08T21:25:14.481+0000: 756.619: [GC [PSYoungGen: 337904K->2000K(328768K)] 443739K->107946K(1015744K), 0.0181900 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-08T21:25:18.992+0000: 761.130: [GC [PSYoungGen: 328677K->2156K(319808K)] 434623K->108303K(1006784K), 0.0187060 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-08T21:25:24.462+0000: 766.600: [GC [PSYoungGen: 319788K->2437K(311424K)] 425935K->108759K(998400K), 0.0312610 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
2014-07-08T21:25:28.367+0000: 770.505: [GC [PSYoungGen: 311365K->1936K(302528K)] 417687K->108506K(989504K), 0.0253040 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2014-07-08T21:25:33.209+0000: 775.347: [GC [PSYoungGen: 302480K->1940K(294464K)] 409050K->108669K(981440K), 0.0122390 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2014-07-08T21:25:37.305+0000: 779.443: [GC [PSYoungGen: 294420K->2252K(287040K)] 401149K->109158K(974016K), 0.0218240 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-08T21:25:41.052+0000: 783.191: [GC [PSYoungGen: 286979K->2188K(279552K)] 393884K->109294K(966528K), 0.0244950 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2014-07-08T21:25:45.725+0000: 787.863: [GC [PSYoungGen: 279500K->2316K(272512K)] 386606K->109534K(959488K), 0.0223850 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-08T21:25:50.691+0000: 792.829: [GC [PSYoungGen: 272424K->1812K(265088K)] 379641K->109262K(952064K), 0.0099730 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T21:25:55.902+0000: 798.040: [GC [PSYoungGen: 265044K->1872K(258560K)] 372494K->109490K(945536K), 0.0112180 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-08T21:26:00.602+0000: 802.741: [GC [PSYoungGen: 258500K->2334K(252608K)] 366118K->110192K(939584K), 0.0100830 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
