2014-07-08T22:27:54.150+0000: 354.959: [GC [PSYoungGen: 1240214K->2230K(1188992K)] 1332807K->95807K(1875968K), 0.0384010 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2014-07-08T22:28:02.736+0000: 363.545: [GC [PSYoungGen: 1188982K->2066K(1140160K)] 1282559K->96563K(1827136K), 0.0313220 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2014-07-08T22:28:10.700+0000: 371.509: [GC [PSYoungGen: 1140114K->1920K(1093632K)] 1234611K->97241K(1780608K), 0.0193670 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-08T22:28:20.813+0000: 381.621: [GC [PSYoungGen: 1093632K->1984K(1049536K)] 1188953K->98073K(1736512K), 0.0088690 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T22:28:28.161+0000: 388.970: [GC [PSYoungGen: 1049536K->2084K(1007680K)] 1145625K->98957K(1694656K), 0.0373020 secs] [Times: user=0.14 sys=0.00, real=0.04 secs] 
2014-07-08T22:28:34.207+0000: 395.016: [GC [PSYoungGen: 1007652K->1632K(967232K)] 1104525K->99249K(1654208K), 0.0173190 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-08T22:28:40.486+0000: 401.295: [GC [PSYoungGen: 967200K->1974K(929472K)] 1064817K->100143K(1616448K), 0.0356480 secs] [Times: user=0.14 sys=0.00, real=0.03 secs] 
2014-07-08T22:28:47.522+0000: 408.330: [GC [PSYoungGen: 929462K->1924K(893184K)] 1027631K->100797K(1580160K), 0.0243350 secs] [Times: user=0.08 sys=0.01, real=0.02 secs] 
2014-07-08T22:28:53.657+0000: 414.465: [GC [PSYoungGen: 893124K->1860K(858560K)] 991997K->101357K(1545536K), 0.0185090 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-08T22:28:57.961+0000: 418.770: [GC [PSYoungGen: 858500K->1746K(825536K)] 957997K->101787K(1512512K), 0.0244590 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
2014-07-08T22:29:04.614+0000: 425.423: [GC [PSYoungGen: 825490K->1714K(794112K)] 925531K->102259K(1481088K), 0.0199720 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
