2014-07-09T00:46:39.406+0000: 22.868: [GC [PSYoungGen: 257728K->15342K(300608K)] 257728K->15350K(987584K), 0.0162250 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-09T00:46:43.393+0000: 26.855: [GC [PSYoungGen: 273070K->16738K(300608K)] 273078K->16754K(987584K), 0.0087020 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-09T00:46:45.883+0000: 29.345: [GC [PSYoungGen: 274466K->16882K(300608K)] 274482K->16906K(987584K), 0.0124830 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2014-07-09T00:46:48.121+0000: 31.584: [GC [PSYoungGen: 274610K->17138K(300608K)] 274634K->17170K(987584K), 0.0148460 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2014-07-09T00:46:50.413+0000: 33.875: [GC [PSYoungGen: 274866K->17106K(268480K)] 274898K->17146K(955456K), 0.0178400 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
2014-07-09T00:46:52.464+0000: 35.926: [GC [PSYoungGen: 268434K->17426K(262656K)] 268474K->17466K(949632K), 0.0226700 secs] [Times: user=0.11 sys=0.01, real=0.02 secs] 
2014-07-09T00:46:54.554+0000: 38.016: [GC [PSYoungGen: 262610K->800K(240064K)] 262650K->16916K(927040K), 0.0308380 secs] [Times: user=0.19 sys=0.02, real=0.03 secs] 
2014-07-09T00:46:55.891+0000: 39.353: [GC [PSYoungGen: 240032K->6301K(247552K)] 256148K->22633K(934528K), 0.0072750 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-09T00:46:57.107+0000: 40.569: [GC [PSYoungGen: 239837K->8751K(236800K)] 256169K->25186K(923776K), 0.0046630 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-09T00:46:58.302+0000: 41.764: [GC [PSYoungGen: 236783K->5109K(240576K)] 253217K->26909K(927552K), 0.0053980 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-09T00:46:59.455+0000: 42.917: [GC [PSYoungGen: 227829K->1907K(219520K)] 249629K->28219K(906496K), 0.0051750 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-09T00:47:00.586+0000: 44.049: [GC [PSYoungGen: 219507K->1105K(232192K)] 245819K->28750K(919168K), 0.0052010 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T00:47:01.729+0000: 45.191: [GC [PSYoungGen: 213777K->2054K(209984K)] 241422K->30328K(896960K), 0.0048730 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-09T00:47:02.875+0000: 46.338: [GC [PSYoungGen: 209902K->882K(222592K)] 238176K->30621K(909568K), 0.0070500 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-09T00:47:03.963+0000: 47.426: [GC [PSYoungGen: 204120K->1080K(199872K)] 233858K->30989K(886848K), 0.0056600 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T00:47:04.982+0000: 48.445: [GC [PSYoungGen: 199827K->712K(213120K)] 229736K->30971K(900096K), 0.0054140 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2014-07-09T00:47:05.965+0000: 49.428: [GC [PSYoungGen: 195208K->853K(191232K)] 225467K->31184K(878208K), 0.0066710 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-09T00:47:06.940+0000: 50.402: [GC [PSYoungGen: 191189K->895K(203584K)] 221520K->31426K(890560K), 0.0065110 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T00:47:07.907+0000: 51.369: [GC [PSYoungGen: 187128K->666K(183104K)] 217658K->31377K(870080K), 0.0073380 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-09T00:47:08.848+0000: 52.310: [GC [PSYoungGen: 183021K->730K(194496K)] 213732K->31513K(881472K), 0.0101490 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-09T00:47:09.814+0000: 53.276: [GC [PSYoungGen: 179310K->630K(175616K)] 210093K->31493K(862592K), 0.0065930 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-09T00:47:10.759+0000: 54.221: [GC [PSYoungGen: 175606K->676K(185920K)] 206469K->31643K(872896K), 0.0053350 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T00:47:11.621+0000: 55.083: [GC [PSYoungGen: 172132K->787K(168896K)] 203099K->31835K(855872K), 0.0037870 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-09T00:47:12.473+0000: 55.935: [GC [PSYoungGen: 168851K->1050K(177536K)] 199899K->32325K(864512K), 0.0059430 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T00:47:13.294+0000: 56.756: [GC [PSYoungGen: 165850K->612K(162240K)] 197125K->32125K(849216K), 0.0068760 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-09T00:47:14.117+0000: 57.579: [GC [PSYoungGen: 162212K->666K(169792K)] 193725K->32235K(856768K), 0.0042260 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-09T00:47:14.928+0000: 58.390: [GC [PSYoungGen: 159194K->498K(156032K)] 190763K->32147K(843008K), 0.0057110 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T00:47:15.745+0000: 59.207: [GC [PSYoungGen: 156017K->815K(162432K)] 187666K->32560K(849408K), 0.0043180 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-09T00:47:16.570+0000: 60.033: [GC [PSYoungGen: 153455K->634K(150464K)] 185200K->32435K(837440K), 0.0051980 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-09T00:47:17.401+0000: 60.864: [GC [PSYoungGen: 150417K->780K(155584K)] 182219K->32645K(842560K), 0.0068770 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2014-07-09T00:47:18.181+0000: 61.643: [GC [PSYoungGen: 147852K->844K(145344K)] 179717K->32813K(832320K), 0.0040840 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-09T00:47:18.963+0000: 62.425: [GC [PSYoungGen: 145292K->734K(149184K)] 177261K->32751K(836160K), 0.0039130 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-09T00:47:19.686+0000: 63.148: [GC [PSYoungGen: 142622K->566K(139968K)] 174639K->32639K(826944K), 0.0051490 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T00:47:20.364+0000: 63.827: [GC [PSYoungGen: 139958K->730K(143168K)] 172031K->32867K(830144K), 0.0099910 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2014-07-09T00:47:21.036+0000: 64.499: [GC [PSYoungGen: 137640K->548K(135168K)] 169777K->32741K(822144K), 0.0041890 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-09T00:47:21.685+0000: 65.148: [GC [PSYoungGen: 135110K->566K(137600K)] 167304K->32799K(824576K), 0.0050240 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T00:47:22.335+0000: 65.797: [GC [PSYoungGen: 132802K->894K(130944K)] 165036K->33231K(817920K), 0.0060580 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-09T00:47:22.966+0000: 66.429: [GC [PSYoungGen: 130942K->684K(132288K)] 163279K->33077K(819264K), 0.0067410 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-09T00:47:23.591+0000: 67.053: [GC [PSYoungGen: 128556K->726K(126528K)] 160949K->33199K(813504K), 0.0030560 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-09T00:47:24.200+0000: 67.662: [GC [PSYoungGen: 126447K->754K(127424K)] 158920K->33284K(814400K), 0.0044020 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T00:47:24.805+0000: 68.268: [GC [PSYoungGen: 124466K->608K(122368K)] 156996K->33233K(809344K), 0.0072850 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
