2014-07-09T00:46:41.296+0000: 24.758: [GC [PSYoungGen: 257728K->42864K(300608K)] 257728K->57757K(987584K), 0.0804850 secs] [Times: user=0.25 sys=0.04, real=0.08 secs] 
2014-07-09T00:46:41.623+0000: 25.086: [GC [PSYoungGen: 300592K->42854K(300608K)] 315485K->64125K(987584K), 0.0574530 secs] [Times: user=0.19 sys=0.03, real=0.06 secs] 
2014-07-09T00:46:42.821+0000: 26.284: [GC [PSYoungGen: 300582K->42854K(300608K)] 321853K->64629K(987584K), 0.0424560 secs] [Times: user=0.15 sys=0.00, real=0.04 secs] 
2014-07-09T00:46:44.241+0000: 27.703: [GC [PSYoungGen: 300582K->42870K(558336K)] 322357K->65149K(1245312K), 0.0922930 secs] [Times: user=0.34 sys=0.02, real=0.09 secs] 
2014-07-09T00:46:46.718+0000: 30.181: [GC [PSYoungGen: 558326K->42870K(558336K)] 580605K->65381K(1245312K), 0.0618640 secs] [Times: user=0.22 sys=0.02, real=0.06 secs] 
2014-07-09T00:46:49.216+0000: 32.678: [GC [PSYoungGen: 558326K->42768K(1088896K)] 580837K->65279K(1775872K), 0.0787610 secs] [Times: user=0.28 sys=0.02, real=0.08 secs] 
2014-07-09T00:46:53.593+0000: 37.055: [GC [PSYoungGen: 1073680K->2304K(1089728K)] 1096191K->65817K(1776704K), 0.0504290 secs] [Times: user=0.15 sys=0.03, real=0.05 secs] 
2014-07-09T00:46:57.187+0000: 40.649: [GC [PSYoungGen: 1033216K->1906K(2124416K)] 1096729K->65763K(2811392K), 0.0055560 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T00:47:03.587+0000: 47.049: [GC [PSYoungGen: 2059378K->2034K(2128768K)] 2123235K->66155K(2815744K), 0.0082600 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-09T00:47:09.875+0000: 53.337: [GC [PSYoungGen: 2059487K->2326K(2720640K)] 2123608K->66975K(3407616K), 0.0228770 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2014-07-09T00:47:18.051+0000: 61.513: [GC [PSYoungGen: 2649366K->1554K(2648640K)] 2714015K->66899K(3335616K), 0.0057210 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-09T00:47:25.742+0000: 69.204: [GC [PSYoungGen: 2648594K->1604K(2722112K)] 2713939K->67397K(3409088K), 0.0143340 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-09T00:47:33.750+0000: 77.212: [GC [PSYoungGen: 2649028K->1750K(2528640K)] 2714821K->67967K(3215616K), 0.0057800 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T00:47:41.223+0000: 84.685: [GC [PSYoungGen: 2528598K->1572K(2413824K)] 2594815K->68229K(3100800K), 0.0055810 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T00:47:47.673+0000: 91.135: [GC [PSYoungGen: 2413796K->1600K(2374400K)] 2480453K->68609K(3061376K), 0.0054120 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T00:47:53.175+0000: 96.638: [GC [PSYoungGen: 2304822K->1686K(2201472K)] 2371831K->69159K(2888448K), 0.0360420 secs] [Times: user=0.12 sys=0.01, real=0.04 secs] 
2014-07-09T00:47:58.170+0000: 101.632: [GC [PSYoungGen: 2201430K->1362K(2168000K)] 2268903K->69171K(2854976K), 0.0060320 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-09T00:48:02.775+0000: 106.237: [GC [PSYoungGen: 2102674K->1476K(2009280K)] 2170483K->69557K(2696256K), 0.0170030 secs] [Times: user=0.03 sys=0.01, real=0.02 secs] 
2014-07-09T00:48:07.335+0000: 110.797: [GC [PSYoungGen: 2009220K->1348K(1980288K)] 2077301K->69685K(2667264K), 0.0130010 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-09T00:48:11.566+0000: 115.029: [GC [PSYoungGen: 1920132K->1380K(1835648K)] 1988469K->69997K(2522624K), 0.0184630 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
2014-07-09T00:48:15.623+0000: 119.085: [GC [PSYoungGen: 1835620K->1018K(1809792K)] 1904237K->69819K(2496768K), 0.0046420 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-09T00:48:19.391+0000: 122.854: [GC [PSYoungGen: 1754874K->908K(1678400K)] 1823675K->69973K(2365376K), 0.0129160 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T00:48:22.547+0000: 126.009: [GC [PSYoungGen: 1678348K->648K(1655232K)] 1747413K->69833K(2342208K), 0.0168300 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-09T00:48:25.268+0000: 128.730: [GC [PSYoungGen: 1605448K->520K(1536256K)] 1674633K->69889K(2223232K), 0.0113380 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T00:48:27.656+0000: 131.118: [GC [PSYoungGen: 1536135K->726K(1515136K)] 1605505K->70239K(2202112K), 0.0092800 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-09T00:48:29.843+0000: 133.306: [GC [PSYoungGen: 1470678K->886K(1408320K)] 1540191K->70495K(2095296K), 0.0143600 secs] [Times: user=0.01 sys=0.02, real=0.01 secs] 
2014-07-09T00:48:31.742+0000: 135.204: [GC [PSYoungGen: 1408310K->630K(1387968K)] 1477919K->70327K(2074944K), 0.0072820 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
