2014-07-08T09:20:52.336+0000: 22.910: [GC [PSYoungGen: 257728K->42862K(300608K)] 257728K->72661K(987584K), 0.0829380 secs] [Times: user=0.20 sys=0.03, real=0.08 secs] 
2014-07-08T09:20:54.565+0000: 25.139: [GC [PSYoungGen: 300590K->42855K(300608K)] 330389K->74850K(987584K), 0.0630770 secs] [Times: user=0.21 sys=0.04, real=0.06 secs] 
2014-07-08T09:20:56.147+0000: 26.720: [GC [PSYoungGen: 300583K->42869K(300608K)] 332578K->78562K(987584K), 0.0641650 secs] [Times: user=0.24 sys=0.00, real=0.06 secs] 
2014-07-08T09:20:57.750+0000: 28.323: [GC [PSYoungGen: 300537K->42848K(558336K)] 336230K->79145K(1245312K), 0.0684950 secs] [Times: user=0.25 sys=0.01, real=0.07 secs] 
2014-07-08T09:21:00.818+0000: 31.392: [GC [PSYoungGen: 558304K->42735K(558336K)] 594601K->79031K(1245312K), 0.0434620 secs] [Times: user=0.14 sys=0.02, real=0.04 secs] 
2014-07-08T09:21:05.261+0000: 35.834: [GC [PSYoungGen: 558191K->43263K(1099840K)] 594487K->79567K(1786816K), 0.0759150 secs] [Times: user=0.26 sys=0.03, real=0.08 secs] 
2014-07-08T09:21:14.050+0000: 44.624: [GC [PSYoungGen: 1074175K->5586K(1101824K)] 1110479K->80034K(1788800K), 0.1178370 secs] [Times: user=0.43 sys=0.03, real=0.12 secs] 
2014-07-08T09:21:22.709+0000: 53.283: [GC [PSYoungGen: 1036498K->4432K(2135936K)] 1110946K->81144K(2822912K), 0.0176670 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2014-07-08T09:21:42.244+0000: 72.818: [GC [PSYoungGen: 2062864K->6021K(2139328K)] 2139576K->83569K(2826304K), 0.0555710 secs] [Times: user=0.21 sys=0.00, real=0.06 secs] 
2014-07-08T09:21:59.061+0000: 89.634: [GC [PSYoungGen: 2064453K->5705K(2713600K)] 2142001K->85246K(3400576K), 0.0409280 secs] [Times: user=0.14 sys=0.01, real=0.05 secs] 
2014-07-08T09:22:25.496+0000: 116.069: [GC [PSYoungGen: 2637129K->4468K(2516096K)] 2716670K->87217K(3203072K), 0.0447930 secs] [Times: user=0.14 sys=0.01, real=0.04 secs] 
2014-07-08T09:22:49.993+0000: 140.566: [GC [PSYoungGen: 2516084K->4425K(2402240K)] 2598833K->89382K(3089216K), 0.0520810 secs] [Times: user=0.18 sys=0.01, real=0.05 secs] 
2014-07-08T09:23:13.278+0000: 163.852: [GC [PSYoungGen: 2402185K->4393K(2293952K)] 2487142K->91302K(2980928K), 0.0468210 secs] [Times: user=0.15 sys=0.00, real=0.05 secs] 
2014-07-08T09:23:48.876+0000: 199.450: [GC [PSYoungGen: 2293929K->4681K(2191424K)] 2380838K->93694K(2878400K), 0.0496490 secs] [Times: user=0.17 sys=0.01, real=0.05 secs] 
2014-07-08T09:24:10.543+0000: 221.116: [GC [PSYoungGen: 2191369K->4489K(2093440K)] 2280382K->95998K(2780416K), 0.0230690 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-08T09:24:32.159+0000: 242.732: [GC [PSYoungGen: 2093385K->4034K(2000064K)] 2184894K->97792K(2687040K), 0.0331690 secs] [Times: user=0.10 sys=0.01, real=0.03 secs] 
2014-07-08T09:24:53.274+0000: 263.847: [GC [PSYoungGen: 2000002K->4830K(1912448K)] 2093760K->100443K(2599424K), 0.0363560 secs] [Times: user=0.13 sys=0.00, real=0.04 secs] 
2014-07-08T09:25:13.562+0000: 284.136: [GC [PSYoungGen: 1912414K->4624K(1828288K)] 2008027K->102238K(2515264K), 0.0415400 secs] [Times: user=0.14 sys=0.00, real=0.04 secs] 
2014-07-08T09:25:32.297+0000: 302.871: [GC [PSYoungGen: 1828240K->4144K(1747904K)] 1925854K->103701K(2434880K), 0.0517560 secs] [Times: user=0.20 sys=0.01, real=0.05 secs] 
2014-07-08T09:25:50.347+0000: 320.920: [GC [PSYoungGen: 1747888K->4169K(1672064K)] 1847445K->105431K(2359040K), 0.0361230 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
2014-07-08T09:26:08.369+0000: 338.942: [GC [PSYoungGen: 1672009K->4013K(1599680K)] 1773271K->106977K(2286656K), 0.0294560 secs] [Times: user=0.10 sys=0.00, real=0.02 secs] 
2014-07-08T09:26:43.473+0000: 374.046: [GC [PSYoungGen: 1599654K->4336K(1531328K)] 1702619K->109028K(2218304K), 0.0326680 secs] [Times: user=0.11 sys=0.01, real=0.04 secs] 
2014-07-08T09:26:58.641+0000: 389.214: [GC [PSYoungGen: 1531312K->3280K(1465024K)] 1636004K->109772K(2152000K), 0.0324830 secs] [Times: user=0.12 sys=0.01, real=0.03 secs] 
2014-07-08T09:27:14.228+0000: 404.801: [GC [PSYoungGen: 1464976K->3536K(1403200K)] 1571468K->111292K(2090176K), 0.0294000 secs] [Times: user=0.06 sys=0.01, real=0.03 secs] 
2014-07-08T09:27:28.248+0000: 418.821: [GC [PSYoungGen: 1403152K->3216K(1343808K)] 1510908K->112572K(2030784K), 0.0418160 secs] [Times: user=0.16 sys=0.00, real=0.04 secs] 
2014-07-08T09:27:42.548+0000: 433.122: [GC [PSYoungGen: 1343760K->3244K(1287616K)] 1453116K->113824K(1974592K), 0.0379030 secs] [Times: user=0.10 sys=0.01, real=0.04 secs] 
2014-07-08T09:27:56.109+0000: 446.682: [GC [PSYoungGen: 1287546K->4034K(1235008K)] 1398126K->115910K(1921984K), 0.0237850 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2014-07-08T09:28:09.799+0000: 460.372: [GC [PSYoungGen: 1234942K->4339K(1184384K)] 1346818K->117559K(1871360K), 0.0347850 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
2014-07-08T09:28:23.243+0000: 473.816: [GC [PSYoungGen: 1184371K->2900K(1134592K)] 1297591K->117504K(1821568K), 0.0499900 secs] [Times: user=0.18 sys=0.00, real=0.05 secs] 
2014-07-08T09:28:34.992+0000: 485.565: [GC [PSYoungGen: 1134548K->3336K(1088960K)] 1249152K->119212K(1775936K), 0.0197010 secs] [Times: user=0.03 sys=0.01, real=0.02 secs] 
2014-07-08T09:28:45.587+0000: 496.160: [GC [PSYoungGen: 1088904K->2828K(1044608K)] 1204780K->119832K(1731584K), 0.0243770 secs] [Times: user=0.08 sys=0.01, real=0.02 secs] 
2014-07-08T09:28:56.445+0000: 507.018: [GC [PSYoungGen: 1044556K->3689K(1003712K)] 1161560K->121612K(1690688K), 0.0360420 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
2014-07-08T09:29:06.423+0000: 516.996: [GC [PSYoungGen: 1003647K->2818K(963136K)] 1121570K->121693K(1650112K), 0.0284390 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2014-07-08T09:29:16.813+0000: 527.386: [GC [PSYoungGen: 963074K->2676K(925120K)] 1081949K->122511K(1612096K), 0.0261520 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2014-07-08T09:29:27.256+0000: 537.829: [GC [PSYoungGen: 925108K->2790K(889216K)] 1044943K->123657K(1576192K), 0.0320870 secs] [Times: user=0.11 sys=0.01, real=0.03 secs] 
2014-07-08T09:29:36.359+0000: 546.932: [GC [PSYoungGen: 889190K->2761K(854912K)] 1010057K->124612K(1541888K), 0.0264430 secs] [Times: user=0.08 sys=0.01, real=0.03 secs] 
2014-07-08T09:29:45.094+0000: 555.667: [GC [PSYoungGen: 854857K->3305K(822720K)] 976708K->126028K(1509696K), 0.0386120 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
2014-07-08T09:29:53.330+0000: 563.904: [GC [PSYoungGen: 822691K->2772K(791104K)] 945414K->126335K(1478080K), 0.0351450 secs] [Times: user=0.12 sys=0.01, real=0.04 secs] 
