2014-07-08T10:33:13.259+0000: 22.644: [GC [PSYoungGen: 257728K->15172K(300608K)] 257728K->15180K(987584K), 0.0324670 secs] [Times: user=0.16 sys=0.02, real=0.04 secs] 
2014-07-08T10:33:17.301+0000: 26.686: [GC [PSYoungGen: 272900K->16802K(300608K)] 272908K->16818K(987584K), 0.0093040 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-08T10:33:19.860+0000: 29.245: [GC [PSYoungGen: 274530K->16754K(300608K)] 274546K->16778K(987584K), 0.0216190 secs] [Times: user=0.15 sys=0.00, real=0.02 secs] 
2014-07-08T10:33:22.276+0000: 31.660: [GC [PSYoungGen: 274482K->16898K(300608K)] 274506K->16922K(987584K), 0.0112340 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-08T10:33:24.763+0000: 34.147: [GC [PSYoungGen: 274626K->17218K(268608K)] 274650K->17250K(955584K), 0.0196810 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2014-07-08T10:33:27.091+0000: 36.476: [GC [PSYoungGen: 268546K->16914K(262144K)] 268578K->16946K(949120K), 0.0263230 secs] [Times: user=0.15 sys=0.03, real=0.03 secs] 
2014-07-08T10:33:29.032+0000: 38.417: [GC [PSYoungGen: 262098K->4291K(243584K)] 262130K->20214K(930560K), 0.0136870 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
2014-07-08T10:33:30.705+0000: 40.090: [GC [PSYoungGen: 243523K->6776K(242304K)] 259446K->22957K(929280K), 0.0052770 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T10:33:32.401+0000: 41.785: [GC [PSYoungGen: 240312K->9698K(237760K)] 256493K->25927K(924736K), 0.0057880 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T10:33:34.009+0000: 43.393: [GC [PSYoungGen: 237730K->4589K(240256K)] 253959K->27113K(927232K), 0.0129180 secs] [Times: user=0.08 sys=0.01, real=0.01 secs] 
2014-07-08T10:33:35.554+0000: 44.939: [GC [PSYoungGen: 227309K->1877K(219520K)] 249833K->28501K(906496K), 0.0036000 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T10:33:37.081+0000: 46.466: [GC [PSYoungGen: 219445K->1081K(231936K)] 246068K->29184K(918912K), 0.0049700 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T10:33:38.467+0000: 47.852: [GC [PSYoungGen: 213753K->1560K(209472K)] 241856K->30154K(896448K), 0.0061700 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T10:33:39.783+0000: 49.168: [GC [PSYoungGen: 209432K->1121K(222592K)] 238026K->30605K(909568K), 0.0060220 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T10:33:41.039+0000: 50.424: [GC [PSYoungGen: 204385K->804K(199616K)] 233869K->30807K(886592K), 0.0034270 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-08T10:33:42.225+0000: 51.610: [GC [PSYoungGen: 199588K->1113K(213120K)] 229591K->31322K(900096K), 0.0050930 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T10:33:43.399+0000: 52.784: [GC [PSYoungGen: 195609K->712K(191104K)] 225818K->31404K(878080K), 0.0089600 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T10:33:44.542+0000: 53.927: [GC [PSYoungGen: 191048K->758K(203776K)] 221740K->31538K(890752K), 0.0042880 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T10:33:45.674+0000: 55.059: [GC [PSYoungGen: 187062K->648K(183104K)] 217842K->31484K(870080K), 0.0050920 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T10:33:46.751+0000: 56.136: [GC [PSYoungGen: 183048K->644K(194752K)] 213884K->31552K(881728K), 0.0066670 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T10:33:47.803+0000: 57.188: [GC [PSYoungGen: 179255K->580K(175616K)] 210164K->31552K(862592K), 0.0059300 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T10:33:48.856+0000: 58.241: [GC [PSYoungGen: 175509K->587K(186048K)] 206481K->31592K(873024K), 0.0057180 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T10:33:49.850+0000: 59.235: [GC [PSYoungGen: 172043K->516K(168640K)] 203048K->31568K(855616K), 0.0118400 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-08T10:33:50.850+0000: 60.235: [GC [PSYoungGen: 168537K->566K(177920K)] 199590K->31682K(864896K), 0.0082700 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T10:33:51.811+0000: 61.196: [GC [PSYoungGen: 165366K->887K(162496K)] 196482K->32036K(849472K), 0.0052110 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T10:33:52.754+0000: 62.139: [GC [PSYoungGen: 162487K->722K(169984K)] 193636K->31943K(856960K), 0.0057990 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T10:33:53.692+0000: 63.077: [GC [PSYoungGen: 159250K->608K(156160K)] 190471K->31853K(843136K), 0.0038060 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T10:33:54.595+0000: 63.979: [GC [PSYoungGen: 156128K->534K(162688K)] 187373K->31810K(849664K), 0.0035660 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-08T10:33:55.530+0000: 64.915: [GC [PSYoungGen: 153172K->516K(150400K)] 184449K->31856K(837376K), 0.0041670 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-08T10:33:56.464+0000: 65.849: [GC [PSYoungGen: 150340K->516K(155776K)] 181680K->31904K(842752K), 0.0056620 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T10:33:57.299+0000: 66.684: [GC [PSYoungGen: 147588K->534K(145024K)] 178976K->31954K(832000K), 0.0061240 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T10:33:58.144+0000: 67.529: [GC [PSYoungGen: 144982K->584K(149440K)] 176402K->32084K(836416K), 0.0035550 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T10:33:59.012+0000: 68.397: [GC [PSYoungGen: 142472K->566K(139968K)] 173972K->32114K(826944K), 0.0039830 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T10:33:59.871+0000: 69.256: [GC [PSYoungGen: 139930K->754K(143232K)] 171479K->32383K(830208K), 0.0042420 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T10:34:00.671+0000: 70.056: [GC [PSYoungGen: 137714K->502K(135104K)] 169343K->32178K(822080K), 0.0038130 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T10:34:01.482+0000: 70.866: [GC [PSYoungGen: 135094K->598K(137664K)] 166770K->32338K(824640K), 0.0047030 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T10:34:02.257+0000: 71.641: [GC [PSYoungGen: 132886K->812K(130880K)] 164626K->32617K(817856K), 0.0044680 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T10:34:03.010+0000: 72.395: [GC [PSYoungGen: 130854K->680K(132352K)] 162659K->32556K(819328K), 0.0036050 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T10:34:03.763+0000: 73.148: [GC [PSYoungGen: 128552K->452K(126272K)] 160428K->32368K(813248K), 0.0052380 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T10:34:04.499+0000: 73.884: [GC [PSYoungGen: 126210K->836K(127360K)] 158127K->32825K(814336K), 0.0052140 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T10:34:05.246+0000: 74.630: [GC [PSYoungGen: 124521K->780K(122560K)] 156510K->32833K(809536K), 0.0055330 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-08T10:34:05.976+0000: 75.361: [GC [PSYoungGen: 122508K->644K(122944K)] 154561K->32760K(809920K), 0.0060240 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
