2014-07-28T16:54:22.990+0000: 27.204: [GC [PSYoungGen: 257728K->4796K(300608K)] 257728K->4804K(987584K), 0.0095630 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-28T16:54:26.614+0000: 30.828: [GC [PSYoungGen: 262524K->6686K(300608K)] 262532K->6702K(987584K), 0.0133210 secs] [Times: user=0.08 sys=0.02, real=0.02 secs] 
2014-07-28T16:54:28.301+0000: 32.515: [GC [PSYoungGen: 264414K->6006K(300608K)] 264430K->6022K(987584K), 0.0084680 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-28T16:54:29.785+0000: 33.998: [GC [PSYoungGen: 263734K->5714K(300608K)] 263750K->5738K(987584K), 0.0062790 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2014-07-28T16:54:31.598+0000: 35.812: [GC [PSYoungGen: 263442K->5696K(257088K)] 263466K->5728K(944064K), 0.0063020 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T16:54:33.353+0000: 37.566: [GC [PSYoungGen: 257024K->5664K(250880K)] 257056K->5704K(937856K), 0.0047960 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-28T16:54:34.953+0000: 39.166: [GC [PSYoungGen: 250848K->320K(239552K)] 250888K->5707K(926528K), 0.0081330 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-28T16:54:36.597+0000: 40.811: [GC [PSYoungGen: 239552K->224K(233792K)] 244939K->5635K(920768K), 0.0017780 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T16:54:38.202+0000: 42.416: [GC [PSYoungGen: 233760K->352K(228416K)] 239171K->5771K(915392K), 0.0026960 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T16:54:39.793+0000: 44.007: [GC [PSYoungGen: 228384K->224K(222976K)] 233803K->5643K(909952K), 0.0027680 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-28T16:54:41.344+0000: 45.557: [GC [PSYoungGen: 222944K->320K(217920K)] 228363K->5747K(904896K), 0.0037930 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-28T16:54:42.863+0000: 47.076: [GC [PSYoungGen: 217920K->288K(212992K)] 223347K->5763K(899968K), 0.0043780 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-28T16:54:44.348+0000: 48.561: [GC [PSYoungGen: 212960K->384K(208256K)] 218435K->5883K(895232K), 0.0022540 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T16:54:45.797+0000: 50.011: [GC [PSYoungGen: 208256K->384K(203648K)] 213755K->5963K(890624K), 0.0025350 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T16:54:47.221+0000: 51.435: [GC [PSYoungGen: 203648K->288K(199104K)] 209227K->5891K(886080K), 0.0027280 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T16:54:48.612+0000: 52.826: [GC [PSYoungGen: 199072K->466K(195008K)] 204675K->6125K(881984K), 0.0058560 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-28T16:54:49.977+0000: 54.191: [GC [PSYoungGen: 194962K->416K(190784K)] 200621K->6163K(877760K), 0.0039390 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-28T16:54:51.300+0000: 55.514: [GC [PSYoungGen: 190752K->352K(186688K)] 196499K->6115K(873664K), 0.0033350 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-28T16:54:52.609+0000: 56.823: [GC [PSYoungGen: 186656K->224K(182656K)] 192419K->6027K(869632K), 0.0032970 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T16:54:53.890+0000: 58.104: [GC [PSYoungGen: 182624K->434K(179072K)] 188427K->6309K(866048K), 0.0046030 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-28T16:54:55.142+0000: 59.355: [GC [PSYoungGen: 179058K->192K(175168K)] 184933K->6091K(862144K), 0.0026520 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T16:54:56.368+0000: 60.582: [GC [PSYoungGen: 175168K->416K(171904K)] 181067K->6387K(858880K), 0.0032230 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-28T16:54:57.568+0000: 61.782: [GC [PSYoungGen: 171872K->288K(168384K)] 177843K->6323K(855360K), 0.0051620 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-28T16:54:58.743+0000: 62.956: [GC [PSYoungGen: 168352K->480K(165312K)] 174387K->6619K(852288K), 0.0030580 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T16:54:59.896+0000: 64.109: [GC [PSYoungGen: 165280K->448K(162048K)] 171419K->6651K(849024K), 0.0023990 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T16:55:01.028+0000: 65.242: [GC [PSYoungGen: 162048K->448K(158976K)] 168251K->6723K(845952K), 0.0049840 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-28T16:55:02.139+0000: 66.353: [GC [PSYoungGen: 158976K->384K(155904K)] 165251K->6723K(842880K), 0.0042400 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-28T16:55:03.231+0000: 67.445: [GC [PSYoungGen: 155904K->416K(153088K)] 162243K->6843K(840064K), 0.0061130 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2014-07-28T16:55:04.300+0000: 68.514: [GC [PSYoungGen: 153054K->352K(150208K)] 159481K->6835K(837184K), 0.0026210 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T16:55:05.352+0000: 69.566: [GC [PSYoungGen: 150142K->370K(147456K)] 156626K->6909K(834432K), 0.0034320 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T16:55:06.388+0000: 70.601: [GC [PSYoungGen: 147410K->352K(144832K)] 153949K->6955K(831808K), 0.0030720 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
