2014-07-07T20:55:23.126+0000: 25.146: [GC [PSYoungGen: 257728K->42864K(300608K)] 257728K->57709K(987584K), 0.0800240 secs] [Times: user=0.28 sys=0.04, real=0.08 secs] 
2014-07-07T20:55:23.460+0000: 25.481: [GC [PSYoungGen: 300592K->42848K(300608K)] 315437K->64046K(987584K), 0.0544740 secs] [Times: user=0.19 sys=0.02, real=0.06 secs] 
2014-07-07T20:55:24.531+0000: 26.551: [GC [PSYoungGen: 300576K->42854K(300608K)] 321774K->64869K(987584K), 0.0379970 secs] [Times: user=0.14 sys=0.00, real=0.04 secs] 
2014-07-07T20:55:25.430+0000: 27.450: [GC [PSYoungGen: 300582K->42858K(558336K)] 322597K->65969K(1245312K), 0.0421260 secs] [Times: user=0.15 sys=0.02, real=0.04 secs] 
2014-07-07T20:55:27.781+0000: 29.801: [GC [PSYoungGen: 558314K->42858K(558336K)] 581425K->66089K(1245312K), 0.0539010 secs] [Times: user=0.19 sys=0.02, real=0.06 secs] 
2014-07-07T20:55:30.109+0000: 32.129: [GC [PSYoungGen: 558314K->43246K(1088704K)] 581545K->66477K(1775680K), 0.0681230 secs] [Times: user=0.24 sys=0.03, real=0.07 secs] 
2014-07-07T20:55:34.909+0000: 36.929: [GC [PSYoungGen: 1074158K->2432K(1089600K)] 1097389K->66008K(1776576K), 0.0932760 secs] [Times: user=0.32 sys=0.03, real=0.09 secs] 
2014-07-07T20:55:39.491+0000: 41.511: [GC [PSYoungGen: 1033344K->2920K(2124480K)] 1096920K->66913K(2811456K), 0.0143090 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-07T20:55:47.531+0000: 49.551: [GC [PSYoungGen: 2060520K->2386K(2128704K)] 2124513K->66810K(2815680K), 0.0143270 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-07T20:55:54.688+0000: 56.708: [GC [PSYoungGen: 2059986K->2116K(2720640K)] 2124410K->67292K(3407616K), 0.0220600 secs] [Times: user=0.08 sys=0.01, real=0.02 secs] 
2014-07-07T20:56:03.940+0000: 65.960: [GC [PSYoungGen: 2649284K->1604K(2648832K)] 2714460K->67620K(3335808K), 0.0068260 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-07T20:56:13.104+0000: 75.125: [GC [PSYoungGen: 2648772K->2248K(2722112K)] 2714788K->68729K(3409088K), 0.0288840 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
