2014-07-07T20:55:21.199+0000: 23.219: [GC [PSYoungGen: 257728K->15349K(300608K)] 257728K->15357K(987584K), 0.0161680 secs] [Times: user=0.04 sys=0.02, real=0.02 secs] 
2014-07-07T20:55:25.150+0000: 27.170: [GC [PSYoungGen: 273077K->18049K(300608K)] 273085K->18065K(987584K), 0.0099470 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-07T20:55:26.954+0000: 28.974: [GC [PSYoungGen: 275777K->22822K(300608K)] 275793K->22846K(987584K), 0.0062570 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
2014-07-07T20:55:28.998+0000: 31.018: [GC [PSYoungGen: 280550K->24909K(300608K)] 280574K->24933K(987584K), 0.0212200 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2014-07-07T20:55:31.085+0000: 33.105: [GC [PSYoungGen: 282637K->26268K(277632K)] 282661K->26300K(964608K), 0.0078200 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-07T20:55:33.049+0000: 35.069: [GC [PSYoungGen: 277596K->27991K(273216K)] 277628K->28031K(960192K), 0.0078040 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-07T20:55:35.140+0000: 37.160: [GC [PSYoungGen: 273175K->12000K(251264K)] 273215K->28706K(938240K), 0.0180800 secs] [Times: user=0.11 sys=0.01, real=0.02 secs] 
2014-07-07T20:55:37.038+0000: 39.058: [GC [PSYoungGen: 251232K->4900K(264768K)] 267938K->28968K(951744K), 0.0095460 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2014-07-07T20:55:38.825+0000: 40.845: [GC [PSYoungGen: 238436K->2175K(230208K)] 262504K->29589K(917184K), 0.0047180 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-07T20:55:40.447+0000: 42.467: [GC [PSYoungGen: 230207K->1582K(255424K)] 257621K->29979K(942400K), 0.0042250 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-07T20:55:42.053+0000: 44.073: [GC [PSYoungGen: 224302K->778K(218432K)] 252699K->30067K(905408K), 0.0049710 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-07T20:55:43.596+0000: 45.616: [GC [PSYoungGen: 218378K->566K(245312K)] 247667K->30175K(932288K), 0.0056740 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-07T20:55:45.098+0000: 47.118: [GC [PSYoungGen: 213238K->961K(208896K)] 242847K->30626K(895872K), 0.0054870 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-07T20:55:46.462+0000: 48.482: [GC [PSYoungGen: 208833K->352K(234560K)] 238498K->30314K(921536K), 0.0047700 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-07T20:55:47.769+0000: 49.789: [GC [PSYoungGen: 203616K->566K(199360K)] 233578K->30576K(886336K), 0.0048340 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-07T20:55:48.973+0000: 50.993: [GC [PSYoungGen: 199350K->762K(223552K)] 229360K->30868K(910528K), 0.0087050 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-07T20:55:50.148+0000: 52.168: [GC [PSYoungGen: 195258K->566K(190912K)] 225364K->30736K(877888K), 0.0045010 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-07T20:55:51.292+0000: 53.312: [GC [PSYoungGen: 190902K->548K(212928K)] 221072K->30758K(899904K), 0.0035650 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-07T20:55:52.366+0000: 54.386: [GC [PSYoungGen: 186852K->748K(183168K)] 217062K->31022K(870144K), 0.0053550 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-07T20:55:53.483+0000: 55.504: [GC [PSYoungGen: 183111K->698K(202624K)] 213385K->31012K(889600K), 0.0130260 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
