2014-07-08T19:58:30.755+0000: 24.402: [GC [PSYoungGen: 257728K->42864K(300608K)] 257728K->57733K(987584K), 0.0897750 secs] [Times: user=0.29 sys=0.04, real=0.09 secs] 
2014-07-08T19:58:31.079+0000: 24.726: [GC [PSYoungGen: 300592K->42864K(300608K)] 315461K->63983K(987584K), 0.0730720 secs] [Times: user=0.25 sys=0.03, real=0.07 secs] 
2014-07-08T19:58:32.252+0000: 25.899: [GC [PSYoungGen: 300592K->42854K(300608K)] 321711K->64101K(987584K), 0.0481860 secs] [Times: user=0.18 sys=0.00, real=0.05 secs] 
2014-07-08T19:58:33.113+0000: 26.760: [GC [PSYoungGen: 300582K->42870K(558336K)] 321829K->65403K(1245312K), 0.0812520 secs] [Times: user=0.29 sys=0.02, real=0.08 secs] 
2014-07-08T19:58:34.787+0000: 28.434: [GC [PSYoungGen: 558326K->42870K(558336K)] 580859K->65923K(1245312K), 0.0882810 secs] [Times: user=0.32 sys=0.03, real=0.09 secs] 
2014-07-08T19:58:36.351+0000: 29.999: [GC [PSYoungGen: 558326K->42994K(1088640K)] 581379K->66047K(1775616K), 0.0706900 secs] [Times: user=0.25 sys=0.02, real=0.07 secs] 
2014-07-08T19:58:39.570+0000: 33.217: [GC [PSYoungGen: 1073906K->2380K(1089472K)] 1096959K->65941K(1776448K), 0.0896090 secs] [Times: user=0.33 sys=0.02, real=0.09 secs] 
2014-07-08T19:58:44.840+0000: 38.487: [GC [PSYoungGen: 1033267K->2304K(2124224K)] 1096829K->66227K(2811200K), 0.0134740 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T19:58:55.757+0000: 49.404: [GC [PSYoungGen: 2059776K->3300K(2128576K)] 2123699K->67575K(2815552K), 0.0487940 secs] [Times: user=0.17 sys=0.01, real=0.05 secs] 
2014-07-08T19:59:06.086+0000: 59.734: [GC [PSYoungGen: 2060772K->3524K(2721216K)] 2125047K->68655K(3408192K), 0.0567180 secs] [Times: user=0.21 sys=0.01, real=0.06 secs] 
2014-07-08T19:59:20.549+0000: 74.196: [GC [PSYoungGen: 2651460K->2610K(2650560K)] 2716591K->70013K(3337536K), 0.0461440 secs] [Times: user=0.15 sys=0.02, real=0.05 secs] 
