2014-07-08T19:59:56.937+0000: 110.584: [GC [PSYoungGen: 256822K->1340K(256768K)] 286650K->31201K(943744K), 0.0072780 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T19:59:58.897+0000: 112.544: [GC [PSYoungGen: 250556K->1244K(244416K)] 280417K->31144K(931392K), 0.0080930 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-08T20:00:00.896+0000: 114.543: [GC [PSYoungGen: 244380K->1554K(242944K)] 274280K->31470K(929920K), 0.0058070 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:02.905+0000: 116.552: [GC [PSYoungGen: 238793K->1340K(232960K)] 268710K->31272K(919936K), 0.0052090 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T20:00:04.797+0000: 118.444: [GC [PSYoungGen: 232956K->1274K(229696K)] 262888K->31254K(916672K), 0.0056450 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:06.628+0000: 120.275: [GC [PSYoungGen: 227450K->1316K(222272K)] 257430K->31360K(909248K), 0.0064360 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:08.340+0000: 121.987: [GC [PSYoungGen: 222244K->1388K(217280K)] 252288K->31504K(904256K), 0.0062840 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:09.956+0000: 123.603: [GC [PSYoungGen: 217260K->1440K(212480K)] 247376K->31628K(899456K), 0.0075150 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:11.785+0000: 125.432: [GC [PSYoungGen: 212448K->1440K(207744K)] 242636K->31701K(894720K), 0.0048830 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T20:00:13.446+0000: 127.093: [GC [PSYoungGen: 207712K->1380K(203136K)] 237973K->31728K(890112K), 0.0052640 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T20:00:14.909+0000: 128.556: [GC [PSYoungGen: 203108K->1398K(198720K)] 233456K->31834K(885696K), 0.0046930 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:16.768+0000: 130.415: [GC [PSYoungGen: 198679K->1270K(194368K)] 229116K->31802K(881344K), 0.0073160 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-08T20:00:18.200+0000: 131.847: [GC [PSYoungGen: 194358K->1422K(190464K)] 224890K->32034K(877440K), 0.0042460 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:19.859+0000: 133.506: [GC [PSYoungGen: 190414K->1238K(186304K)] 221026K->31906K(873280K), 0.0059860 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:21.580+0000: 135.227: [GC [PSYoungGen: 186262K->1326K(182528K)] 216930K->32058K(869504K), 0.0136090 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:23.116+0000: 136.763: [GC [PSYoungGen: 182510K->1280K(178816K)] 213242K->32068K(865792K), 0.0033260 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-08T20:00:24.661+0000: 138.308: [GC [PSYoungGen: 178752K->1256K(175168K)] 209540K->32084K(862144K), 0.0121700 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:25.936+0000: 139.583: [GC [PSYoungGen: 175105K->1623K(172096K)] 205934K->32589K(859072K), 0.0070610 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T20:00:27.264+0000: 140.911: [GC [PSYoungGen: 172055K->1689K(168768K)] 203021K->32728K(855744K), 0.0050500 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2014-07-08T20:00:28.771+0000: 142.418: [GC [PSYoungGen: 168729K->1284K(165120K)] 199768K->32378K(852096K), 0.0055550 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:30.036+0000: 143.683: [GC [PSYoungGen: 165060K->1402K(162048K)] 196154K->32584K(849024K), 0.0037870 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T20:00:31.266+0000: 144.913: [GC [PSYoungGen: 162041K->1256K(158848K)] 193223K->32518K(845824K), 0.0092510 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:32.779+0000: 146.426: [GC [PSYoungGen: 158824K->1572K(156224K)] 190086K->32859K(843200K), 0.0092710 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:33.896+0000: 147.543: [GC [PSYoungGen: 156196K->1604K(153408K)] 187483K->32994K(840384K), 0.0049030 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T20:00:35.106+0000: 148.753: [GC [PSYoungGen: 153348K->1366K(150400K)] 184738K->32836K(837376K), 0.0046540 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:36.408+0000: 150.055: [GC [PSYoungGen: 150358K->1358K(147712K)] 181828K->32900K(834688K), 0.0041400 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T20:00:37.723+0000: 151.370: [GC [PSYoungGen: 147662K->1334K(145024K)] 179204K->32948K(832000K), 0.0098010 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2014-07-08T20:00:38.913+0000: 152.560: [GC [PSYoungGen: 145014K->1680K(142848K)] 176628K->33382K(829824K), 0.0084160 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:39.951+0000: 153.598: [GC [PSYoungGen: 142800K->992K(139648K)] 174502K->32734K(826624K), 0.0055200 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:41.209+0000: 154.856: [GC [PSYoungGen: 139616K->1502K(137792K)] 171358K->33340K(824768K), 0.0036500 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T20:00:42.300+0000: 155.947: [GC [PSYoungGen: 137758K->1575K(135552K)] 169596K->33477K(822528K), 0.0044380 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T20:00:43.425+0000: 157.072: [GC [PSYoungGen: 135478K->1376K(133120K)] 167380K->33390K(820096K), 0.0043790 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:44.446+0000: 158.093: [GC [PSYoungGen: 133088K->1476K(131072K)] 165102K->33547K(818048K), 0.0061040 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:45.498+0000: 159.145: [GC [PSYoungGen: 131012K->1590K(129024K)] 163083K->33740K(816000K), 0.0058340 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T20:00:46.605+0000: 160.252: [GC [PSYoungGen: 129014K->1486K(126912K)] 161164K->33725K(813888K), 0.0060510 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:47.703+0000: 161.350: [GC [PSYoungGen: 126825K->1434K(124800K)] 159064K->33744K(811776K), 0.0045620 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T20:00:48.686+0000: 162.333: [GC [PSYoungGen: 124762K->1412K(122816K)] 157072K->33803K(809792K), 0.0048300 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:49.744+0000: 163.391: [GC [PSYoungGen: 122754K->1416K(120896K)] 155145K->33870K(807872K), 0.0055580 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:50.620+0000: 164.267: [GC [PSYoungGen: 120803K->1440K(119040K)] 153258K->33998K(806016K), 0.0039180 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T20:00:51.432+0000: 165.079: [GC [PSYoungGen: 119008K->1490K(117312K)] 151566K->34136K(804288K), 0.0057000 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:52.342+0000: 165.989: [GC [PSYoungGen: 117266K->1272K(115264K)] 149912K->34119K(802240K), 0.0063320 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:53.386+0000: 167.033: [GC [PSYoungGen: 115211K->1434K(113728K)] 148057K->34368K(800704K), 0.0066250 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:54.114+0000: 167.761: [GC [PSYoungGen: 113690K->1262K(111872K)] 146624K->34372K(798848K), 0.0075260 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:55.186+0000: 168.833: [GC [PSYoungGen: 111854K->1306K(110336K)] 144964K->34456K(797312K), 0.0091810 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2014-07-08T20:00:55.943+0000: 169.590: [GC [PSYoungGen: 110298K->1270K(108672K)] 143448K->34606K(795648K), 0.0079620 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T20:00:56.962+0000: 170.609: [GC [PSYoungGen: 108661K->1622K(107520K)] 141998K->35039K(794496K), 0.0049790 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
