2014-07-08T18:48:59.310+0000: 23.440: [GC [PSYoungGen: 257728K->42855K(300608K)] 257728K->72623K(987584K), 0.0539010 secs] [Times: user=0.15 sys=0.04, real=0.06 secs] 
2014-07-08T18:49:01.580+0000: 25.710: [GC [PSYoungGen: 300583K->42876K(300608K)] 330351K->75165K(987584K), 0.0764260 secs] [Times: user=0.26 sys=0.02, real=0.08 secs] 
2014-07-08T18:49:03.789+0000: 27.919: [GC [PSYoungGen: 300604K->42851K(300608K)] 332893K->77894K(987584K), 0.0710770 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2014-07-08T18:49:05.890+0000: 30.020: [GC [PSYoungGen: 300579K->42865K(558336K)] 335622K->78317K(1245312K), 0.0583630 secs] [Times: user=0.21 sys=0.02, real=0.06 secs] 
2014-07-08T18:49:09.516+0000: 33.647: [GC [PSYoungGen: 558321K->42862K(558336K)] 593773K->78424K(1245312K), 0.0892060 secs] [Times: user=0.33 sys=0.02, real=0.09 secs] 
2014-07-08T18:49:14.049+0000: 38.179: [GC [PSYoungGen: 558318K->43208K(1099840K)] 593880K->78841K(1786816K), 0.0944660 secs] [Times: user=0.34 sys=0.03, real=0.09 secs] 
2014-07-08T18:49:24.282+0000: 48.412: [GC [PSYoungGen: 1074120K->5518K(1101824K)] 1109753K->79747K(1788800K), 0.0523630 secs] [Times: user=0.17 sys=0.02, real=0.05 secs] 
2014-07-08T18:49:34.627+0000: 58.757: [GC [PSYoungGen: 1036430K->4045K(2135808K)] 1110659K->80554K(2822784K), 0.0273140 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2014-07-08T18:49:55.368+0000: 79.499: [GC [PSYoungGen: 2062413K->3924K(2139264K)] 2138922K->81260K(2826240K), 0.0296740 secs] [Times: user=0.10 sys=0.01, real=0.03 secs] 
2014-07-08T18:50:16.183+0000: 100.314: [GC [PSYoungGen: 2062292K->3248K(1970176K)] 2139628K->81988K(2657152K), 0.0573180 secs] [Times: user=0.21 sys=0.01, real=0.06 secs] 
2014-07-08T18:50:37.122+0000: 121.253: [GC [PSYoungGen: 1970145K->2697K(1882752K)] 2048885K->83052K(2569728K), 0.0373040 secs] [Times: user=0.13 sys=0.01, real=0.04 secs] 
2014-07-08T18:50:58.614+0000: 142.744: [GC [PSYoungGen: 1882697K->2380K(1799808K)] 1963052K->83255K(2486784K), 0.0227810 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-08T18:51:18.755+0000: 162.885: [GC [PSYoungGen: 1799756K->2416K(1721216K)] 1880631K->83771K(2408192K), 0.0053030 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T18:51:38.827+0000: 182.957: [GC [PSYoungGen: 1721200K->2192K(1646336K)] 1802555K->84019K(2333312K), 0.0157550 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-08T18:51:56.828+0000: 200.958: [GC [PSYoungGen: 1646288K->2296K(1651136K)] 1728115K->84619K(2338112K), 0.0152420 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
2014-07-08T18:52:14.657+0000: 218.788: [GC [PSYoungGen: 1575352K->2480K(1508032K)] 1657675K->85267K(2195008K), 0.0226020 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-08T18:52:31.966+0000: 236.096: [GC [PSYoungGen: 1508016K->2217K(1514176K)] 1590803K->85476K(2201152K), 0.0115480 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
