2014-07-08T08:03:37.258+0000: 22.807: [GC [PSYoungGen: 257728K->23110K(300608K)] 257728K->23118K(987584K), 0.0338400 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
2014-07-08T08:03:41.382+0000: 26.931: [GC [PSYoungGen: 280838K->25333K(300608K)] 280846K->25349K(987584K), 0.0439620 secs] [Times: user=0.29 sys=0.03, real=0.04 secs] 
2014-07-08T08:03:43.000+0000: 28.549: [GC [PSYoungGen: 283061K->29778K(300608K)] 283077K->29802K(987584K), 0.0123550 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
2014-07-08T08:03:44.890+0000: 30.439: [GC [PSYoungGen: 287506K->33751K(300608K)] 287530K->33775K(987584K), 0.0181600 secs] [Times: user=0.11 sys=0.01, real=0.02 secs] 
2014-07-08T08:03:46.726+0000: 32.276: [GC [PSYoungGen: 291479K->37299K(288640K)] 291503K->37323K(975616K), 0.0091770 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-08T08:03:48.510+0000: 34.060: [GC [PSYoungGen: 288627K->37693K(282880K)] 288651K->39513K(969856K), 0.0171980 secs] [Times: user=0.12 sys=0.01, real=0.01 secs] 
2014-07-08T08:03:50.228+0000: 35.778: [GC [PSYoungGen: 282875K->16609K(255872K)] 284695K->41646K(942848K), 0.0264580 secs] [Times: user=0.14 sys=0.01, real=0.03 secs] 
2014-07-08T08:03:51.967+0000: 37.516: [GC [PSYoungGen: 255841K->10164K(277248K)] 280878K->43083K(964224K), 0.0104120 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-08T08:03:53.456+0000: 39.006: [GC [PSYoungGen: 243700K->6202K(234240K)] 276619K->44683K(921216K), 0.0037170 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:03:54.853+0000: 40.403: [GC [PSYoungGen: 234234K->3930K(268800K)] 272715K->46140K(955776K), 0.0034710 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T08:03:56.143+0000: 41.693: [GC [PSYoungGen: 226650K->2300K(219904K)] 268860K->47510K(906880K), 0.0059870 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-08T08:03:57.297+0000: 42.847: [GC [PSYoungGen: 219887K->2509K(258752K)] 265096K->49169K(945728K), 0.0074370 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T08:03:58.550+0000: 44.099: [GC [PSYoungGen: 215181K->1697K(209600K)] 261841K->49958K(896576K), 0.0037560 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:03:59.801+0000: 45.350: [GC [PSYoungGen: 209569K->1418K(248000K)] 257830K->50575K(934976K), 0.0031170 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:04:00.913+0000: 46.462: [GC [PSYoungGen: 204682K->1665K(200512K)] 253839K->51189K(887488K), 0.0037660 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T08:04:01.936+0000: 47.485: [GC [PSYoungGen: 200449K->1141K(236608K)] 249973K->51274K(923584K), 0.0029230 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-08T08:04:02.908+0000: 48.458: [GC [PSYoungGen: 195637K->1318K(191680K)] 245770K->51664K(878656K), 0.0036780 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T08:04:03.816+0000: 49.365: [GC [PSYoungGen: 191608K->1548K(224960K)] 241954K->52220K(911936K), 0.0036450 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T08:04:04.744+0000: 50.293: [GC [PSYoungGen: 187846K->1049K(183488K)] 238519K->52232K(870464K), 0.0073100 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-08T08:04:05.655+0000: 51.204: [GC [PSYoungGen: 183449K->1330K(213824K)] 234632K->52686K(900800K), 0.0091360 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T08:04:06.544+0000: 52.093: [GC [PSYoungGen: 179954K->1185K(176192K)] 231310K->52885K(863168K), 0.0047170 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-08T08:04:07.413+0000: 52.962: [GC [PSYoungGen: 176161K->1322K(203008K)] 227861K->53363K(889984K), 0.0056260 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T08:04:08.234+0000: 53.783: [GC [PSYoungGen: 172731K->1106K(169216K)] 224772K->53188K(856192K), 0.0098700 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-08T08:04:08.988+0000: 54.538: [GC [PSYoungGen: 169170K->976K(192960K)] 221252K->53394K(879936K), 0.0070700 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T08:04:09.750+0000: 55.299: [GC [PSYoungGen: 165776K->1049K(162688K)] 218194K->53522K(849664K), 0.0060420 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
