2014-07-08T04:14:58.426+0000: 56.642: [GC [PSYoungGen: 142614K->1078K(140480K)] 171403K->29899K(827456K), 0.0037640 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T04:14:58.870+0000: 57.086: [GC [PSYoungGen: 140470K->644K(144576K)] 169291K->29561K(831552K), 0.0030470 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T04:14:59.359+0000: 57.574: [GC [PSYoungGen: 137604K->1304K(135936K)] 166521K->30286K(822912K), 0.0056170 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T04:14:59.778+0000: 57.994: [GC [PSYoungGen: 135896K->598K(138688K)] 164878K->29635K(825664K), 0.0046400 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T04:15:00.222+0000: 58.438: [GC [PSYoungGen: 132886K->886K(130944K)] 161923K->29979K(817920K), 0.0031430 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T04:15:00.661+0000: 58.877: [GC [PSYoungGen: 130934K->994K(133248K)] 160027K->30159K(820224K), 0.0043860 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T04:15:01.067+0000: 59.283: [GC [PSYoungGen: 128866K->580K(126400K)] 158031K->29809K(813376K), 0.0043040 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T04:15:01.551+0000: 59.767: [GC [PSYoungGen: 126340K->548K(128256K)] 155569K->29785K(815232K), 0.0051920 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T04:15:01.898+0000: 60.114: [GC [PSYoungGen: 124260K->772K(130816K)] 153497K->30041K(817792K), 0.0053950 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T04:15:02.370+0000: 60.586: [GC [PSYoungGen: 124484K->1337K(123072K)] 153753K->30662K(810048K), 0.0028700 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T04:15:02.739+0000: 60.955: [GC [PSYoungGen: 123065K->926K(152832K)] 152390K->30299K(839808K), 0.0214280 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2014-07-08T04:15:03.110+0000: 61.326: [GC [PSYoungGen: 147571K->894K(154624K)] 176945K->30355K(841600K), 0.0031010 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T04:15:03.653+0000: 61.869: [GC [PSYoungGen: 149780K->1218K(154240K)] 179241K->30735K(841216K), 0.0029900 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T04:15:03.975+0000: 62.190: [GC [PSYoungGen: 150137K->1136K(185856K)] 179654K->30741K(872832K), 0.0026270 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T04:15:04.510+0000: 62.726: [GC [PSYoungGen: 182832K->1357K(186240K)] 212437K->31003K(873216K), 0.0038260 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T04:15:04.886+0000: 63.102: [GC [PSYoungGen: 183053K->1264K(225472K)] 212699K->30965K(912448K), 0.0042030 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2014-07-08T04:15:05.524+0000: 63.739: [GC [PSYoungGen: 222943K->942K(217536K)] 252644K->30659K(904512K), 0.0033910 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-08T04:15:05.985+0000: 64.200: [GC [PSYoungGen: 217487K->1574K(213248K)] 247205K->31371K(900224K), 0.0031400 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T04:15:06.738+0000: 64.953: [GC [PSYoungGen: 213184K->890K(207808K)] 242981K->30743K(894784K), 0.0038930 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T04:15:07.331+0000: 65.546: [GC [PSYoungGen: 207802K->1046K(203456K)] 237655K->30931K(890432K), 0.0034600 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T04:15:07.765+0000: 65.981: [GC [PSYoungGen: 203407K->1074K(199040K)] 233293K->31008K(886016K), 0.0044620 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-08T04:15:08.226+0000: 66.442: [GC [PSYoungGen: 199026K->890K(194560K)] 228960K->30879K(881536K), 0.0033810 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T04:15:08.739+0000: 66.954: [GC [PSYoungGen: 194517K->1580K(191168K)] 224506K->31625K(878144K), 0.0026710 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T04:15:09.132+0000: 67.347: [GC [PSYoungGen: 191080K->1421K(187072K)] 221126K->31507K(874048K), 0.0035160 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
