2014-07-08T03:08:05.594+0000: 224.225: [GC [PSYoungGen: 1085620K->1172K(1073600K)] 1170934K->86758K(1760576K), 0.0129100 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T03:08:10.330+0000: 228.962: [GC [PSYoungGen: 1041748K->1268K(1000192K)] 1127334K->87062K(1687168K), 0.0078750 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T03:08:14.883+0000: 233.514: [GC [PSYoungGen: 1000137K->1126K(988096K)] 1085931K->87152K(1675072K), 0.0178850 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-08T03:08:19.264+0000: 237.896: [GC [PSYoungGen: 960358K->1506K(923008K)] 1046384K->87693K(1609984K), 0.0112410 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T03:08:23.437+0000: 242.069: [GC [PSYoungGen: 922978K->1140K(910528K)] 1009165K->87542K(1597504K), 0.0070820 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T03:08:27.510+0000: 246.141: [GC [PSYoungGen: 886644K->1424K(852736K)] 973046K->88042K(1539712K), 0.0129750 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2014-07-08T03:08:31.433+0000: 250.064: [GC [PSYoungGen: 852679K->1346K(840320K)] 939297K->88197K(1527296K), 0.0072160 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T03:08:35.159+0000: 253.790: [GC [PSYoungGen: 819970K->1290K(788864K)] 906821K->88316K(1475840K), 0.0085670 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-08T03:08:38.732+0000: 257.363: [GC [PSYoungGen: 788810K->1236K(776704K)] 875836K->88366K(1463680K), 0.0059200 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T03:08:42.199+0000: 260.830: [GC [PSYoungGen: 759111K->1268K(730944K)] 846242K->88662K(1417920K), 0.0065770 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
