2014-07-08T05:29:20.406+0000: 23.865: [GC [PSYoungGen: 257728K->42864K(300608K)] 257728K->57708K(987584K), 0.0765850 secs] [Times: user=0.28 sys=0.03, real=0.08 secs] 
2014-07-08T05:29:20.678+0000: 24.137: [GC [PSYoungGen: 300592K->42854K(300608K)] 315436K->63771K(987584K), 0.0746990 secs] [Times: user=0.27 sys=0.03, real=0.08 secs] 
2014-07-08T05:29:22.175+0000: 25.634: [GC [PSYoungGen: 300582K->42864K(300608K)] 321499K->64621K(987584K), 0.0324690 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2014-07-08T05:29:23.510+0000: 26.969: [GC [PSYoungGen: 300592K->42864K(558336K)] 322349K->65973K(1245312K), 0.0488470 secs] [Times: user=0.17 sys=0.03, real=0.05 secs] 
2014-07-08T05:29:26.087+0000: 29.546: [GC [PSYoungGen: 558320K->42870K(558336K)] 581429K->66116K(1245312K), 0.0598830 secs] [Times: user=0.20 sys=0.03, real=0.06 secs] 
2014-07-08T05:29:28.907+0000: 32.367: [GC [PSYoungGen: 558326K->43374K(1088640K)] 581572K->66620K(1775616K), 0.0480630 secs] [Times: user=0.16 sys=0.02, real=0.05 secs] 
2014-07-08T05:29:33.499+0000: 36.958: [GC [PSYoungGen: 1074286K->2660K(1089472K)] 1097532K->66199K(1776448K), 0.0922820 secs] [Times: user=0.34 sys=0.02, real=0.09 secs] 
2014-07-08T05:29:37.978+0000: 41.437: [GC [PSYoungGen: 1033572K->2372K(2124096K)] 1097111K->66352K(2811072K), 0.0106020 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T05:29:46.076+0000: 49.536: [GC [PSYoungGen: 2059780K->2618K(2128512K)] 2123760K->67030K(2815488K), 0.0089660 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T05:29:52.946+0000: 56.405: [GC [PSYoungGen: 2060026K->2180K(2720704K)] 2124438K->67304K(3407680K), 0.0057930 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T05:30:02.087+0000: 65.547: [GC [PSYoungGen: 2649476K->1636K(2648960K)] 2714600K->67688K(3335936K), 0.0758230 secs] [Times: user=0.30 sys=0.00, real=0.07 secs] 
2014-07-08T05:30:11.094+0000: 74.553: [GC [PSYoungGen: 2648931K->2220K(2722176K)] 2714983K->68752K(3409152K), 0.0091510 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T05:30:20.002+0000: 83.461: [GC [PSYoungGen: 2649708K->2002K(2649536K)] 2716240K->68990K(3336512K), 0.0354100 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2014-07-08T05:30:28.074+0000: 91.533: [GC [PSYoungGen: 2649490K->1718K(2528640K)] 2716478K->69146K(3215616K), 0.0083230 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T05:30:35.612+0000: 99.072: [GC [PSYoungGen: 2528630K->1604K(2483456K)] 2596058K->69480K(3170432K), 0.0051700 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T05:30:42.177+0000: 105.636: [GC [PSYoungGen: 2413796K->1882K(2305280K)] 2481672K->70206K(2992256K), 0.0051720 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T05:30:48.309+0000: 111.768: [GC [PSYoungGen: 2305242K->1970K(2266624K)] 2373566K->70702K(2953600K), 0.0075760 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T05:30:54.266+0000: 117.725: [GC [PSYoungGen: 2201769K->1778K(2103168K)] 2270501K->70910K(2790144K), 0.0298470 secs] [Times: user=0.10 sys=0.01, real=0.03 secs] 
2014-07-08T05:30:59.038+0000: 122.497: [GC [PSYoungGen: 2103154K->1568K(2069376K)] 2172286K->71084K(2756352K), 0.0246080 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2014-07-08T05:31:03.085+0000: 126.544: [GC [PSYoungGen: 2009376K->1882K(1920768K)] 2078892K->71750K(2607744K), 0.0135790 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
