2014-07-08T06:46:18.145+0000: 23.235: [GC [PSYoungGen: 257728K->19290K(300608K)] 257728K->19298K(987584K), 0.0190290 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
2014-07-08T06:46:22.354+0000: 27.445: [GC [PSYoungGen: 277018K->20788K(300608K)] 277026K->20804K(987584K), 0.0132920 secs] [Times: user=0.06 sys=0.02, real=0.01 secs] 
2014-07-08T06:46:24.359+0000: 29.449: [GC [PSYoungGen: 278516K->23470K(300608K)] 278532K->23494K(987584K), 0.0088910 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-08T06:46:25.686+0000: 30.776: [GC [PSYoungGen: 281198K->27572K(300608K)] 281222K->27604K(987584K), 0.0140120 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-08T06:46:27.012+0000: 32.103: [GC [PSYoungGen: 285300K->30831K(282176K)] 285332K->30871K(969152K), 0.0096340 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T06:46:28.510+0000: 33.600: [GC [PSYoungGen: 282159K->28660K(273856K)] 282199K->33435K(960832K), 0.0115680 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
2014-07-08T06:46:30.009+0000: 35.099: [GC [PSYoungGen: 273844K->14291K(253568K)] 278619K->36960K(940544K), 0.0110580 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-08T06:46:31.361+0000: 36.451: [GC [PSYoungGen: 253523K->10586K(267712K)] 276192K->38233K(954688K), 0.0064790 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T06:46:32.745+0000: 37.836: [GC [PSYoungGen: 244122K->6627K(234688K)] 271769K->39302K(921664K), 0.0032420 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-08T06:46:34.068+0000: 39.158: [GC [PSYoungGen: 234657K->2740K(259648K)] 267332K->40254K(946624K), 0.0048460 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T06:46:35.310+0000: 40.400: [GC [PSYoungGen: 225460K->1009K(218624K)] 262974K->40518K(905600K), 0.0048080 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T06:46:36.591+0000: 41.682: [GC [PSYoungGen: 218600K->1165K(250240K)] 258109K->40994K(937216K), 0.0065460 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T06:46:37.911+0000: 43.001: [GC [PSYoungGen: 213837K->1291K(209216K)] 253666K->41307K(896192K), 0.0061990 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T06:46:39.207+0000: 44.297: [GC [PSYoungGen: 209140K->835K(239616K)] 249156K->41492K(926592K), 0.0065900 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T06:46:40.464+0000: 45.554: [GC [PSYoungGen: 204099K->740K(199552K)] 244756K->41610K(886528K), 0.0068570 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T06:46:41.597+0000: 46.687: [GC [PSYoungGen: 199524K->826K(228736K)] 240394K->41784K(915712K), 0.0052250 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T06:46:42.691+0000: 47.781: [GC [PSYoungGen: 195322K->758K(191104K)] 236280K->41788K(878080K), 0.0081800 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-08T06:46:43.759+0000: 48.849: [GC [PSYoungGen: 191094K->915K(217856K)] 232124K->42009K(904832K), 0.0036160 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T06:46:44.827+0000: 49.918: [GC [PSYoungGen: 187219K->808K(183232K)] 228313K->41990K(870208K), 0.0062360 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2014-07-08T06:46:45.880+0000: 50.970: [GC [PSYoungGen: 183208K->812K(207168K)] 224390K->42066K(894144K), 0.0070940 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T06:46:46.897+0000: 51.987: [GC [PSYoungGen: 179436K->885K(175872K)] 220690K->42204K(862848K), 0.0084320 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2014-07-08T06:46:48.059+0000: 53.149: [GC [PSYoungGen: 175861K->975K(197056K)] 217180K->42523K(884032K), 0.0043790 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T06:46:48.949+0000: 54.039: [GC [PSYoungGen: 172431K->933K(169024K)] 213979K->42529K(856000K), 0.0055960 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T06:46:49.809+0000: 54.899: [GC [PSYoungGen: 168997K->926K(187456K)] 210593K->42725K(874432K), 0.0060850 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
