2014-07-08T06:46:19.735+0000: 24.826: [GC [PSYoungGen: 257728K->42848K(300608K)] 257728K->57749K(987584K), 0.0802280 secs] [Times: user=0.27 sys=0.03, real=0.08 secs] 
2014-07-08T06:46:20.057+0000: 25.147: [GC [PSYoungGen: 300576K->42864K(300608K)] 315477K->63814K(987584K), 0.0800810 secs] [Times: user=0.28 sys=0.02, real=0.08 secs] 
2014-07-08T06:46:21.524+0000: 26.614: [GC [PSYoungGen: 300592K->42854K(300608K)] 321542K->63988K(987584K), 0.0616190 secs] [Times: user=0.24 sys=0.01, real=0.06 secs] 
2014-07-08T06:46:22.879+0000: 27.969: [GC [PSYoungGen: 300582K->42870K(558336K)] 321716K->64692K(1245312K), 0.0557950 secs] [Times: user=0.18 sys=0.02, real=0.06 secs] 
2014-07-08T06:46:24.681+0000: 29.772: [GC [PSYoungGen: 558326K->42868K(558336K)] 580148K->65419K(1245312K), 0.0979790 secs] [Times: user=0.36 sys=0.03, real=0.10 secs] 
2014-07-08T06:46:26.165+0000: 31.255: [GC [PSYoungGen: 558324K->43750K(1088192K)] 580875K->66301K(1775168K), 0.0696630 secs] [Times: user=0.25 sys=0.02, real=0.07 secs] 
2014-07-08T06:46:29.787+0000: 34.878: [GC [PSYoungGen: 1074662K->2098K(1089216K)] 1097213K->65526K(1776192K), 0.0871510 secs] [Times: user=0.30 sys=0.03, real=0.09 secs] 
2014-07-08T06:46:33.460+0000: 38.550: [GC [PSYoungGen: 1033010K->2358K(2124096K)] 1096438K->66098K(2811072K), 0.0179430 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-08T06:46:40.567+0000: 45.657: [GC [PSYoungGen: 2059830K->2230K(2128448K)] 2123570K->66306K(2815424K), 0.0302540 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
2014-07-08T06:46:47.440+0000: 52.530: [GC [PSYoungGen: 2059702K->1874K(2720768K)] 2123778K->66486K(3407744K), 0.0454960 secs] [Times: user=0.17 sys=0.00, real=0.04 secs] 
2014-07-08T06:46:56.072+0000: 61.162: [GC [PSYoungGen: 2649298K->3188K(2721792K)] 2713910K->68504K(3408768K), 0.0258110 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-08T06:47:04.058+0000: 69.148: [GC [PSYoungGen: 2650612K->1764K(2720704K)] 2715928K->67680K(3407680K), 0.0343470 secs] [Times: user=0.12 sys=0.01, real=0.04 secs] 
2014-07-08T06:47:11.659+0000: 76.749: [GC [PSYoungGen: 2649252K->1636K(2721280K)] 2715168K->68016K(3408256K), 0.0050370 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T06:47:18.976+0000: 84.066: [GC [PSYoungGen: 2649124K->1572K(2528512K)] 2715504K->68408K(3215488K), 0.0050520 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T06:47:25.494+0000: 90.584: [GC [PSYoungGen: 2528484K->1536K(2483328K)] 2595320K->68740K(3170304K), 0.0065890 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T06:47:30.943+0000: 96.033: [GC [PSYoungGen: 2413824K->1536K(2304896K)] 2481028K->69156K(2991872K), 0.0226990 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2014-07-08T06:47:35.667+0000: 100.758: [GC [PSYoungGen: 2304896K->1846K(2266496K)] 2372516K->69866K(2953472K), 0.0136990 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
2014-07-08T06:47:39.842+0000: 104.933: [GC [PSYoungGen: 2201654K->1330K(2102720K)] 2269674K->69862K(2789696K), 0.0134570 secs] [Times: user=0.01 sys=0.01, real=0.02 secs] 
2014-07-08T06:47:44.141+0000: 109.231: [GC [PSYoungGen: 2102706K->1138K(2069376K)] 2171238K->70134K(2756352K), 0.0115570 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-08T06:47:48.067+0000: 113.157: [GC [PSYoungGen: 2008946K->800K(1919680K)] 2077942K->70188K(2606656K), 0.0159750 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T06:47:52.199+0000: 117.290: [GC [PSYoungGen: 1919648K->914K(1890496K)] 1989036K->70550K(2577472K), 0.0086830 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T06:47:55.985+0000: 121.076: [GC [PSYoungGen: 1835218K->1000K(1754944K)] 1904854K->70988K(2441920K), 0.0116620 secs] [Times: user=0.02 sys=0.01, real=0.02 secs] 
2014-07-08T06:47:59.781+0000: 124.871: [GC [PSYoungGen: 1754831K->1046K(1728128K)] 1824819K->71354K(2415104K), 0.0221640 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-08T06:48:03.225+0000: 128.316: [GC [PSYoungGen: 1678550K->864K(1605696K)] 1748858K->71404K(2292672K), 0.0179280 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2014-07-08T06:48:06.858+0000: 131.948: [GC [PSYoungGen: 1605664K->1220K(1580928K)] 1676204K->71984K(2267904K), 0.0058860 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T06:48:10.045+0000: 135.136: [GC [PSYoungGen: 1536896K->808K(1470784K)] 1607661K->71828K(2157760K), 0.0135830 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T06:48:13.160+0000: 138.251: [GC [PSYoungGen: 1470760K->1064K(1447488K)] 1541780K->72292K(2134464K), 0.0072650 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T06:48:16.034+0000: 141.124: [GC [PSYoungGen: 1408488K->772K(1348800K)] 1479716K->72224K(2035776K), 0.0104450 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T06:48:18.670+0000: 143.761: [GC [PSYoungGen: 1348740K->1074K(1326720K)] 1420192K->72710K(2013696K), 0.0085850 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T06:48:21.176+0000: 146.267: [GC [PSYoungGen: 1292466K->790K(1238400K)] 1364102K->72538K(1925376K), 0.0078090 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-08T06:48:24.012+0000: 149.102: [GC [PSYoungGen: 1238358K->1284K(1217280K)] 1310106K->73208K(1904256K), 0.0183630 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-08T06:48:26.747+0000: 151.838: [GC [PSYoungGen: 1187652K->1156K(1138880K)] 1259576K->73272K(1825856K), 0.0140830 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2014-07-08T06:48:29.097+0000: 154.187: [GC [PSYoungGen: 1138820K->786K(1118208K)] 1210936K->73094K(1805184K), 0.0042160 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T06:48:31.561+0000: 156.651: [GC [PSYoungGen: 1092114K->992K(1048256K)] 1164422K->73428K(1735232K), 0.0075220 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T06:48:34.068+0000: 159.159: [GC [PSYoungGen: 1048224K->1330K(1028672K)] 1120660K->73894K(1715648K), 0.0076360 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T06:48:36.156+0000: 161.247: [GC [PSYoungGen: 1006578K->676K(965952K)] 1079142K->73400K(1652928K), 0.0079940 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T06:48:38.450+0000: 163.541: [GC [PSYoungGen: 965924K->900K(947456K)] 1038648K->73736K(1634432K), 0.0049240 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T06:48:40.561+0000: 165.651: [GC [PSYoungGen: 928068K->946K(891904K)] 1000904K->73886K(1578880K), 0.0345560 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
2014-07-08T06:48:42.668+0000: 167.758: [GC [PSYoungGen: 891890K->914K(874048K)] 964830K->73966K(1561024K), 0.0073830 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T06:48:44.720+0000: 169.811: [GC [PSYoungGen: 857362K->1096K(824704K)] 930414K->74284K(1511680K), 0.0089360 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T06:48:46.359+0000: 171.450: [GC [PSYoungGen: 824648K->466K(792704K)] 897836K->73830K(1479680K), 0.0084450 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T06:48:48.127+0000: 173.217: [GC [PSYoungGen: 792658K->448K(762816K)] 866022K->73884K(1449792K), 0.0079330 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T06:48:49.860+0000: 174.950: [GC [PSYoungGen: 762816K->844K(747136K)] 836252K->74368K(1434112K), 0.0085650 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
