2014-07-08T08:05:37.293+0000: 142.843: [GC [PSYoungGen: 1138132K->854K(1092160K)] 1210081K->72938K(1779136K), 0.0077820 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T08:05:39.561+0000: 145.110: [GC [PSYoungGen: 1092118K->480K(1074240K)] 1164202K->72676K(1761216K), 0.0045790 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:05:41.660+0000: 147.210: [GC [PSYoungGen: 1047648K->416K(1005632K)] 1119844K->72724K(1692608K), 0.0218220 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-08T08:05:43.640+0000: 149.190: [GC [PSYoungGen: 1005600K->1248K(988800K)] 1077908K->73716K(1675776K), 0.0118170 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-08T08:05:45.525+0000: 151.074: [GC [PSYoungGen: 966432K->416K(927552K)] 1038900K->73068K(1614528K), 0.0147720 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2014-07-08T08:05:47.202+0000: 152.751: [GC [PSYoungGen: 927520K->576K(911296K)] 1000172K->73420K(1598272K), 0.0121410 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T08:05:48.850+0000: 154.399: [GC [PSYoungGen: 891456K->552K(856960K)] 964300K->73468K(1543936K), 0.0082410 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:05:50.564+0000: 156.113: [GC [PSYoungGen: 856936K->932K(841152K)] 929852K->73912K(1528128K), 0.0097600 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T08:05:52.026+0000: 157.576: [GC [PSYoungGen: 824420K->480K(792704K)] 897400K->73644K(1479680K), 0.0088980 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T08:05:53.595+0000: 159.144: [GC [PSYoungGen: 792672K->256K(777600K)] 865836K->73556K(1464576K), 0.0039980 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:05:54.858+0000: 160.408: [GC [PSYoungGen: 762624K->320K(734208K)] 835924K->73780K(1421184K), 0.0071910 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T08:05:56.299+0000: 161.849: [GC [PSYoungGen: 734204K->530K(719936K)] 807665K->74030K(1406912K), 0.0135090 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T08:05:57.647+0000: 163.197: [GC [PSYoungGen: 707282K->356K(681280K)] 780782K->73952K(1368256K), 0.0058640 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:05:59.027+0000: 164.576: [GC [PSYoungGen: 681252K->288K(667648K)] 754848K->73956K(1354624K), 0.0115140 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2014-07-08T08:06:00.165+0000: 165.715: [GC [PSYoungGen: 656544K->854K(633600K)] 730212K->74610K(1320576K), 0.0119030 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-08T08:06:01.386+0000: 166.936: [GC [PSYoungGen: 633558K->416K(610688K)] 707314K->74236K(1297664K), 0.0045170 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-08T08:06:02.507+0000: 168.056: [GC [PSYoungGen: 610635K->448K(589248K)] 684456K->74396K(1276224K), 0.0159510 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-08T08:06:03.702+0000: 169.252: [GC [PSYoungGen: 589248K->1092K(576768K)] 663196K->75128K(1263744K), 0.0061090 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:04.656+0000: 170.205: [GC [PSYoungGen: 569476K->224K(549120K)] 643512K->74356K(1236096K), 0.0067050 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:05.687+0000: 171.236: [GC [PSYoungGen: 549088K->324K(537408K)] 623220K->74496K(1224384K), 0.0036670 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-08T08:06:06.598+0000: 172.147: [GC [PSYoungGen: 530562K->602K(513088K)] 604735K->74846K(1200064K), 0.0039180 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:07.554+0000: 173.103: [GC [PSYoungGen: 513030K->256K(495680K)] 587275K->74524K(1182656K), 0.0037070 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:08.393+0000: 173.943: [GC [PSYoungGen: 495609K->434K(479616K)] 569877K->74742K(1166592K), 0.0050610 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:09.422+0000: 174.972: [GC [PSYoungGen: 479602K->954K(468928K)] 553910K->75278K(1155904K), 0.0059250 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:10.170+0000: 175.719: [GC [PSYoungGen: 464570K->530K(449344K)] 538894K->74942K(1136320K), 0.0051870 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:10.919+0000: 176.468: [GC [PSYoungGen: 449298K->192K(434752K)] 523710K->74676K(1121728K), 0.0081430 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:11.763+0000: 177.312: [GC [PSYoungGen: 434750K->224K(421184K)] 509234K->74756K(1108160K), 0.0042770 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:12.617+0000: 178.166: [GC [PSYoungGen: 421150K->306K(411968K)] 495683K->74934K(1098944K), 0.0059130 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:13.374+0000: 178.923: [GC [PSYoungGen: 408242K->708K(396224K)] 482870K->75440K(1083200K), 0.0069650 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:14.034+0000: 179.583: [GC [PSYoungGen: 396164K->530K(475136K)] 470896K->75334K(1162112K), 0.0181740 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-08T08:06:14.905+0000: 180.455: [GC [PSYoungGen: 475088K->288K(459520K)] 549893K->75132K(1146496K), 0.0042300 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:15.868+0000: 181.417: [GC [PSYoungGen: 459488K->192K(444736K)] 534332K->75084K(1131712K), 0.0034880 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:16.661+0000: 182.210: [GC [PSYoungGen: 444736K->192K(430720K)] 519628K->75172K(1117696K), 0.0083270 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:17.486+0000: 183.035: [GC [PSYoungGen: 430720K->292K(419776K)] 505700K->75304K(1106752K), 0.0040080 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:18.197+0000: 183.746: [GC [PSYoungGen: 417321K->544K(404800K)] 492333K->75612K(1091776K), 0.0070450 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:18.956+0000: 184.506: [GC [PSYoungGen: 404768K->534K(392512K)] 479836K->75618K(1079488K), 0.0039350 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:19.665+0000: 185.215: [GC [PSYoungGen: 392470K->338K(380544K)] 467554K->75478K(1067520K), 0.0040450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:20.367+0000: 185.916: [GC [PSYoungGen: 380498K->530K(369408K)] 455638K->75702K(1056384K), 0.0042780 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:20.952+0000: 186.502: [GC [PSYoungGen: 369362K->224K(358272K)] 444534K->75476K(1045248K), 0.0058980 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:21.623+0000: 187.172: [GC [PSYoungGen: 358240K->192K(347840K)] 433492K->75492K(1034816K), 0.0029170 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:22.260+0000: 187.809: [GC [PSYoungGen: 347835K->928K(338688K)] 423135K->76300K(1025664K), 0.0051630 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:23.000+0000: 188.549: [GC [PSYoungGen: 338656K->384K(328576K)] 414028K->75836K(1015552K), 0.0053090 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:23.630+0000: 189.180: [GC [PSYoungGen: 328499K->384K(394240K)] 403952K->75940K(1081216K), 0.0161060 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-08T08:06:24.496+0000: 190.046: [GC [PSYoungGen: 394240K->448K(382464K)] 469796K->76060K(1069440K), 0.0047030 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T08:06:25.114+0000: 190.664: [GC [PSYoungGen: 382464K->320K(458752K)] 458076K->76020K(1145728K), 0.0085200 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T08:06:25.906+0000: 191.456: [GC [PSYoungGen: 458752K->306K(444096K)] 534452K->76038K(1131072K), 0.0044370 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
