2014-07-08T04:14:26.408+0000: 24.624: [GC [PSYoungGen: 257728K->42864K(300608K)] 257728K->57771K(987584K), 0.0624950 secs] [Times: user=0.21 sys=0.03, real=0.06 secs] 
2014-07-08T04:14:26.623+0000: 24.839: [GC [PSYoungGen: 300592K->42854K(300608K)] 315499K->64050K(987584K), 0.0735080 secs] [Times: user=0.26 sys=0.03, real=0.07 secs] 
2014-07-08T04:14:26.702+0000: 24.918: [GC [PSYoungGen: 300582K->42678K(300608K)] 321778K->63874K(987584K), 0.0575800 secs] [Times: user=0.21 sys=0.00, real=0.06 secs] 
2014-07-08T04:14:27.017+0000: 25.233: [GC [PSYoungGen: 300406K->42870K(558336K)] 321602K->64915K(1245312K), 0.0550430 secs] [Times: user=0.20 sys=0.02, real=0.06 secs] 
2014-07-08T04:14:29.794+0000: 28.010: [GC [PSYoungGen: 558326K->42860K(558336K)] 580371K->65625K(1245312K), 0.0529640 secs] [Times: user=0.19 sys=0.01, real=0.06 secs] 
2014-07-08T04:14:31.905+0000: 30.121: [GC [PSYoungGen: 558257K->43340K(1088512K)] 581022K->66105K(1775488K), 0.0470750 secs] [Times: user=0.16 sys=0.02, real=0.05 secs] 
2014-07-08T04:14:35.590+0000: 33.806: [GC [PSYoungGen: 1074252K->2290K(1089408K)] 1097017K->65740K(1776384K), 0.0431190 secs] [Times: user=0.13 sys=0.02, real=0.04 secs] 
2014-07-08T04:14:39.179+0000: 37.395: [GC [PSYoungGen: 1033202K->2304K(2124160K)] 1096652K->65930K(2811136K), 0.0283890 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2014-07-08T04:14:44.907+0000: 43.123: [GC [PSYoungGen: 2059696K->2408K(2128512K)] 2123322K->66530K(2815488K), 0.0184960 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-08T04:14:49.867+0000: 48.082: [GC [PSYoungGen: 2059880K->2226K(2720768K)] 2124002K->67084K(3407744K), 0.0078950 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T04:14:55.582+0000: 53.798: [GC [PSYoungGen: 2649650K->1558K(2649024K)] 2714508K->67080K(3336000K), 0.0054110 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T04:15:00.979+0000: 59.195: [GC [PSYoungGen: 2648982K->1878K(2722240K)] 2714504K->67768K(3409216K), 0.0193690 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-08T04:15:05.838+0000: 64.054: [GC [PSYoungGen: 2649558K->790K(2648512K)] 2715448K->67256K(3335488K), 0.0071860 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T04:15:10.355+0000: 68.571: [GC [PSYoungGen: 2648470K->1060K(2722176K)] 2714936K->67798K(3409152K), 0.0181420 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-08T04:15:14.685+0000: 72.901: [GC [PSYoungGen: 2650340K->448K(2720576K)] 2717078K->67602K(3407552K), 0.0154990 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T04:15:19.553+0000: 77.769: [GC [PSYoungGen: 2649728K->448K(2722624K)] 2716882K->67794K(3409600K), 0.0070650 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T04:15:24.130+0000: 82.346: [GC [PSYoungGen: 2654656K->608K(2721344K)] 2722002K->68274K(3408320K), 0.0298860 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
2014-07-08T04:15:28.749+0000: 86.965: [GC [PSYoungGen: 2654816K->416K(2533696K)] 2722482K->68282K(3220672K), 0.0090770 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T04:15:33.086+0000: 91.301: [GC [PSYoungGen: 2533664K->448K(2480320K)] 2601530K->68594K(3167296K), 0.0089650 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T04:15:37.548+0000: 95.764: [GC [PSYoungGen: 2418752K->512K(2309568K)] 2486898K->68842K(2996544K), 0.0073390 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T04:15:41.685+0000: 99.901: [GC [PSYoungGen: 2309568K->480K(2261696K)] 2377898K->69106K(2948672K), 0.0057070 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T04:15:45.999+0000: 104.214: [GC [PSYoungGen: 2205728K->320K(2106880K)] 2274354K->69202K(2793856K), 0.0077670 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-08T04:15:50.513+0000: 108.728: [GC [PSYoungGen: 2106872K->690K(2063552K)] 2175755K->69756K(2750528K), 0.0055700 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T04:15:54.677+0000: 112.893: [GC [PSYoungGen: 2013426K->416K(1924032K)] 2082492K->69866K(2611008K), 0.0134740 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2014-07-08T04:15:58.894+0000: 117.110: [GC [PSYoungGen: 1924000K->1138K(1884032K)] 1993450K->70764K(2571008K), 0.0055080 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-08T04:16:02.646+0000: 120.862: [GC [PSYoungGen: 1839922K->384K(1758592K)] 1909548K->70298K(2445568K), 0.0098350 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T04:16:06.385+0000: 124.600: [GC [PSYoungGen: 1758592K->786K(1721536K)] 1828506K->70860K(2408512K), 0.0136490 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T04:16:09.922+0000: 128.137: [GC [PSYoungGen: 1682386K->768K(1609472K)] 1752460K->70954K(2296448K), 0.0112030 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-08T04:16:13.338+0000: 131.554: [GC [PSYoungGen: 1609472K->722K(1574400K)] 1679658K->71204K(2261376K), 0.0061160 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T04:16:16.593+0000: 134.809: [GC [PSYoungGen: 1540114K->352K(1473856K)] 1610596K->71002K(2160832K), 0.0115790 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-08T04:16:19.695+0000: 137.911: [GC [PSYoungGen: 1473824K->534K(1441408K)] 1544474K->71336K(2128384K), 0.0161410 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-08T04:16:22.693+0000: 140.909: [GC [PSYoungGen: 1411350K->224K(1351488K)] 1482152K->71290K(2038464K), 0.0075490 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T04:16:25.541+0000: 143.757: [GC [PSYoungGen: 1351456K->192K(1321216K)] 1422522K->71386K(2008192K), 0.0035780 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T04:16:28.275+0000: 146.491: [GC [PSYoungGen: 1294720K->480K(1241088K)] 1365914K->71818K(1928064K), 0.0109930 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2014-07-08T04:16:30.901+0000: 149.117: [GC [PSYoungGen: 1241053K->256K(1212416K)] 1312392K->71730K(1899392K), 0.0055960 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T04:16:33.458+0000: 151.673: [GC [PSYoungGen: 1189504K->1106K(1141568K)] 1260978K->72748K(1828544K), 0.0068540 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-08T04:16:35.827+0000: 154.043: [GC [PSYoungGen: 1141522K->338K(1113856K)] 1213164K->72124K(1800832K), 0.0087350 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T04:16:38.157+0000: 156.373: [GC [PSYoungGen: 1094290K->480K(1050240K)] 1166076K->72354K(1737216K), 0.0466290 secs] [Times: user=0.15 sys=0.00, real=0.05 secs] 
2014-07-08T04:16:40.482+0000: 158.697: [GC [PSYoungGen: 1050208K->804K(1024832K)] 1122082K->72862K(1711808K), 0.0320680 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
2014-07-08T04:16:42.524+0000: 160.740: [GC [PSYoungGen: 1008420K->274K(967872K)] 1080478K->72588K(1654848K), 0.0090180 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-08T04:16:44.602+0000: 162.818: [GC [PSYoungGen: 967826K->406K(1195200K)] 1040140K->72824K(1882176K), 0.0486890 secs] [Times: user=0.16 sys=0.01, real=0.05 secs] 
2014-07-08T04:16:47.061+0000: 165.276: [GC [PSYoungGen: 1180822K->192K(1132224K)] 1253240K->72690K(1819200K), 0.0114440 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T04:16:49.496+0000: 167.712: [GC [PSYoungGen: 1132224K->804K(1098688K)] 1204722K->73398K(1785664K), 0.0138840 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-08T04:16:51.742+0000: 169.957: [GC [PSYoungGen: 1086750K->292K(1042432K)] 1159345K->73102K(1729408K), 0.0119650 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T04:16:53.943+0000: 172.159: [GC [PSYoungGen: 1042404K->256K(1011264K)] 1115214K->73130K(1698240K), 0.0079140 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T04:16:56.065+0000: 174.281: [GC [PSYoungGen: 1000640K->128K(960768K)] 1073514K->73050K(1647744K), 0.0072020 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-08T04:16:58.103+0000: 176.318: [GC [PSYoungGen: 960768K->352K(932224K)] 1033690K->73354K(1619200K), 0.0046020 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T04:17:00.059+0000: 178.274: [GC [PSYoungGen: 923168K->224K(887040K)] 996170K->73410K(1574016K), 0.0150100 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-08T04:17:01.944+0000: 180.160: [GC [PSYoungGen: 886939K->324K(860544K)] 960126K->73638K(1547520K), 0.0050160 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T04:17:03.749+0000: 181.965: [GC [PSYoungGen: 852797K->274K(820096K)] 926111K->73676K(1507072K), 0.0157570 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-08T04:17:05.519+0000: 183.735: [GC [PSYoungGen: 820050K->448K(795520K)] 893452K->73882K(1482496K), 0.0067910 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
