2014-07-16T03:34:35.831+0000: 24.919: [GC [PSYoungGen: 257728K->42848K(300608K)] 257728K->57704K(987584K), 0.0592250 secs] [Times: user=0.20 sys=0.03, real=0.06 secs] 
2014-07-16T03:34:36.118+0000: 25.206: [GC [PSYoungGen: 300576K->42870K(300608K)] 315432K->63944K(987584K), 0.0589190 secs] [Times: user=0.20 sys=0.02, real=0.06 secs] 
2014-07-16T03:34:37.024+0000: 26.113: [GC [PSYoungGen: 300598K->42870K(300608K)] 321672K->64336K(987584K), 0.0536330 secs] [Times: user=0.21 sys=0.00, real=0.06 secs] 
2014-07-16T03:34:38.362+0000: 27.451: [GC [PSYoungGen: 300598K->42854K(558336K)] 322064K->65200K(1245312K), 0.0710650 secs] [Times: user=0.26 sys=0.02, real=0.07 secs] 
2014-07-16T03:34:40.654+0000: 29.742: [GC [PSYoungGen: 558310K->42868K(558336K)] 580656K->65902K(1245312K), 0.1041880 secs] [Times: user=0.38 sys=0.02, real=0.11 secs] 
2014-07-16T03:34:42.747+0000: 31.835: [GC [PSYoungGen: 558324K->43526K(1088448K)] 581358K->66560K(1775424K), 0.0605100 secs] [Times: user=0.20 sys=0.02, real=0.06 secs] 
2014-07-16T03:34:46.872+0000: 35.960: [GC [PSYoungGen: 1074438K->2770K(1089344K)] 1097472K->66290K(1776320K), 0.0549740 secs] [Times: user=0.17 sys=0.03, real=0.06 secs] 
2014-07-16T03:34:50.879+0000: 39.967: [GC [PSYoungGen: 1033682K->2212K(2123904K)] 1097202K->66132K(2810880K), 0.0045210 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T03:34:58.256+0000: 47.344: [GC [PSYoungGen: 2059556K->2372K(2128384K)] 2123476K->66604K(2815360K), 0.0141730 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-16T03:35:05.221+0000: 54.309: [GC [PSYoungGen: 2059716K->2088K(2720704K)] 2123948K->67032K(3407680K), 0.0119840 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T03:35:13.780+0000: 62.868: [GC [PSYoungGen: 2649384K->1732K(2649088K)] 2714328K->67484K(3336064K), 0.0071530 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
