2014-07-16T02:16:35.206+0000: 69.745: [GC [PSYoungGen: 142354K->484K(139904K)] 169239K->27441K(826880K), 0.0052590 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-16T02:16:36.079+0000: 70.618: [GC [PSYoungGen: 139870K->666K(141568K)] 166828K->27711K(828544K), 0.0035480 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:36.890+0000: 71.429: [GC [PSYoungGen: 137626K->402K(135040K)] 164671K->27503K(822016K), 0.0035530 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:37.660+0000: 72.199: [GC [PSYoungGen: 134994K->630K(136256K)] 162095K->27795K(823232K), 0.0036320 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:38.429+0000: 72.968: [GC [PSYoungGen: 132918K->570K(130624K)] 160083K->27775K(817600K), 0.0040110 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:39.139+0000: 73.677: [GC [PSYoungGen: 130617K->594K(131200K)] 157822K->27847K(818176K), 0.0029870 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:39.858+0000: 74.396: [GC [PSYoungGen: 128466K->680K(126464K)] 155719K->28029K(813440K), 0.0054230 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:40.548+0000: 75.087: [GC [PSYoungGen: 126440K->384K(126464K)] 153789K->27821K(813440K), 0.0037450 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:41.226+0000: 75.765: [GC [PSYoungGen: 124008K->530K(122304K)] 151446K->28055K(809280K), 0.0047510 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-16T02:16:41.933+0000: 76.472: [GC [PSYoungGen: 122237K->452K(122176K)] 149762K->28025K(809152K), 0.0055890 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:42.596+0000: 77.135: [GC [PSYoungGen: 120229K->648K(118656K)] 147802K->28285K(805632K), 0.0046600 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:43.253+0000: 77.791: [GC [PSYoungGen: 118600K->402K(117888K)] 146237K->28103K(804864K), 0.0045260 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:43.922+0000: 78.460: [GC [PSYoungGen: 116562K->634K(115008K)] 144263K->28383K(801984K), 0.0036200 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:44.567+0000: 79.105: [GC [PSYoungGen: 115002K->498K(113408K)] 142751K->28343K(800384K), 0.0047050 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:45.191+0000: 79.730: [GC [PSYoungGen: 113138K->848K(111872K)] 140983K->28757K(798848K), 0.0042640 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:45.835+0000: 80.373: [GC [PSYoungGen: 111824K->644K(110016K)] 139733K->28609K(796992K), 0.0052480 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:46.459+0000: 80.998: [GC [PSYoungGen: 109956K->562K(108288K)] 137921K->28591K(795264K), 0.0031610 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:47.053+0000: 81.591: [GC [PSYoungGen: 108274K->802K(107008K)] 136303K->28903K(793984K), 0.0060480 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:47.637+0000: 82.175: [GC [PSYoungGen: 106978K->512K(105152K)] 135079K->28733K(792128K), 0.0040040 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:48.238+0000: 82.776: [GC [PSYoungGen: 105152K->516K(103744K)] 133373K->28817K(790720K), 0.0071170 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:48.819+0000: 83.358: [GC [PSYoungGen: 103684K->780K(102528K)] 131985K->29161K(789504K), 0.0080250 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:49.383+0000: 83.922: [GC [PSYoungGen: 102476K->780K(101120K)] 130857K->29225K(788096K), 0.0059630 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:50.011+0000: 84.550: [GC [PSYoungGen: 101068K->1108K(100096K)] 129513K->29617K(787072K), 0.0071250 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:50.579+0000: 85.117: [GC [PSYoungGen: 100007K->598K(98240K)] 128516K->29147K(785216K), 0.0029500 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:51.109+0000: 85.648: [GC [PSYoungGen: 98154K->516K(96896K)] 126704K->29105K(783872K), 0.0035400 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-16T02:16:51.640+0000: 86.179: [GC [PSYoungGen: 96794K->470K(95552K)] 125383K->29099K(782528K), 0.0055820 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:52.143+0000: 86.682: [GC [PSYoungGen: 95510K->320K(94080K)] 124139K->28997K(781056K), 0.0043930 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:52.629+0000: 87.168: [GC [PSYoungGen: 94048K->1080K(93632K)] 122726K->29837K(780608K), 0.0045720 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:53.129+0000: 87.667: [GC [PSYoungGen: 93623K->452K(91840K)] 122380K->29257K(778816K), 0.0063110 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:53.611+0000: 88.150: [GC [PSYoungGen: 91780K->480K(90688K)] 120585K->29349K(777664K), 0.0050750 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:54.111+0000: 88.650: [GC [PSYoungGen: 90656K->498K(99712K)] 119525K->29431K(786688K), 0.0068280 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-16T02:16:54.614+0000: 89.153: [GC [PSYoungGen: 98475K->680K(97344K)] 127408K->29685K(784320K), 0.0038970 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:55.116+0000: 89.655: [GC [PSYoungGen: 97320K->716K(96128K)] 126325K->29801K(783104K), 0.0035430 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:55.608+0000: 90.146: [GC [PSYoungGen: 96076K->858K(94976K)] 125161K->30023K(781952K), 0.0030180 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:56.087+0000: 90.626: [GC [PSYoungGen: 94920K->1152K(94080K)] 124086K->30389K(781056K), 0.0042370 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:56.562+0000: 91.100: [GC [PSYoungGen: 94016K->836K(92544K)] 123253K->30153K(779520K), 0.0042210 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:57.025+0000: 91.563: [GC [PSYoungGen: 92484K->698K(91200K)] 121801K->30095K(778176K), 0.0056660 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:57.546+0000: 92.084: [GC [PSYoungGen: 91194K->562K(89920K)] 120591K->30023K(776896K), 0.0047370 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:58.023+0000: 92.562: [GC [PSYoungGen: 89906K->562K(88832K)] 119367K->30111K(775808K), 0.0053500 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:58.497+0000: 93.035: [GC [PSYoungGen: 88818K->612K(87808K)] 118367K->30217K(774784K), 0.0038700 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
