2014-07-16T03:34:34.047+0000: 23.135: [GC [PSYoungGen: 257728K->14846K(300608K)] 257728K->14854K(987584K), 0.0473870 secs] [Times: user=0.18 sys=0.02, real=0.04 secs] 
2014-07-16T03:34:38.078+0000: 27.166: [GC [PSYoungGen: 272574K->17203K(300608K)] 272582K->17219K(987584K), 0.0155300 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2014-07-16T03:34:40.003+0000: 29.091: [GC [PSYoungGen: 274931K->25360K(300608K)] 274947K->25384K(987584K), 0.0172300 secs] [Times: user=0.10 sys=0.01, real=0.02 secs] 
2014-07-16T03:34:42.014+0000: 31.102: [GC [PSYoungGen: 283088K->29954K(300608K)] 283112K->29986K(987584K), 0.0217250 secs] [Times: user=0.10 sys=0.02, real=0.02 secs] 
2014-07-16T03:34:43.869+0000: 32.957: [GC [PSYoungGen: 287682K->33713K(285056K)] 287714K->33753K(972032K), 0.0233840 secs] [Times: user=0.17 sys=0.01, real=0.02 secs] 
2014-07-16T03:34:45.675+0000: 34.763: [GC [PSYoungGen: 285041K->36404K(283520K)] 285081K->36444K(970496K), 0.0235400 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
2014-07-16T03:34:47.534+0000: 36.622: [GC [PSYoungGen: 281588K->22624K(261888K)] 281628K->38104K(948864K), 0.0110170 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-16T03:34:49.227+0000: 38.315: [GC [PSYoungGen: 261810K->10489K(271936K)] 277290K->39078K(958912K), 0.0050060 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T03:34:50.814+0000: 39.902: [GC [PSYoungGen: 244025K->5176K(233216K)] 272614K->40643K(920192K), 0.0036420 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T03:34:52.263+0000: 41.351: [GC [PSYoungGen: 233208K->3109K(263680K)] 268675K->41488K(950656K), 0.0075290 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T03:34:53.633+0000: 42.722: [GC [PSYoungGen: 225829K->1109K(218752K)] 264208K->41929K(905728K), 0.0031920 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T03:34:54.999+0000: 44.087: [GC [PSYoungGen: 218709K->1259K(253824K)] 259529K->42424K(940800K), 0.0029150 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-16T03:34:56.401+0000: 45.490: [GC [PSYoungGen: 213886K->894K(208768K)] 255052K->42393K(895744K), 0.0050430 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2014-07-16T03:34:57.845+0000: 46.933: [GC [PSYoungGen: 208766K->1191K(242816K)] 250265K->43066K(929792K), 0.0045450 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T03:34:59.126+0000: 48.214: [GC [PSYoungGen: 204455K->598K(199424K)] 246330K->42778K(886400K), 0.0067030 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-16T03:35:00.284+0000: 49.373: [GC [PSYoungGen: 199382K->966K(231616K)] 241562K->43186K(918592K), 0.0042730 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T03:35:01.391+0000: 50.479: [GC [PSYoungGen: 195450K->708K(191104K)] 237670K->42984K(878080K), 0.0037160 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
