2014-07-16T02:15:49.735+0000: 24.274: [GC [PSYoungGen: 257728K->42848K(300608K)] 257728K->57718K(987584K), 0.0856300 secs] [Times: user=0.29 sys=0.02, real=0.09 secs] 
2014-07-16T02:15:50.008+0000: 24.547: [GC [PSYoungGen: 300576K->42854K(300608K)] 315446K->64005K(987584K), 0.0584340 secs] [Times: user=0.19 sys=0.03, real=0.05 secs] 
2014-07-16T02:15:51.654+0000: 26.193: [GC [PSYoungGen: 300582K->42848K(300608K)] 321733K->64391K(987584K), 0.0542140 secs] [Times: user=0.18 sys=0.00, real=0.06 secs] 
2014-07-16T02:15:53.147+0000: 27.686: [GC [PSYoungGen: 300576K->42854K(558336K)] 322119K->64677K(1245312K), 0.0394390 secs] [Times: user=0.13 sys=0.03, real=0.04 secs] 
2014-07-16T02:15:55.706+0000: 30.245: [GC [PSYoungGen: 558310K->42870K(558336K)] 580133K->65182K(1245312K), 0.0450070 secs] [Times: user=0.15 sys=0.03, real=0.05 secs] 
2014-07-16T02:15:58.405+0000: 32.944: [GC [PSYoungGen: 558326K->43158K(1088512K)] 580638K->65469K(1775488K), 0.0855620 secs] [Times: user=0.30 sys=0.03, real=0.09 secs] 
2014-07-16T02:16:03.390+0000: 37.929: [GC [PSYoungGen: 1074070K->2272K(1089472K)] 1096381K->65733K(1776448K), 0.0531590 secs] [Times: user=0.17 sys=0.04, real=0.05 secs] 
2014-07-16T02:16:07.159+0000: 41.698: [GC [PSYoungGen: 1033184K->3168K(2124416K)] 1096645K->66989K(2811392K), 0.0089670 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:14.639+0000: 49.178: [GC [PSYoungGen: 2060832K->2180K(2128576K)] 2124653K->66305K(2815552K), 0.0068890 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:22.094+0000: 56.633: [GC [PSYoungGen: 2059844K->2198K(2720832K)] 2123969K->66939K(3407808K), 0.0089090 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-16T02:16:31.823+0000: 66.362: [GC [PSYoungGen: 2649750K->1618K(2649216K)] 2714491K->67247K(3336192K), 0.0084710 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:41.004+0000: 75.543: [GC [PSYoungGen: 2649170K->1700K(2722240K)] 2714799K->67809K(3409216K), 0.0072760 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T02:16:49.601+0000: 84.140: [GC [PSYoungGen: 2649444K->1586K(2528704K)] 2715553K->68263K(3215680K), 0.0058850 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T02:16:57.380+0000: 91.918: [GC [PSYoungGen: 2528690K->1682K(2414208K)] 2595367K->68807K(3101184K), 0.0054960 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T02:17:04.718+0000: 99.257: [GC [PSYoungGen: 2414162K->1938K(2374592K)] 2481287K->69631K(3061568K), 0.0438390 secs] [Times: user=0.17 sys=0.00, real=0.05 secs] 
2014-07-16T02:17:11.145+0000: 105.684: [GC [PSYoungGen: 2305490K->1458K(2201472K)] 2373183K->69567K(2888448K), 0.0297990 secs] [Times: user=0.10 sys=0.01, real=0.03 secs] 
2014-07-16T02:17:17.251+0000: 111.790: [GC [PSYoungGen: 2201458K->992K(2168256K)] 2269567K->69613K(2855232K), 0.0049200 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T02:17:22.597+0000: 117.136: [GC [PSYoungGen: 2102560K->768K(2008768K)] 2171181K->69813K(2695744K), 0.0229450 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
2014-07-16T02:17:27.476+0000: 122.015: [GC [PSYoungGen: 2008768K->1010K(1980736K)] 2077813K->70359K(2667712K), 0.0071980 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T02:17:32.013+0000: 126.552: [GC [PSYoungGen: 1920050K->644K(1835200K)] 1989399K->70241K(2522176K), 0.0120660 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-16T02:17:36.227+0000: 130.766: [GC [PSYoungGen: 1835140K->676K(1810368K)] 1904737K->70449K(2497344K), 0.0052240 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T02:17:40.101+0000: 134.640: [GC [PSYoungGen: 1754788K->416K(1678144K)] 1824561K->70453K(2365120K), 0.0099580 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
