2014-07-16T01:00:52.262+0000: 24.365: [GC [PSYoungGen: 257728K->42855K(300608K)] 257728K->72375K(987584K), 0.0676430 secs] [Times: user=0.18 sys=0.03, real=0.07 secs] 
2014-07-16T01:00:52.932+0000: 25.035: [GC [PSYoungGen: 300583K->42861K(300608K)] 330103K->83189K(987584K), 0.0464100 secs] [Times: user=0.14 sys=0.02, real=0.05 secs] 
2014-07-16T01:00:53.689+0000: 25.793: [GC [PSYoungGen: 300589K->42874K(300608K)] 340917K->86653K(987584K), 0.0334220 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2014-07-16T01:00:54.550+0000: 26.653: [GC [PSYoungGen: 300602K->42859K(558336K)] 344381K->86699K(1245312K), 0.0671830 secs] [Times: user=0.24 sys=0.03, real=0.07 secs] 
2014-07-16T01:00:56.095+0000: 28.198: [GC [PSYoungGen: 558315K->42862K(558336K)] 602155K->86758K(1245312K), 0.0593110 secs] [Times: user=0.21 sys=0.02, real=0.06 secs] 
2014-07-16T01:00:57.543+0000: 29.646: [GC [PSYoungGen: 558318K->43850K(1102784K)] 602214K->87746K(1789760K), 0.0539120 secs] [Times: user=0.19 sys=0.02, real=0.06 secs] 
2014-07-16T01:01:00.609+0000: 32.713: [GC [PSYoungGen: 1074762K->9425K(1104768K)] 1118658K->87012K(1791744K), 0.0738130 secs] [Times: user=0.25 sys=0.03, real=0.07 secs] 
2014-07-16T01:01:03.534+0000: 35.637: [GC [PSYoungGen: 1040322K->7913K(2138496K)] 1117909K->87363K(2825472K), 0.0162370 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2014-07-16T01:01:09.136+0000: 41.239: [GC [PSYoungGen: 2066729K->7810K(2141504K)] 2146179K->87742K(2828480K), 0.0301150 secs] [Times: user=0.11 sys=0.01, real=0.03 secs] 
2014-07-16T01:01:13.580+0000: 45.684: [GC [PSYoungGen: 2066596K->7236K(2711552K)] 2146528K->87668K(3398528K), 0.0214730 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
2014-07-16T01:01:19.159+0000: 51.262: [GC [PSYoungGen: 2634820K->7148K(2634752K)] 2715252K->88148K(3321728K), 0.0216120 secs] [Times: user=0.08 sys=0.01, real=0.02 secs] 
2014-07-16T01:01:24.734+0000: 56.837: [GC [PSYoungGen: 2634732K->6820K(2712832K)] 2715732K->88025K(3399808K), 0.0302090 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
2014-07-16T01:01:30.329+0000: 62.432: [GC [PSYoungGen: 2635876K->6710K(2635776K)] 2717081K->88211K(3322752K), 0.0345240 secs] [Times: user=0.12 sys=0.00, real=0.04 secs] 
2014-07-16T01:01:35.899+0000: 68.002: [GC [PSYoungGen: 2635766K->6742K(2516160K)] 2717267K->88403K(3203136K), 0.0220190 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2014-07-16T01:01:41.218+0000: 73.322: [GC [PSYoungGen: 2516118K->6692K(2402368K)] 2597779K->88577K(3089344K), 0.0167770 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-16T01:01:46.326+0000: 78.430: [GC [PSYoungGen: 2402340K->6948K(2294528K)] 2484225K->88985K(2981504K), 0.0074850 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T01:01:51.149+0000: 83.253: [GC [PSYoungGen: 2294500K->6564K(2191360K)] 2376537K->88849K(2878336K), 0.0172730 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-16T01:01:55.787+0000: 87.890: [GC [PSYoungGen: 2191332K->6724K(2093888K)] 2273617K->89105K(2780864K), 0.0287910 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2014-07-16T01:02:00.201+0000: 92.305: [GC [PSYoungGen: 2093828K->6692K(2000960K)] 2176209K->89289K(2687936K), 0.0145390 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-16T01:02:04.435+0000: 96.538: [GC [PSYoungGen: 2000932K->6948K(1912960K)] 2083529K->89681K(2599936K), 0.0172530 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-16T01:02:08.563+0000: 100.667: [GC [PSYoungGen: 1912932K->6934K(1829056K)] 1995665K->89899K(2516032K), 0.0167530 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-16T01:02:12.468+0000: 104.572: [GC [PSYoungGen: 1829014K->6628K(1748928K)] 1911979K->89745K(2435904K), 0.0125520 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T01:02:16.192+0000: 108.296: [GC [PSYoungGen: 1748900K->6910K(1673344K)] 1832017K->90140K(2360320K), 0.0093570 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T01:02:19.726+0000: 111.829: [GC [PSYoungGen: 1673342K->6778K(1601088K)] 1756572K->90216K(2288064K), 0.0125290 secs] [Times: user=0.02 sys=0.01, real=0.02 secs] 
2014-07-16T01:02:23.143+0000: 115.246: [GC [PSYoungGen: 1601082K->6788K(1532544K)] 1684520K->90327K(2219520K), 0.0206000 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T01:02:26.383+0000: 118.486: [GC [PSYoungGen: 1532484K->6660K(1467200K)] 1616023K->90383K(2154176K), 0.0216530 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
2014-07-16T01:02:29.520+0000: 121.624: [GC [PSYoungGen: 1467140K->6980K(1405504K)] 1550863K->90887K(2092480K), 0.0179950 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
2014-07-16T01:02:32.529+0000: 124.632: [GC [PSYoungGen: 1405444K->6852K(1346368K)] 1489351K->90887K(2033344K), 0.0115870 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-16T01:02:35.362+0000: 127.465: [GC [PSYoungGen: 1346308K->6596K(1289984K)] 1430343K->90759K(1976960K), 0.0203490 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T01:02:38.122+0000: 130.225: [GC [PSYoungGen: 1289924K->6692K(1236672K)] 1374087K->91071K(1923648K), 0.0177920 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-16T01:02:40.734+0000: 132.837: [GC [PSYoungGen: 1236644K->6486K(1185664K)] 1321023K->90993K(1872640K), 0.0260800 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2014-07-16T01:02:43.280+0000: 135.383: [GC [PSYoungGen: 1185622K->6742K(1137600K)] 1270129K->91321K(1824576K), 0.0216040 secs] [Times: user=0.07 sys=0.01, real=0.03 secs] 
2014-07-16T01:02:45.687+0000: 137.790: [GC [PSYoungGen: 1137558K->6870K(1091712K)] 1222137K->91633K(1778688K), 0.0183550 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2014-07-16T01:02:48.029+0000: 140.133: [GC [PSYoungGen: 1091670K->6788K(1047872K)] 1176433K->91711K(1734848K), 0.0176900 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2014-07-16T01:02:50.268+0000: 142.371: [GC [PSYoungGen: 1047812K->6806K(1006208K)] 1132735K->91873K(1693184K), 0.0111170 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T01:02:52.424+0000: 144.528: [GC [PSYoungGen: 1006166K->6724K(966464K)] 1091233K->91895K(1653440K), 0.0250910 secs] [Times: user=0.08 sys=0.01, real=0.02 secs] 
2014-07-16T01:02:54.468+0000: 146.571: [GC [PSYoungGen: 966404K->6838K(928704K)] 1051575K->92121K(1615680K), 0.0136890 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-16T01:02:56.490+0000: 148.593: [GC [PSYoungGen: 928673K->6902K(892800K)] 1013955K->92369K(1579776K), 0.0269880 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2014-07-16T01:02:58.395+0000: 150.498: [GC [PSYoungGen: 892790K->6746K(858368K)] 978257K->92373K(1545344K), 0.0152770 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T01:03:00.219+0000: 152.323: [GC [PSYoungGen: 858330K->6870K(1071424K)] 943957K->92585K(1758400K), 0.0375170 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
2014-07-16T01:03:02.547+0000: 154.651: [GC [PSYoungGen: 1071382K->6984K(1028736K)] 1157097K->92779K(1715712K), 0.0096140 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T01:03:04.688+0000: 156.791: [GC [PSYoungGen: 1028670K->6742K(987712K)] 1114464K->92665K(1674688K), 0.0221220 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T01:03:06.787+0000: 158.890: [GC [PSYoungGen: 987670K->7034K(949184K)] 1073593K->93141K(1636160K), 0.0115710 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T01:03:08.773+0000: 160.876: [GC [PSYoungGen: 949096K->6582K(911808K)] 1035203K->92817K(1598784K), 0.0132550 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2014-07-16T01:03:10.683+0000: 162.787: [GC [PSYoungGen: 911798K->6710K(876736K)] 998033K->93025K(1563712K), 0.0143120 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2014-07-16T01:03:12.606+0000: 164.709: [GC [PSYoungGen: 876726K->6724K(843264K)] 963041K->93143K(1530240K), 0.0133870 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T01:03:14.381+0000: 166.484: [GC [PSYoungGen: 843204K->6550K(811136K)] 929623K->93129K(1498112K), 0.0074330 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T01:03:16.095+0000: 168.199: [GC [PSYoungGen: 811094K->6692K(780800K)] 897673K->93391K(1467776K), 0.0211340 secs] [Times: user=0.06 sys=0.01, real=0.03 secs] 
2014-07-16T01:03:17.784+0000: 169.888: [GC [PSYoungGen: 780772K->6820K(751936K)] 867471K->93607K(1438912K), 0.0226350 secs] [Times: user=0.08 sys=0.01, real=0.03 secs] 
2014-07-16T01:03:19.381+0000: 171.484: [GC [PSYoungGen: 751908K->6614K(724096K)] 838695K->93537K(1411072K), 0.0172980 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-16T01:03:20.924+0000: 173.028: [GC [PSYoungGen: 724010K->6888K(875072K)] 810932K->93899K(1562048K), 0.0201890 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T01:03:22.794+0000: 174.897: [GC [PSYoungGen: 875032K->7180K(1057728K)] 962042K->94239K(1744704K), 0.0227620 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T01:03:25.034+0000: 177.137: [GC [PSYoungGen: 1057676K->6920K(1278080K)] 1144735K->94155K(1965056K), 0.0213270 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
2014-07-16T01:03:27.760+0000: 179.864: [GC [PSYoungGen: 1278024K->6700K(1544768K)] 1365259K->94071K(2231744K), 0.0339730 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
2014-07-16T01:03:31.031+0000: 183.135: [GC [PSYoungGen: 1544748K->6660K(1478912K)] 1632119K->94183K(2165888K), 0.0220020 secs] [Times: user=0.08 sys=0.01, real=0.02 secs] 
2014-07-16T01:03:34.216+0000: 186.320: [GC [PSYoungGen: 1478852K->6660K(1416320K)] 1566375K->94279K(2103296K), 0.0330150 secs] [Times: user=0.12 sys=0.01, real=0.04 secs] 
2014-07-16T01:03:37.230+0000: 189.333: [GC [PSYoungGen: 1416260K->6788K(1356864K)] 1503879K->94623K(2043840K), 0.0080260 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T01:03:40.103+0000: 192.206: [GC [PSYoungGen: 1356804K->6628K(1300032K)] 1444639K->94607K(1987008K), 0.0070860 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T01:03:42.878+0000: 194.982: [GC [PSYoungGen: 1300004K->6788K(1246336K)] 1387983K->94879K(1933312K), 0.0204180 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-16T01:03:45.509+0000: 197.612: [GC [PSYoungGen: 1246276K->6262K(1194496K)] 1334367K->94873K(1881472K), 0.0130730 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2014-07-16T01:03:48.073+0000: 200.176: [GC [PSYoungGen: 1194486K->6714K(1146176K)] 1283097K->95485K(1833152K), 0.0111030 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T01:03:50.468+0000: 202.571: [GC [PSYoungGen: 1146170K->5732K(1098816K)] 1234941K->95439K(1785792K), 0.0063760 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-16T01:03:52.801+0000: 204.904: [GC [PSYoungGen: 1098788K->6628K(1055488K)] 1188495K->96399K(1742464K), 0.0146360 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-16T01:03:55.023+0000: 207.127: [GC [PSYoungGen: 1055373K->5548K(1012352K)] 1145143K->96775K(1699328K), 0.0201310 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T01:03:57.178+0000: 209.281: [GC [PSYoungGen: 1012332K->6902K(973632K)] 1103559K->98313K(1660608K), 0.0237830 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-16T01:03:59.244+0000: 211.347: [GC [PSYoungGen: 973622K->4836K(933440K)] 1065033K->98429K(1620416K), 0.0182030 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
2014-07-16T01:04:01.225+0000: 213.328: [GC [PSYoungGen: 933412K->6934K(899264K)] 1027005K->100623K(1586240K), 0.0166110 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-16T01:04:03.174+0000: 215.277: [GC [PSYoungGen: 899195K->4964K(862720K)] 992883K->100567K(1549696K), 0.0157310 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-16T01:04:05.011+0000: 217.114: [GC [PSYoungGen: 862692K->6902K(831680K)] 958295K->102713K(1518656K), 0.0291890 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2014-07-16T01:04:06.763+0000: 218.867: [GC [PSYoungGen: 831670K->4400K(797824K)] 927481K->102523K(1484800K), 0.0147280 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-16T01:04:08.519+0000: 220.623: [GC [PSYoungGen: 797808K->6724K(958912K)] 895931K->104935K(1645888K), 0.0345940 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
2014-07-16T01:04:10.573+0000: 222.676: [GC [PSYoungGen: 958852K->4732K(1147328K)] 1057063K->105105K(1834304K), 0.0141660 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-16T01:04:13.060+0000: 225.164: [GC [PSYoungGen: 1147324K->7148K(1378304K)] 1247697K->107601K(2065280K), 0.0300470 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2014-07-16T01:04:16.000+0000: 228.104: [GC [PSYoungGen: 1378284K->3620K(1649024K)] 1478737K->107565K(2336000K), 0.0238270 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2014-07-16T01:04:19.527+0000: 231.631: [GC [PSYoungGen: 1648996K->7124K(1960512K)] 1752941K->111197K(2647488K), 0.0419060 secs] [Times: user=0.16 sys=0.01, real=0.04 secs] 
2014-07-16T01:04:23.684+0000: 235.788: [GC [PSYoungGen: 1959828K->6852K(1873408K)] 2063901K->111367K(2560384K), 0.0313720 secs] [Times: user=0.11 sys=0.01, real=0.03 secs] 
2014-07-16T01:04:27.704+0000: 239.808: [GC [PSYoungGen: 1873348K->6934K(1791488K)] 1977863K->111681K(2478464K), 0.0314900 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2014-07-16T01:04:31.451+0000: 243.554: [GC [PSYoungGen: 1791446K->1636K(1708224K)] 1896193K->111785K(2395200K), 0.0093990 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-16T01:04:35.085+0000: 247.189: [GC [PSYoungGen: 1708196K->7216K(1639680K)] 1818345K->117406K(2326656K), 0.0284860 secs] [Times: user=0.08 sys=0.01, real=0.03 secs] 
2014-07-16T01:04:38.545+0000: 250.648: [GC [PSYoungGen: 1639664K->6376K(1568384K)] 1749854K->117634K(2255360K), 0.0096040 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T01:04:41.889+0000: 253.992: [GC [PSYoungGen: 1568360K->6660K(1501696K)] 1679618K->118062K(2188672K), 0.0211370 secs] [Times: user=0.08 sys=0.01, real=0.03 secs] 
2014-07-16T01:04:45.081+0000: 257.184: [GC [PSYoungGen: 1501636K->2424K(1433664K)] 1613038K->118621K(2120640K), 0.0332730 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
2014-07-16T01:04:48.178+0000: 260.281: [GC [PSYoungGen: 1433656K->7106K(1377792K)] 1549853K->123399K(2064768K), 0.0254410 secs] [Times: user=0.09 sys=0.01, real=0.03 secs] 
2014-07-16T01:04:51.086+0000: 263.190: [GC [PSYoungGen: 1377730K->5924K(1318912K)] 1494023K->123393K(2005888K), 0.0136830 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2014-07-16T01:04:53.904+0000: 266.007: [GC [PSYoungGen: 1318884K->6774K(1264896K)] 1436353K->124307K(1951872K), 0.0166520 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-16T01:04:56.570+0000: 268.673: [GC [PSYoungGen: 1264826K->2684K(1208640K)] 1382359K->124700K(1895616K), 0.0263990 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2014-07-16T01:04:59.141+0000: 271.245: [GC [PSYoungGen: 1208636K->7138K(1163456K)] 1330652K->129219K(1850432K), 0.0238860 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-16T01:05:01.598+0000: 273.702: [GC [PSYoungGen: 1163426K->5558K(1114624K)] 1285507K->129167K(1801600K), 0.0249310 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2014-07-16T01:05:03.997+0000: 276.101: [GC [PSYoungGen: 1114580K->6884K(1070976K)] 1238189K->130573K(1757952K), 0.0207310 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
2014-07-16T01:05:06.257+0000: 278.360: [GC [PSYoungGen: 1070948K->2812K(1024064K)] 1194637K->130678K(1711040K), 0.0099650 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T01:05:08.428+0000: 280.531: [GC [PSYoungGen: 1024060K->7084K(987584K)] 1151926K->135046K(1674560K), 0.0148160 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-16T01:05:10.527+0000: 282.630: [GC [PSYoungGen: 987564K->5224K(946944K)] 1115526K->135034K(1633920K), 0.0273320 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2014-07-16T01:05:12.543+0000: 284.646: [GC [PSYoungGen: 946920K->6714K(911488K)] 1076730K->136636K(1598464K), 0.0113640 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
2014-07-16T01:05:14.524+0000: 286.627: [GC [PSYoungGen: 911482K->3068K(872640K)] 1041404K->136875K(1559616K), 0.0189750 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T01:05:16.384+0000: 288.488: [GC [PSYoungGen: 872636K->7152K(843200K)] 1006443K->141088K(1530176K), 0.0162850 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-16T01:05:18.177+0000: 290.280: [GC [PSYoungGen: 843184K->4772K(808896K)] 977120K->140936K(1495872K), 0.0145530 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-16T01:05:19.946+0000: 292.049: [GC [PSYoungGen: 808868K->6660K(780416K)] 945032K->142936K(1467392K), 0.0183520 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-16T01:05:21.588+0000: 293.691: [GC [PSYoungGen: 780356K->3364K(748096K)] 916632K->143182K(1435072K), 0.0106410 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T01:05:23.175+0000: 295.279: [GC [PSYoungGen: 748068K->7252K(724352K)] 887886K->147150K(1411328K), 0.0222690 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
2014-07-16T01:05:24.762+0000: 296.865: [GC [PSYoungGen: 724308K->4222K(694912K)] 864206K->147000K(1381888K), 0.0184730 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
2014-07-16T01:05:26.240+0000: 298.344: [GC [PSYoungGen: 694910K->6938K(835840K)] 837688K->149868K(1522816K), 0.0236880 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2014-07-16T01:05:28.008+0000: 300.111: [GC [PSYoungGen: 835802K->3824K(998528K)] 978732K->149909K(1685504K), 0.0134280 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-16T01:05:30.159+0000: 302.262: [GC [PSYoungGen: 998473K->6874K(962112K)] 1144558K->153016K(1649088K), 0.0077420 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T01:05:32.209+0000: 304.312: [GC [PSYoungGen: 962074K->4152K(921792K)] 1108216K->153052K(1608768K), 0.0220870 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-16T01:05:34.194+0000: 306.298: [GC [PSYoungGen: 921784K->7144K(1108352K)] 1070684K->156068K(1795328K), 0.0373430 secs] [Times: user=0.12 sys=0.01, real=0.04 secs] 
2014-07-16T01:05:36.556+0000: 308.659: [GC [PSYoungGen: 1108328K->3428K(1324928K)] 1257252K->156036K(2011904K), 0.0299670 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
2014-07-16T01:05:39.378+0000: 311.482: [GC [PSYoungGen: 1324900K->7138K(1592960K)] 1477508K->159893K(2279936K), 0.0168610 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-16T01:05:42.746+0000: 314.850: [GC [PSYoungGen: 1592930K->4280K(1521920K)] 1745685K->160013K(2208896K), 0.0236530 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2014-07-16T01:05:46.005+0000: 318.109: [GC [PSYoungGen: 1521912K->6916K(1459776K)] 1677645K->162777K(2146752K), 0.0257680 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2014-07-16T01:05:49.133+0000: 321.237: [GC [PSYoungGen: 1459716K->3770K(1394944K)] 1615577K->163024K(2081920K), 0.0150860 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-16T01:05:52.065+0000: 324.168: [GC [PSYoungGen: 1394938K->6778K(1339328K)] 1554192K->166136K(2026304K), 0.0172650 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-16T01:05:54.937+0000: 327.041: [GC [PSYoungGen: 1339322K->4472K(1281216K)] 1498680K->166477K(1968192K), 0.0182460 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-16T01:05:57.637+0000: 329.741: [GC [PSYoungGen: 1281161K->6746K(1230464K)] 1443165K->168991K(1917440K), 0.0156060 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2014-07-16T01:06:00.304+0000: 332.407: [GC [PSYoungGen: 1230426K->3756K(1176960K)] 1392671K->169310K(1863936K), 0.0135870 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T01:06:02.817+0000: 334.920: [GC [PSYoungGen: 1176940K->7084K(1132224K)] 1342494K->172726K(1819200K), 0.0211670 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-16T01:06:05.267+0000: 337.371: [GC [PSYoungGen: 1132204K->4002K(1083392K)] 1297846K->172914K(1770368K), 0.0182750 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-16T01:06:07.595+0000: 339.699: [GC [PSYoungGen: 1083362K->6824K(1042688K)] 1252274K->175928K(1729664K), 0.0189710 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T01:06:09.847+0000: 341.951: [GC [PSYoungGen: 1042628K->4152K(998528K)] 1211732K->176202K(1685504K), 0.0146220 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-16T01:06:12.009+0000: 344.112: [GC [PSYoungGen: 998520K->7034K(961984K)] 1170570K->179214K(1648960K), 0.0211010 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T01:06:14.075+0000: 346.179: [GC [PSYoungGen: 961978K->3820K(921216K)] 1134158K->179263K(1608192K), 0.0221890 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
2014-07-16T01:06:16.077+0000: 348.181: [GC [PSYoungGen: 921196K->7066K(888704K)] 1096639K->182661K(1575680K), 0.0153000 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2014-07-16T01:06:17.981+0000: 350.085: [GC [PSYoungGen: 888666K->3952K(851520K)] 1064261K->182648K(1538496K), 0.0242490 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2014-07-16T01:06:19.825+0000: 351.928: [GC [PSYoungGen: 851504K->6970K(1024064K)] 1030200K->185722K(1711040K), 0.0261310 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2014-07-16T01:06:21.987+0000: 354.090: [GC [PSYoungGen: 1024052K->3838K(980416K)] 1202803K->185654K(1667392K), 0.0087760 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T01:06:24.072+0000: 356.176: [GC [PSYoungGen: 980414K->6874K(1178816K)] 1162230K->188746K(1865792K), 0.0299770 secs] [Times: user=0.11 sys=0.01, real=0.03 secs] 
2014-07-16T01:06:26.649+0000: 358.752: [GC [PSYoungGen: 1178777K->4012K(1127936K)] 1360649K->189161K(1814912K), 0.0245750 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T01:06:29.041+0000: 361.145: [GC [PSYoungGen: 1127916K->6946K(1085184K)] 1313065K->192207K(1772160K), 0.0193930 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T01:06:31.360+0000: 363.464: [GC [PSYoungGen: 1085154K->3888K(1038656K)] 1270415K->192278K(1725632K), 0.0108170 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T01:06:33.596+0000: 365.700: [GC [PSYoungGen: 1038640K->6888K(1248640K)] 1227030K->195342K(1935616K), 0.0486010 secs] [Times: user=0.17 sys=0.00, real=0.04 secs] 
2014-07-16T01:06:36.292+0000: 368.395: [GC [PSYoungGen: 1248521K->3952K(1494080K)] 1436975K->195866K(2181056K), 0.0155400 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-16T01:06:39.478+0000: 371.581: [GC [PSYoungGen: 1494064K->6810K(1433472K)] 1685978K->198868K(2120448K), 0.0063500 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T01:06:42.526+0000: 374.629: [GC [PSYoungGen: 1433434K->4208K(1370432K)] 1625492K->199224K(2057408K), 0.0256630 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2014-07-16T01:06:45.458+0000: 377.562: [GC [PSYoungGen: 1370416K->7012K(1315840K)] 1565432K->202132K(2002816K), 0.0348970 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
2014-07-16T01:06:48.282+0000: 380.385: [GC [PSYoungGen: 1315767K->3774K(1257920K)] 1510887K->202153K(1944896K), 0.0211860 secs] [Times: user=0.08 sys=0.01, real=0.02 secs] 
2014-07-16T01:06:50.968+0000: 383.072: [GC [PSYoungGen: 1257918K->7070K(1209280K)] 1456297K->205588K(1896256K), 0.0194320 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
