2014-07-08T01:46:21.967+0000: 22.593: [GC [PSYoungGen: 257728K->15134K(300608K)] 257728K->15142K(987584K), 0.0570020 secs] [Times: user=0.22 sys=0.02, real=0.05 secs] 
2014-07-08T01:46:26.652+0000: 27.278: [GC [PSYoungGen: 272862K->16578K(300608K)] 272870K->16594K(987584K), 0.0111110 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2014-07-08T01:46:29.241+0000: 29.867: [GC [PSYoungGen: 274306K->16642K(300608K)] 274322K->16658K(987584K), 0.0234690 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2014-07-08T01:46:31.704+0000: 32.330: [GC [PSYoungGen: 274370K->16946K(300608K)] 274386K->16962K(987584K), 0.0164780 secs] [Times: user=0.10 sys=0.01, real=0.02 secs] 
2014-07-08T01:46:34.200+0000: 34.826: [GC [PSYoungGen: 274674K->17058K(268416K)] 274690K->17082K(955392K), 0.0189170 secs] [Times: user=0.12 sys=0.00, real=0.02 secs] 
2014-07-08T01:46:36.643+0000: 37.269: [GC [PSYoungGen: 268386K->17974K(263168K)] 268410K->18711K(950144K), 0.0281840 secs] [Times: user=0.17 sys=0.03, real=0.03 secs] 
2014-07-08T01:46:38.734+0000: 39.360: [GC [PSYoungGen: 263158K->5795K(245056K)] 263895K->21790K(932032K), 0.0132530 secs] [Times: user=0.06 sys=0.02, real=0.01 secs] 
2014-07-08T01:46:40.566+0000: 41.192: [GC [PSYoungGen: 245027K->7415K(242496K)] 261022K->23750K(929472K), 0.0071470 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T01:46:42.257+0000: 42.883: [GC [PSYoungGen: 240947K->7812K(235904K)] 257282K->25702K(922880K), 0.0118850 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
2014-07-08T01:46:43.896+0000: 44.522: [GC [PSYoungGen: 235844K->4009K(241280K)] 253734K->27216K(928256K), 0.0094290 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2014-07-08T01:46:45.469+0000: 46.095: [GC [PSYoungGen: 226729K->2128K(219776K)] 249936K->28758K(906752K), 0.0084620 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T01:46:46.953+0000: 47.579: [GC [PSYoungGen: 219728K->1388K(232640K)] 246358K->29622K(919616K), 0.0078120 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
