2014-07-08T01:46:24.186+0000: 24.812: [GC [PSYoungGen: 257728K->42864K(300608K)] 257728K->57771K(987584K), 0.0760880 secs] [Times: user=0.25 sys=0.03, real=0.08 secs] 
2014-07-08T01:46:24.493+0000: 25.119: [GC [PSYoungGen: 300592K->42854K(300608K)] 315499K->64226K(987584K), 0.0595910 secs] [Times: user=0.20 sys=0.03, real=0.06 secs] 
2014-07-08T01:46:26.050+0000: 26.676: [GC [PSYoungGen: 300582K->42864K(300608K)] 321954K->64260K(987584K), 0.0639400 secs] [Times: user=0.25 sys=0.00, real=0.06 secs] 
2014-07-08T01:46:27.520+0000: 28.146: [GC [PSYoungGen: 300592K->42864K(558336K)] 321988K->65164K(1245312K), 0.0464310 secs] [Times: user=0.16 sys=0.02, real=0.04 secs] 
2014-07-08T01:46:30.180+0000: 30.806: [GC [PSYoungGen: 558320K->42864K(558336K)] 580620K->65572K(1245312K), 0.0620860 secs] [Times: user=0.22 sys=0.02, real=0.06 secs] 
2014-07-08T01:46:32.929+0000: 33.555: [GC [PSYoungGen: 558320K->42950K(1088704K)] 581028K->65659K(1775680K), 0.0657650 secs] [Times: user=0.24 sys=0.02, real=0.06 secs] 
2014-07-08T01:46:37.959+0000: 38.585: [GC [PSYoungGen: 1073862K->2258K(1089600K)] 1096571K->65692K(1776576K), 0.1011350 secs] [Times: user=0.33 sys=0.04, real=0.10 secs] 
2014-07-08T01:46:42.501+0000: 43.127: [GC [PSYoungGen: 1033086K->2272K(2124352K)] 1096521K->66026K(2811328K), 0.0125420 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T01:46:50.669+0000: 51.295: [GC [PSYoungGen: 2059744K->2130K(2128704K)] 2123498K->66220K(2815680K), 0.0088380 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T01:46:57.578+0000: 58.204: [GC [PSYoungGen: 2059602K->2084K(2720576K)] 2123692K->66822K(3407552K), 0.0074910 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T01:47:06.770+0000: 67.396: [GC [PSYoungGen: 2649124K->1714K(2648768K)] 2713862K->67348K(3335744K), 0.0527540 secs] [Times: user=0.21 sys=0.00, real=0.06 secs] 
2014-07-08T01:47:15.999+0000: 76.625: [GC [PSYoungGen: 2648754K->1664K(2722112K)] 2714388K->67778K(3409088K), 0.0186740 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-08T01:47:25.194+0000: 85.820: [GC [PSYoungGen: 2649088K->1668K(2528576K)] 2715202K->68238K(3215552K), 0.0088630 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
