2014-07-28T19:34:51.278+0000: 53.656: [GC [PSYoungGen: 142161K->480K(142656K)] 148737K->7167K(829632K), 0.0021070 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-28T19:34:52.254+0000: 54.632: [GC [PSYoungGen: 139872K->288K(137280K)] 146559K->7015K(824256K), 0.0047340 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-28T19:34:53.216+0000: 55.594: [GC [PSYoungGen: 137248K->288K(134912K)] 143975K->7087K(821888K), 0.0026640 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-28T19:34:54.164+0000: 56.542: [GC [PSYoungGen: 134853K->224K(132544K)] 141652K->7039K(819520K), 0.0043630 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-28T19:34:55.090+0000: 57.468: [GC [PSYoungGen: 132512K->160K(130240K)] 139327K->6991K(817216K), 0.0027480 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-28T19:34:56.003+0000: 58.381: [GC [PSYoungGen: 130208K->274K(128192K)] 137039K->7145K(815168K), 0.0034760 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-28T19:34:56.899+0000: 59.277: [GC [PSYoungGen: 128146K->224K(126016K)] 135017K->7127K(812992K), 0.0090100 secs] [Times: user=0.06 sys=0.01, real=0.00 secs] 
2014-07-28T19:34:57.782+0000: 60.160: [GC [PSYoungGen: 125971K->256K(123968K)] 132875K->7199K(810944K), 0.0048870 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2014-07-28T19:34:58.645+0000: 61.023: [GC [PSYoungGen: 123968K->160K(121920K)] 130911K->7111K(808896K), 0.0052980 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-28T19:34:59.494+0000: 61.872: [GC [PSYoungGen: 121888K->192K(120000K)] 128839K->7167K(806976K), 0.0027130 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T19:35:00.332+0000: 62.709: [GC [PSYoungGen: 120000K->160K(118144K)] 126975K->7151K(805120K), 0.0029050 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-28T19:35:01.159+0000: 63.537: [GC [PSYoungGen: 118112K->192K(116352K)] 125103K->7215K(803328K), 0.0028930 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-28T19:35:01.977+0000: 64.355: [GC [PSYoungGen: 116352K->288K(114688K)] 123375K->7359K(801664K), 0.0076190 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
2014-07-28T19:35:02.829+0000: 65.207: [GC [PSYoungGen: 114656K->352K(113024K)] 121727K->7463K(800000K), 0.0038000 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-28T19:35:03.685+0000: 66.063: [GC [PSYoungGen: 112992K->224K(111232K)] 120103K->7343K(798208K), 0.0054290 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
