2014-07-16T11:30:30.940+0000: 23.084: [GC [PSYoungGen: 257728K->42864K(300608K)] 257728K->48386K(987584K), 0.0976640 secs] [Times: user=0.33 sys=0.02, real=0.10 secs] 
2014-07-16T11:30:31.169+0000: 23.313: [GC [PSYoungGen: 300592K->42854K(300608K)] 306114K->56689K(987584K), 0.0641430 secs] [Times: user=0.22 sys=0.03, real=0.06 secs] 
2014-07-16T11:30:31.666+0000: 23.810: [GC [PSYoungGen: 300582K->42870K(300608K)] 314417K->58073K(987584K), 0.0820740 secs] [Times: user=0.29 sys=0.00, real=0.08 secs] 
2014-07-16T11:30:32.154+0000: 24.298: [GC [PSYoungGen: 300598K->42866K(558336K)] 315801K->59083K(1245312K), 0.0794240 secs] [Times: user=0.28 sys=0.02, real=0.08 secs] 
2014-07-16T11:30:33.044+0000: 25.188: [GC [PSYoungGen: 558322K->42880K(558336K)] 574539K->60681K(1245312K), 0.0744340 secs] [Times: user=0.25 sys=0.02, real=0.08 secs] 
2014-07-16T11:30:33.907+0000: 26.051: [GC [PSYoungGen: 558336K->44466K(1082432K)] 576137K->62267K(1769408K), 0.1081840 secs] [Times: user=0.39 sys=0.03, real=0.11 secs] 
2014-07-16T11:30:36.171+0000: 28.315: [GC [PSYoungGen: 1075378K->4836K(1082944K)] 1093179K->64401K(1769920K), 0.0869330 secs] [Times: user=0.27 sys=0.03, real=0.09 secs] 
2014-07-16T11:30:39.061+0000: 31.205: [GC [PSYoungGen: 1035748K->4448K(2117504K)] 1095313K->64261K(2804480K), 0.0387560 secs] [Times: user=0.12 sys=0.01, real=0.04 secs] 
2014-07-16T11:30:44.572+0000: 36.716: [GC [PSYoungGen: 2061593K->8584K(2122176K)] 2121406K->68501K(2809152K), 0.0775020 secs] [Times: user=0.22 sys=0.01, real=0.08 secs] 
2014-07-16T11:30:50.176+0000: 42.320: [GC [PSYoungGen: 2065736K->8498K(2727744K)] 2125653K->68423K(3414720K), 0.0364540 secs] [Times: user=0.05 sys=0.01, real=0.04 secs] 
2014-07-16T11:30:57.721+0000: 49.865: [GC [PSYoungGen: 2669362K->10802K(2728512K)] 2729287K->70751K(3415488K), 0.0770350 secs] [Times: user=0.21 sys=0.01, real=0.07 secs] 
2014-07-16T11:31:04.998+0000: 57.143: [GC [PSYoungGen: 2671666K->11172K(2726400K)] 2731615K->71145K(3413376K), 0.0444050 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
2014-07-16T11:31:11.615+0000: 63.759: [GC [PSYoungGen: 2672356K->10980K(2727616K)] 2732329K->70993K(3414592K), 0.0675170 secs] [Times: user=0.18 sys=0.00, real=0.07 secs] 
2014-07-16T11:31:18.831+0000: 70.975: [GC [PSYoungGen: 2672164K->11044K(2726592K)] 2732177K->71081K(3413568K), 0.0757890 secs] [Times: user=0.22 sys=0.00, real=0.08 secs] 
2014-07-16T11:31:26.089+0000: 78.233: [GC [PSYoungGen: 2675620K->11090K(2728128K)] 2735657K->71143K(3415104K), 0.0527700 secs] [Times: user=0.12 sys=0.00, real=0.05 secs] 
2014-07-16T11:31:33.516+0000: 85.660: [GC [PSYoungGen: 2675666K->11158K(2728896K)] 2735719K->71227K(3415872K), 0.0768460 secs] [Times: user=0.22 sys=0.00, real=0.08 secs] 
2014-07-16T11:31:40.807+0000: 92.951: [GC [PSYoungGen: 2682006K->10930K(2730624K)] 2742075K->71023K(3417600K), 0.1020350 secs] [Times: user=0.30 sys=0.01, real=0.11 secs] 
2014-07-16T11:31:48.176+0000: 100.320: [GC [PSYoungGen: 2681778K->11058K(2732480K)] 2741871K->71175K(3419456K), 0.0440500 secs] [Times: user=0.08 sys=0.00, real=0.05 secs] 
2014-07-16T11:31:55.482+0000: 107.626: [GC [PSYoungGen: 2689714K->11008K(2734272K)] 2749831K->71141K(3421248K), 0.0847370 secs] [Times: user=0.23 sys=0.00, real=0.08 secs] 
2014-07-16T11:32:03.066+0000: 115.210: [GC [PSYoungGen: 2689664K->11008K(2736448K)] 2749797K->71165K(3423424K), 0.0745200 secs] [Times: user=0.21 sys=0.00, real=0.08 secs] 
2014-07-16T11:32:10.551+0000: 122.696: [GC [PSYoungGen: 2698112K->11286K(2738304K)] 2758269K->71459K(3425280K), 0.0862920 secs] [Times: user=0.24 sys=0.00, real=0.08 secs] 
2014-07-16T11:32:17.950+0000: 130.094: [GC [PSYoungGen: 2698390K->11204K(2740928K)] 2758563K->71393K(3427904K), 0.0643170 secs] [Times: user=0.16 sys=0.00, real=0.07 secs] 
2014-07-16T11:32:25.258+0000: 137.402: [GC [PSYoungGen: 2707140K->11136K(2742784K)] 2767329K->71349K(3429760K), 0.0774150 secs] [Times: user=0.20 sys=0.00, real=0.08 secs] 
2014-07-16T11:32:32.545+0000: 144.689: [GC [PSYoungGen: 2707072K->11204K(2745472K)] 2767285K->71433K(3432448K), 0.0987290 secs] [Times: user=0.29 sys=0.00, real=0.09 secs] 
2014-07-16T11:32:40.236+0000: 152.380: [GC [PSYoungGen: 2715780K->11200K(2747264K)] 2776009K->71453K(3434240K), 0.0703100 secs] [Times: user=0.17 sys=0.01, real=0.07 secs] 
2014-07-16T11:32:47.469+0000: 159.613: [GC [PSYoungGen: 2715776K->11072K(2749952K)] 2776029K->71349K(3436928K), 0.0720380 secs] [Times: user=0.18 sys=0.01, real=0.07 secs] 
2014-07-16T11:32:55.137+0000: 167.281: [GC [PSYoungGen: 2723840K->11222K(2751616K)] 2784117K->71515K(3438592K), 0.0664240 secs] [Times: user=0.15 sys=0.00, real=0.07 secs] 
2014-07-16T11:33:02.790+0000: 174.934: [GC [PSYoungGen: 2723990K->11346K(2600320K)] 2784283K->71655K(3287296K), 0.0523610 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
2014-07-16T11:33:09.881+0000: 182.025: [GC [PSYoungGen: 2600274K->10560K(2481792K)] 2660583K->70901K(3168768K), 0.0577540 secs] [Times: user=0.15 sys=0.01, real=0.05 secs] 
2014-07-16T11:33:16.733+0000: 188.877: [GC [PSYoungGen: 2481792K->10266K(2724864K)] 2542133K->70623K(3411840K), 0.1034540 secs] [Times: user=0.32 sys=0.01, real=0.10 secs] 
2014-07-16T11:33:24.345+0000: 196.489: [GC [PSYoungGen: 2701338K->10930K(2723456K)] 2761695K->71303K(3410432K), 0.1153030 secs] [Times: user=0.34 sys=0.00, real=0.11 secs] 
2014-07-16T11:33:31.628+0000: 203.772: [GC [PSYoungGen: 2702002K->10962K(2762240K)] 2762375K->71351K(3449216K), 0.0752720 secs] [Times: user=0.18 sys=0.01, real=0.07 secs] 
