2014-07-16T10:08:20.897+0000: 23.906: [GC [PSYoungGen: 257728K->42848K(300608K)] 257728K->57688K(987584K), 0.1045540 secs] [Times: user=0.27 sys=0.03, real=0.10 secs] 
2014-07-16T10:08:21.174+0000: 24.183: [GC [PSYoungGen: 300576K->42870K(300608K)] 315416K->63928K(987584K), 0.0675320 secs] [Times: user=0.22 sys=0.03, real=0.07 secs] 
2014-07-16T10:08:22.676+0000: 25.684: [GC [PSYoungGen: 300598K->42870K(300608K)] 321656K->65048K(987584K), 0.0734950 secs] [Times: user=0.28 sys=0.00, real=0.08 secs] 
2014-07-16T10:08:23.912+0000: 26.921: [GC [PSYoungGen: 300598K->42858K(558336K)] 322776K->65956K(1245312K), 0.0757750 secs] [Times: user=0.28 sys=0.02, real=0.08 secs] 
2014-07-16T10:08:26.290+0000: 29.299: [GC [PSYoungGen: 558314K->42876K(558336K)] 581412K->66110K(1245312K), 0.0592090 secs] [Times: user=0.22 sys=0.02, real=0.06 secs] 
2014-07-16T10:08:28.429+0000: 31.437: [GC [PSYoungGen: 558332K->43202K(1088768K)] 581566K->66436K(1775744K), 0.0718600 secs] [Times: user=0.25 sys=0.02, real=0.07 secs] 
2014-07-16T10:08:32.358+0000: 35.366: [GC [PSYoungGen: 1074114K->2340K(1089600K)] 1097348K->65880K(1776576K), 0.0714910 secs] [Times: user=0.26 sys=0.02, real=0.08 secs] 
2014-07-16T10:08:35.957+0000: 38.966: [GC [PSYoungGen: 1033252K->2148K(2124288K)] 1096792K->66144K(2811264K), 0.0058450 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T10:08:41.662+0000: 44.671: [GC [PSYoungGen: 2059556K->1490K(2128704K)] 2123552K->65846K(2815680K), 0.0103610 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-16T10:08:46.506+0000: 49.515: [GC [PSYoungGen: 2058898K->1462K(2720256K)] 2123254K->66394K(3407232K), 0.0171670 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-16T10:08:52.731+0000: 55.740: [GC [PSYoungGen: 2647990K->1266K(2647808K)] 2712922K->66806K(3334784K), 0.0205940 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2014-07-16T10:08:58.327+0000: 61.336: [GC [PSYoungGen: 2647794K->580K(2721664K)] 2713334K->66440K(3408640K), 0.0049230 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T10:09:03.897+0000: 66.905: [GC [PSYoungGen: 2647236K->416K(2647104K)] 2713096K->66556K(3334080K), 0.0057190 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T10:09:09.483+0000: 72.491: [GC [PSYoungGen: 2647072K->576K(2526656K)] 2713212K->66948K(3213632K), 0.0036770 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T10:09:14.866+0000: 77.875: [GC [PSYoungGen: 2526656K->480K(2483264K)] 2593028K->67076K(3170240K), 0.0048050 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T10:09:19.984+0000: 82.992: [GC [PSYoungGen: 2412000K->594K(2303232K)] 2478596K->67534K(2990208K), 0.0142360 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-16T10:09:24.846+0000: 87.855: [GC [PSYoungGen: 2303186K->608K(2266496K)] 2370126K->67692K(2953472K), 0.0308520 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
2014-07-16T10:09:29.492+0000: 92.500: [GC [PSYoungGen: 2199712K->288K(2101056K)] 2266796K->67620K(2788032K), 0.0098180 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T10:09:33.999+0000: 97.007: [GC [PSYoungGen: 2101024K->576K(2069312K)] 2168356K->68052K(2756288K), 0.0139380 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-16T10:09:38.303+0000: 101.312: [GC [PSYoungGen: 2007807K->480K(1918848K)] 2075283K->68236K(2605824K), 0.0118850 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T10:09:42.425+0000: 105.433: [GC [PSYoungGen: 1918816K->416K(1890176K)] 1986572K->68340K(2577152K), 0.0056010 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T10:09:46.322+0000: 109.331: [GC [PSYoungGen: 1834208K->416K(1753856K)] 1902132K->68508K(2440832K), 0.0166620 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-16T10:09:50.057+0000: 113.065: [GC [PSYoungGen: 1753824K->498K(1727680K)] 1821916K->68838K(2414656K), 0.0105700 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T10:09:53.667+0000: 116.675: [GC [PSYoungGen: 1677490K->1042K(1605440K)] 1745830K->69462K(2292416K), 0.0109930 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T10:09:57.044+0000: 120.052: [GC [PSYoungGen: 1605394K->484K(1580288K)] 1673814K->69192K(2267264K), 0.0124890 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-16T10:10:00.304+0000: 123.313: [GC [PSYoungGen: 1535780K->370K(1469952K)] 1604488K->69246K(2156928K), 0.0378980 secs] [Times: user=0.12 sys=0.01, real=0.04 secs] 
2014-07-16T10:10:03.450+0000: 126.459: [GC [PSYoungGen: 1469938K->690K(1446912K)] 1538814K->69638K(2133888K), 0.0075120 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T10:10:06.464+0000: 129.472: [GC [PSYoungGen: 1407794K->384K(1348032K)] 1476742K->69588K(2035008K), 0.0071440 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T10:10:09.297+0000: 132.306: [GC [PSYoungGen: 1348032K->274K(1326080K)] 1417236K->69670K(2013056K), 0.0109510 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T10:10:12.049+0000: 135.057: [GC [PSYoungGen: 1291410K->516K(1237952K)] 1360806K->69952K(1924928K), 0.0092110 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-16T10:10:14.675+0000: 137.683: [GC [PSYoungGen: 1237892K->434K(1216704K)] 1307328K->69982K(1903680K), 0.0037910 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T10:10:17.291+0000: 140.300: [GC [PSYoungGen: 1186610K->676K(1138176K)] 1256158K->70384K(1825152K), 0.0113950 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T10:10:19.706+0000: 142.714: [GC [PSYoungGen: 1138148K->338K(1117632K)] 1207856K->70206K(1804608K), 0.0041400 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-16T10:10:22.033+0000: 145.041: [GC [PSYoungGen: 1091474K->224K(1047296K)] 1161342K->70172K(1734272K), 0.0113240 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T10:10:24.273+0000: 147.281: [GC [PSYoungGen: 1047264K->480K(1028096K)] 1117212K->70556K(1715072K), 0.0118210 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T10:10:26.462+0000: 149.470: [GC [PSYoungGen: 1005535K->516K(965696K)] 1075611K->70776K(1652672K), 0.0093280 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T10:10:28.501+0000: 151.509: [GC [PSYoungGen: 965636K->498K(946880K)] 1035896K->70870K(1633856K), 0.0047650 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T10:10:30.468+0000: 153.476: [GC [PSYoungGen: 927538K->434K(891264K)] 997910K->70878K(1578240K), 0.0072630 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T10:10:32.389+0000: 155.398: [GC [PSYoungGen: 891237K->256K(873408K)] 961682K->70748K(1560384K), 0.0105570 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-16T10:10:34.220+0000: 157.229: [GC [PSYoungGen: 856576K->256K(823680K)] 927068K->70868K(1510656K), 0.0098030 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-16T10:10:35.977+0000: 158.986: [GC [PSYoungGen: 823680K->384K(806848K)] 894292K->71124K(1493824K), 0.0046830 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T10:10:37.670+0000: 160.679: [GC [PSYoungGen: 792512K->338K(762688K)] 863252K->71166K(1449664K), 0.0071850 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T10:10:39.296+0000: 162.305: [GC [PSYoungGen: 762642K->516K(746432K)] 833470K->71424K(1433408K), 0.0035930 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T10:10:40.864+0000: 163.873: [GC [PSYoungGen: 734339K->726K(707456K)] 805247K->71674K(1394432K), 0.0114310 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T10:10:42.353+0000: 165.361: [GC [PSYoungGen: 707414K->434K(691584K)] 778362K->71422K(1378560K), 0.0066150 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T10:10:43.802+0000: 166.810: [GC [PSYoungGen: 681266K->416K(656640K)] 752254K->71508K(1343616K), 0.0105810 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T10:10:45.240+0000: 168.249: [GC [PSYoungGen: 656608K->256K(641792K)] 727700K->71500K(1328768K), 0.0067950 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T10:10:46.750+0000: 169.759: [GC [PSYoungGen: 632896K->1124K(611328K)] 704140K->72496K(1298304K), 0.0062750 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T10:10:47.964+0000: 170.973: [GC [PSYoungGen: 611300K->224K(588992K)] 682672K->71660K(1275968K), 0.0065760 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T10:10:49.219+0000: 172.228: [GC [PSYoungGen: 588960K->128K(568448K)] 660396K->71604K(1255424K), 0.0050360 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T10:10:50.429+0000: 173.438: [GC [PSYoungGen: 568371K->224K(555584K)] 639847K->71724K(1242560K), 0.0029260 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T10:10:51.688+0000: 174.697: [GC [PSYoungGen: 549024K->1234K(531456K)] 620524K->72758K(1218432K), 0.0195530 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-16T10:10:52.749+0000: 175.758: [GC [PSYoungGen: 531410K->288K(641856K)] 602934K->71876K(1328832K), 0.0231360 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2014-07-16T10:10:54.127+0000: 177.135: [GC [PSYoungGen: 641824K->434K(619136K)] 713412K->72166K(1306112K), 0.0040430 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T10:10:55.451+0000: 178.459: [GC [PSYoungGen: 619122K->320K(601984K)] 690854K->72180K(1288960K), 0.0072590 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T10:10:56.819+0000: 179.827: [GC [PSYoungGen: 597178K->1124K(577216K)] 669038K->73048K(1264192K), 0.0038780 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T10:10:57.993+0000: 181.002: [GC [PSYoungGen: 577188K->352K(556608K)] 649112K->72372K(1243584K), 0.0121240 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-16T10:10:59.188+0000: 182.196: [GC [PSYoungGen: 556576K->224K(537536K)] 628596K->72332K(1224512K), 0.0069500 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T10:11:00.336+0000: 183.345: [GC [PSYoungGen: 537471K->406K(523072K)] 609579K->72562K(1210048K), 0.0087700 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T10:11:01.442+0000: 184.451: [GC [PSYoungGen: 519574K->384K(502208K)] 591730K->72564K(1189184K), 0.0046070 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T10:11:02.504+0000: 185.512: [GC [PSYoungGen: 502161K->538K(485824K)] 574342K->72766K(1172800K), 0.0031320 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T10:11:03.531+0000: 186.539: [GC [PSYoungGen: 485786K->224K(469696K)] 558014K->72548K(1156672K), 0.0042830 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-16T10:11:04.539+0000: 187.547: [GC [PSYoungGen: 469619K->224K(457280K)] 541943K->72628K(1144256K), 0.0084070 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T10:11:05.519+0000: 188.527: [GC [PSYoungGen: 454560K->224K(440128K)] 526964K->72676K(1127104K), 0.0052810 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T10:11:06.453+0000: 189.462: [GC [PSYoungGen: 440096K->256K(428672K)] 512548K->72780K(1115648K), 0.0068190 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T10:11:07.356+0000: 190.364: [GC [PSYoungGen: 426209K->228K(413056K)] 498733K->72776K(1100032K), 0.0065040 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T10:11:08.234+0000: 191.242: [GC [PSYoungGen: 413028K->224K(402432K)] 485576K->72820K(1089408K), 0.0056630 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T10:11:09.099+0000: 192.107: [GC [PSYoungGen: 400327K->548K(388544K)] 472923K->73184K(1075520K), 0.0098780 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T10:11:09.911+0000: 192.919: [GC [PSYoungGen: 388503K->324K(376704K)] 461139K->72992K(1063680K), 0.0076150 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T10:11:10.718+0000: 193.726: [GC [PSYoungGen: 376644K->192K(365376K)] 449312K->72884K(1052352K), 0.0060530 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T10:11:11.492+0000: 194.501: [GC [PSYoungGen: 365376K->224K(356288K)] 438068K->72940K(1043264K), 0.0052110 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T10:11:12.264+0000: 195.272: [GC [PSYoungGen: 354673K->388K(344704K)] 427389K->73152K(1031680K), 0.0063970 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T10:11:12.986+0000: 195.994: [GC [PSYoungGen: 344644K->242K(334720K)] 417408K->73078K(1021696K), 0.0042360 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T10:11:13.707+0000: 196.715: [GC [PSYoungGen: 334706K->416K(325504K)] 407542K->73324K(1012480K), 0.0049460 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T10:11:14.387+0000: 197.395: [GC [PSYoungGen: 325465K->128K(390208K)] 398373K->73100K(1077184K), 0.0163510 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-16T10:11:15.223+0000: 198.231: [GC [PSYoungGen: 390208K->256K(378624K)] 463180K->73260K(1065600K), 0.0046750 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T10:11:16.054+0000: 199.063: [GC [PSYoungGen: 378620K->960K(368128K)] 451624K->74012K(1055104K), 0.0057470 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T10:11:16.807+0000: 199.816: [GC [PSYoungGen: 368128K->242K(356672K)] 441180K->73334K(1043648K), 0.0056230 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-16T10:11:17.610+0000: 200.618: [GC [PSYoungGen: 356651K->694K(346816K)] 429743K->73842K(1033792K), 0.0105750 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T10:11:18.338+0000: 201.347: [GC [PSYoungGen: 346785K->128K(336384K)] 419933K->73324K(1023360K), 0.0045720 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T10:11:19.060+0000: 202.069: [GC [PSYoungGen: 336384K->210K(328064K)] 409580K->73422K(1015040K), 0.0037340 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
