2014-07-16T08:52:55.772+0000: 130.835: [GC [PSYoungGen: 1237722K->6550K(1186688K)] 1322478K->91482K(1873664K), 0.0060220 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T08:52:58.291+0000: 133.354: [GC [PSYoungGen: 1186646K->6550K(1138304K)] 1271578K->91554K(1825280K), 0.0206040 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T08:53:00.706+0000: 135.769: [GC [PSYoungGen: 1138262K->6532K(1092224K)] 1223266K->91607K(1779200K), 0.0208800 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2014-07-16T08:53:03.042+0000: 138.105: [GC [PSYoungGen: 1092164K->6596K(1048448K)] 1177239K->91823K(1735424K), 0.0228060 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T08:53:05.254+0000: 140.316: [GC [PSYoungGen: 1048388K->6536K(1006656K)] 1133615K->91924K(1693632K), 0.0064170 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T08:53:07.410+0000: 142.472: [GC [PSYoungGen: 1006600K->6564K(966912K)] 1091988K->92015K(1653888K), 0.0180160 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-16T08:53:09.431+0000: 144.493: [GC [PSYoungGen: 966884K->6532K(929088K)] 1052335K->92095K(1616064K), 0.0113020 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2014-07-16T08:53:11.389+0000: 146.451: [GC [PSYoungGen: 929028K->6596K(893120K)] 1014591K->92271K(1580096K), 0.0335330 secs] [Times: user=0.10 sys=0.00, real=0.04 secs] 
2014-07-16T08:53:13.305+0000: 148.367: [GC [PSYoungGen: 893060K->6596K(858816K)] 978735K->92423K(1545792K), 0.0276290 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2014-07-16T08:53:15.120+0000: 150.182: [GC [PSYoungGen: 858756K->6500K(825984K)] 944583K->92487K(1512960K), 0.0162580 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
