2014-07-16T10:08:19.569+0000: 22.578: [GC [PSYoungGen: 257728K->11202K(300608K)] 257728K->11210K(987584K), 0.0685690 secs] [Times: user=0.23 sys=0.01, real=0.07 secs] 
2014-07-16T10:08:23.365+0000: 26.373: [GC [PSYoungGen: 268930K->16310K(300608K)] 268938K->16326K(987584K), 0.0074880 secs] [Times: user=0.03 sys=0.02, real=0.01 secs] 
2014-07-16T10:08:25.325+0000: 28.333: [GC [PSYoungGen: 274038K->21042K(300608K)] 274054K->21066K(987584K), 0.0139230 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-16T10:08:27.354+0000: 30.362: [GC [PSYoungGen: 278770K->24164K(300608K)] 278794K->24188K(987584K), 0.0082150 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T10:08:29.303+0000: 32.311: [GC [PSYoungGen: 281892K->24944K(276288K)] 281916K->24968K(963264K), 0.0071900 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-16T10:08:31.051+0000: 34.060: [GC [PSYoungGen: 276270K->25206K(272192K)] 276294K->25230K(959168K), 0.0097900 secs] [Times: user=0.03 sys=0.02, real=0.01 secs] 
2014-07-16T10:08:32.744+0000: 35.752: [GC [PSYoungGen: 270390K->10828K(250112K)] 270414K->25190K(937088K), 0.0220150 secs] [Times: user=0.15 sys=0.01, real=0.02 secs] 
2014-07-16T10:08:34.256+0000: 37.264: [GC [PSYoungGen: 250060K->2119K(264000K)] 264422K->25372K(950976K), 0.0055690 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-16T10:08:35.748+0000: 38.756: [GC [PSYoungGen: 235655K->814K(228864K)] 258908K->25430K(915840K), 0.0074360 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T10:08:36.968+0000: 39.976: [GC [PSYoungGen: 228846K->680K(253824K)] 253462K->25570K(940800K), 0.0049850 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-16T10:08:38.040+0000: 41.048: [GC [PSYoungGen: 223354K->712K(218368K)] 248244K->25674K(905344K), 0.0031950 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T10:08:39.100+0000: 42.109: [GC [PSYoungGen: 218307K->584K(243072K)] 243269K->25594K(930048K), 0.0068320 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2014-07-16T10:08:40.150+0000: 43.159: [GC [PSYoungGen: 213241K->566K(208448K)] 238252K->25656K(895424K), 0.0043950 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-16T10:08:41.194+0000: 44.203: [GC [PSYoungGen: 208438K->1260K(231808K)] 233528K->26422K(918784K), 0.0060900 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T10:08:42.176+0000: 45.184: [GC [PSYoungGen: 204524K->780K(199616K)] 229686K->26014K(886592K), 0.0048850 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-16T10:08:43.010+0000: 46.018: [GC [PSYoungGen: 199564K->844K(220992K)] 224798K->26126K(907968K), 0.0039460 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2014-07-16T10:08:43.762+0000: 46.771: [GC [PSYoungGen: 195340K->598K(190976K)] 220622K->25952K(877952K), 0.0045530 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T10:08:44.507+0000: 47.515: [GC [PSYoungGen: 190923K->794K(210304K)] 216277K->26220K(897280K), 0.0049760 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T10:08:45.229+0000: 48.238: [GC [PSYoungGen: 187079K->916K(183360K)] 212506K->26415K(870336K), 0.0066620 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T10:08:45.969+0000: 48.977: [GC [PSYoungGen: 183282K->1240K(200064K)] 208781K->26803K(887040K), 0.0045940 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T10:08:46.716+0000: 49.724: [GC [PSYoungGen: 179864K->830K(175808K)] 205427K->26465K(862784K), 0.0050870 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T10:08:47.382+0000: 50.391: [GC [PSYoungGen: 175806K->1136K(190464K)] 201441K->26859K(877440K), 0.0057730 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T10:08:48.050+0000: 51.058: [GC [PSYoungGen: 172592K->844K(168960K)] 198315K->26654K(855936K), 0.0066480 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-16T10:08:48.730+0000: 51.738: [GC [PSYoungGen: 168908K->612K(181568K)] 194718K->26470K(868544K), 0.0051970 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T10:08:49.383+0000: 52.392: [GC [PSYoungGen: 165412K->338K(161984K)] 191270K->26212K(848960K), 0.0054320 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T10:08:50.038+0000: 53.046: [GC [PSYoungGen: 161938K->972K(173184K)] 187812K->26910K(860160K), 0.0045370 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-16T10:08:50.642+0000: 53.650: [GC [PSYoungGen: 159465K->352K(155904K)] 185404K->26362K(842880K), 0.0042300 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-16T10:08:51.325+0000: 54.333: [GC [PSYoungGen: 155872K->352K(165568K)] 181882K->26410K(852544K), 0.0042510 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T10:08:51.945+0000: 54.953: [GC [PSYoungGen: 152992K->890K(150720K)] 179050K->27020K(837696K), 0.0049870 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-16T10:08:52.607+0000: 55.615: [GC [PSYoungGen: 150712K->534K(158080K)] 176843K->26712K(845056K), 0.0081380 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-16T10:08:53.163+0000: 56.171: [GC [PSYoungGen: 147606K->530K(145024K)] 173784K->26772K(832000K), 0.0037530 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-16T10:08:53.676+0000: 56.684: [GC [PSYoungGen: 144978K->726K(151296K)] 171220K->27048K(838272K), 0.0063030 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
