2014-07-08T13:00:18.994+0000: 24.080: [GC [PSYoungGen: 257728K->42848K(300608K)] 257728K->57726K(987584K), 0.0956830 secs] [Times: user=0.35 sys=0.03, real=0.09 secs] 
2014-07-08T13:00:19.284+0000: 24.370: [GC [PSYoungGen: 300576K->42880K(300608K)] 315454K->63951K(987584K), 0.0598520 secs] [Times: user=0.22 sys=0.02, real=0.06 secs] 
2014-07-08T13:00:20.427+0000: 25.513: [GC [PSYoungGen: 300608K->42864K(300608K)] 321679K->64671K(987584K), 0.0444280 secs] [Times: user=0.18 sys=0.00, real=0.04 secs] 
2014-07-08T13:00:21.804+0000: 26.890: [GC [PSYoungGen: 300592K->42854K(558336K)] 322399K->65598K(1245312K), 0.0816110 secs] [Times: user=0.29 sys=0.02, real=0.08 secs] 
2014-07-08T13:00:24.644+0000: 29.730: [GC [PSYoungGen: 558310K->42848K(558336K)] 581054K->65831K(1245312K), 0.0717960 secs] [Times: user=0.19 sys=0.02, real=0.07 secs] 
2014-07-08T13:00:26.827+0000: 31.913: [GC [PSYoungGen: 558304K->43436K(1088512K)] 581287K->66420K(1775488K), 0.0600800 secs] [Times: user=0.19 sys=0.03, real=0.06 secs] 
2014-07-08T13:00:30.851+0000: 35.937: [GC [PSYoungGen: 1074348K->2450K(1089472K)] 1097332K->65947K(1776448K), 0.0627780 secs] [Times: user=0.21 sys=0.02, real=0.06 secs] 
2014-07-08T13:00:36.472+0000: 41.558: [GC [PSYoungGen: 1033362K->2596K(2124224K)] 1096859K->66501K(2811200K), 0.0093840 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T13:00:49.702+0000: 54.788: [GC [PSYoungGen: 2060068K->3236K(2128576K)] 2123973K->67501K(2815552K), 0.0353440 secs] [Times: user=0.13 sys=0.01, real=0.04 secs] 
2014-07-08T13:01:02.970+0000: 68.056: [GC [PSYoungGen: 2060708K->3698K(2721216K)] 2124973K->68907K(3408192K), 0.0256490 secs] [Times: user=0.08 sys=0.01, real=0.02 secs] 
2014-07-08T13:02:53.613+0000: 178.698: [GC [PSYoungGen: 2651634K->3230K(2722048K)] 2716843K->70903K(3409024K), 0.0125050 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-08T13:03:05.717+0000: 190.803: [GC [PSYoungGen: 2651166K->2870K(2720768K)] 2718839K->72215K(3407744K), 0.0107060 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-08T13:03:26.422+0000: 211.508: [GC [PSYoungGen: 2650806K->2884K(2530240K)] 2720151K->73765K(3217216K), 0.0631320 secs] [Times: user=0.24 sys=0.01, real=0.06 secs] 
2014-07-08T13:03:45.424+0000: 230.510: [GC [PSYoungGen: 2530180K->2692K(2415424K)] 2601061K->75037K(3102400K), 0.0141070 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-08T13:04:05.953+0000: 251.039: [GC [PSYoungGen: 2415364K->2902K(2306688K)] 2487709K->76655K(2993664K), 0.0176100 secs] [Times: user=0.06 sys=0.01, real=0.02 secs] 
2014-07-08T13:04:23.924+0000: 269.010: [GC [PSYoungGen: 2306646K->2432K(2202624K)] 2380399K->77689K(2889600K), 0.0654450 secs] [Times: user=0.21 sys=0.01, real=0.06 secs] 
2014-07-08T13:04:35.584+0000: 280.670: [GC [PSYoungGen: 2202624K->2386K(2168128K)] 2277881K->78971K(2855104K), 0.0215790 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2014-07-08T13:04:52.763+0000: 297.849: [GC [PSYoungGen: 2104146K->2774K(2011008K)] 2180731K->80463K(2697984K), 0.0839370 secs] [Times: user=0.22 sys=0.01, real=0.09 secs] 
2014-07-08T13:05:05.745+0000: 310.831: [GC [PSYoungGen: 2010966K->2386K(1921664K)] 2088655K->81443K(2608640K), 0.0216550 secs] [Times: user=0.07 sys=0.01, real=0.03 secs] 
2014-07-08T13:05:21.330+0000: 326.416: [GC [PSYoungGen: 1921618K->2596K(1837312K)] 2000675K->82805K(2524288K), 0.0410800 secs] [Times: user=0.13 sys=0.02, real=0.04 secs] 
2014-07-08T13:05:36.123+0000: 341.209: [GC [PSYoungGen: 1837284K->2486K(1810112K)] 1917493K->83943K(2497088K), 0.0099840 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T13:05:50.761+0000: 355.847: [GC [PSYoungGen: 1756790K->2568K(1680512K)] 1838247K->85225K(2367488K), 0.0258010 secs] [Times: user=0.07 sys=0.01, real=0.03 secs] 
2014-07-08T13:06:02.733+0000: 367.819: [GC [PSYoungGen: 1680456K->2386K(1655488K)] 1763113K->86163K(2342464K), 0.0303910 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
2014-07-08T13:06:18.486+0000: 383.572: [GC [PSYoungGen: 1607570K->2468K(1538560K)] 1691347K->87301K(2225536K), 0.0305790 secs] [Times: user=0.10 sys=0.01, real=0.03 secs] 
2014-07-08T13:06:34.496+0000: 399.582: [GC [PSYoungGen: 1538449K->2518K(1515392K)] 1623282K->88383K(2202368K), 0.0385630 secs] [Times: user=0.13 sys=0.01, real=0.04 secs] 
2014-07-08T13:06:49.338+0000: 414.424: [GC [PSYoungGen: 1472854K->2176K(1409984K)] 1558719K->89161K(2096960K), 0.0472150 secs] [Times: user=0.16 sys=0.01, real=0.05 secs] 
2014-07-08T13:07:02.938+0000: 428.024: [GC [PSYoungGen: 1409984K->2308K(1388416K)] 1496969K->90293K(2075392K), 0.0287340 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
2014-07-08T13:07:16.431+0000: 441.517: [GC [PSYoungGen: 1350660K->2284K(1294080K)] 1438645K->91253K(1981056K), 0.0134270 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T13:07:25.858+0000: 450.943: [GC [PSYoungGen: 1294060K->2066K(1240064K)] 1383029K->91923K(1927040K), 0.0556410 secs] [Times: user=0.21 sys=0.00, real=0.06 secs] 
2014-07-08T13:07:38.815+0000: 463.901: [GC [PSYoungGen: 1240018K->2130K(1188928K)] 1329875K->92787K(1875904K), 0.0142130 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T13:07:51.908+0000: 476.994: [GC [PSYoungGen: 1188882K->2258K(1140352K)] 1279539K->93803K(1827328K), 0.0264270 secs] [Times: user=0.09 sys=0.01, real=0.03 secs] 
2014-07-08T13:08:03.465+0000: 488.551: [GC [PSYoungGen: 1140306K->2244K(1094016K)] 1231851K->94709K(1780992K), 0.0248320 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-08T13:08:13.997+0000: 499.083: [GC [PSYoungGen: 1093953K->1988K(1049600K)] 1186418K->95269K(1736576K), 0.0145460 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T13:08:24.845+0000: 509.931: [GC [PSYoungGen: 1049466K->1970K(1007552K)] 1142748K->95987K(1694528K), 0.0158910 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2014-07-08T13:08:34.654+0000: 519.740: [GC [PSYoungGen: 1007538K->2006K(967616K)] 1101555K->96735K(1654592K), 0.0099640 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T13:08:42.951+0000: 528.037: [GC [PSYoungGen: 967574K->1956K(929472K)] 1062303K->97357K(1616448K), 0.0306800 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
2014-07-08T13:08:50.493+0000: 535.579: [GC [PSYoungGen: 929444K->1956K(893184K)] 1024845K->97989K(1580160K), 0.0244360 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2014-07-08T13:08:58.119+0000: 543.205: [GC [PSYoungGen: 893156K->1778K(858432K)] 989189K->98371K(1545408K), 0.0081620 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T13:09:04.743+0000: 549.829: [GC [PSYoungGen: 858418K->2038K(825792K)] 955011K->99215K(1512768K), 0.0320710 secs] [Times: user=0.12 sys=0.01, real=0.03 secs] 
2014-07-08T13:09:11.249+0000: 556.335: [GC [PSYoungGen: 825782K->1814K(794240K)] 922959K->99551K(1481216K), 0.0100660 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T13:09:17.498+0000: 562.584: [GC [PSYoungGen: 794198K->1714K(764224K)] 891935K->99979K(1451200K), 0.0087250 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T13:09:22.644+0000: 567.730: [GC [PSYoungGen: 764207K->1846K(735872K)] 862472K->100583K(1422848K), 0.0085890 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T13:09:42.651+0000: 587.737: [GC [PSYoungGen: 735862K->1842K(708736K)] 834599K->101083K(1395712K), 0.0272390 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2014-07-08T13:09:43.394+0000: 588.480: [GC [PSYoungGen: 708710K->1508K(682560K)] 807951K->101301K(1369536K), 0.0221140 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-08T13:09:45.946+0000: 591.032: [GC [PSYoungGen: 682532K->1704K(658112K)] 782325K->101729K(1345088K), 0.0054760 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T13:09:50.985+0000: 596.071: [GC [PSYoungGen: 658088K->1828K(634688K)] 758113K->102165K(1321664K), 0.0241270 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2014-07-08T13:09:56.169+0000: 601.255: [GC [PSYoungGen: 634657K->1796K(612224K)] 734994K->102605K(1299200K), 0.0136040 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2014-07-08T13:10:01.521+0000: 606.607: [GC [PSYoungGen: 612164K->1864K(590848K)] 712973K->103089K(1277824K), 0.0314530 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
2014-07-08T13:10:06.347+0000: 611.433: [GC [PSYoungGen: 590792K->1536K(569984K)] 692017K->103177K(1256960K), 0.0061540 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T13:10:10.922+0000: 616.008: [GC [PSYoungGen: 569937K->1700K(550656K)] 671579K->103701K(1237632K), 0.0344090 secs] [Times: user=0.12 sys=0.01, real=0.04 secs] 
2014-07-08T13:10:15.658+0000: 620.743: [GC [PSYoungGen: 550628K->1700K(532032K)] 652629K->104085K(1219008K), 0.0089350 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T13:10:20.161+0000: 625.247: [GC [PSYoungGen: 532004K->1732K(514304K)] 634389K->104493K(1201280K), 0.0317390 secs] [Times: user=0.12 sys=0.01, real=0.03 secs] 
2014-07-08T13:10:24.580+0000: 629.666: [GC [PSYoungGen: 514244K->1536K(497024K)] 617005K->104633K(1184000K), 0.0081380 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T13:10:28.176+0000: 633.262: [GC [PSYoungGen: 497024K->1526K(480768K)] 600121K->104999K(1167744K), 0.0074100 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-08T13:10:29.758+0000: 634.844: [GC [PSYoungGen: 480753K->1376K(465088K)] 584226K->105137K(1152064K), 0.0081140 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T13:10:34.167+0000: 639.253: [GC [PSYoungGen: 465056K->1618K(450496K)] 568817K->105627K(1137472K), 0.0239680 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2014-07-08T13:10:38.389+0000: 643.475: [GC [PSYoungGen: 450450K->1440K(436096K)] 554459K->105809K(1123072K), 0.0064540 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T13:10:42.627+0000: 647.713: [GC [PSYoungGen: 436064K->1618K(422656K)] 540433K->106291K(1109632K), 0.0365720 secs] [Times: user=0.14 sys=0.01, real=0.04 secs] 
2014-07-08T13:10:46.953+0000: 652.039: [GC [PSYoungGen: 422610K->1672K(409664K)] 527283K->106705K(1096640K), 0.0366490 secs] [Times: user=0.14 sys=0.01, real=0.04 secs] 
2014-07-08T13:10:51.101+0000: 656.187: [GC [PSYoungGen: 409601K->1718K(397184K)] 514634K->107039K(1084160K), 0.0156230 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T13:10:54.958+0000: 660.044: [GC [PSYoungGen: 397174K->1540K(385088K)] 502495K->107189K(1072064K), 0.0218630 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2014-07-08T13:10:59.107+0000: 664.193: [GC [PSYoungGen: 385028K->1608K(373696K)] 490677K->107561K(1060672K), 0.0092080 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T13:11:02.970+0000: 668.056: [GC [PSYoungGen: 373640K->1814K(362944K)] 479593K->108063K(1049920K), 0.0385420 secs] [Times: user=0.15 sys=0.01, real=0.04 secs] 
2014-07-08T13:11:06.979+0000: 672.065: [GC [PSYoungGen: 362902K->1572K(352192K)] 469151K->108165K(1039168K), 0.0231550 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2014-07-08T13:11:10.299+0000: 675.385: [GC [PSYoungGen: 352164K->1608K(342208K)] 458757K->108449K(1029184K), 0.0061450 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T13:11:13.690+0000: 678.776: [GC [PSYoungGen: 342152K->1540K(332480K)] 448993K->108629K(1019456K), 0.0181710 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
2014-07-08T13:11:16.728+0000: 681.814: [GC [PSYoungGen: 332331K->1508K(323136K)] 439421K->108893K(1010112K), 0.0102530 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T13:11:19.865+0000: 684.951: [GC [PSYoungGen: 323024K->1686K(314432K)] 430410K->109287K(1001408K), 0.0513840 secs] [Times: user=0.20 sys=0.01, real=0.05 secs] 
2014-07-08T13:11:23.147+0000: 688.233: [GC [PSYoungGen: 314386K->1572K(305792K)] 421987K->109397K(992768K), 0.0075970 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T13:11:26.509+0000: 691.595: [GC [PSYoungGen: 305764K->1572K(297600K)] 413589K->109701K(984576K), 0.0454750 secs] [Times: user=0.17 sys=0.00, real=0.05 secs] 
2014-07-08T13:11:29.428+0000: 694.514: [GC [PSYoungGen: 297520K->1508K(289664K)] 405650K->109845K(976640K), 0.0441640 secs] [Times: user=0.17 sys=0.00, real=0.04 secs] 
2014-07-08T13:11:32.280+0000: 697.366: [GC [PSYoungGen: 289633K->1686K(282304K)] 397971K->110247K(969280K), 0.0079120 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T13:11:34.946+0000: 700.032: [GC [PSYoungGen: 282262K->1376K(274688K)] 390823K->110217K(961664K), 0.0093830 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T13:11:37.790+0000: 702.876: [GC [PSYoungGen: 274656K->1572K(267904K)] 383497K->110621K(954880K), 0.0199310 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-08T13:11:40.533+0000: 705.619: [GC [PSYoungGen: 267876K->1508K(261120K)] 376925K->110741K(948096K), 0.0506380 secs] [Times: user=0.19 sys=0.01, real=0.05 secs] 
2014-07-08T13:11:43.357+0000: 708.442: [GC [PSYoungGen: 261092K->1572K(254720K)] 370325K->111029K(941696K), 0.0263080 secs] [Times: user=0.10 sys=0.01, real=0.03 secs] 
2014-07-08T13:11:45.940+0000: 711.026: [GC [PSYoungGen: 254692K->1426K(248384K)] 364149K->111131K(935360K), 0.0069240 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-08T13:11:48.679+0000: 713.765: [GC [PSYoungGen: 248338K->1394K(297728K)] 358043K->111291K(984704K), 0.0473960 secs] [Times: user=0.17 sys=0.01, real=0.04 secs] 
2014-07-08T13:11:51.790+0000: 716.876: [GC [PSYoungGen: 297707K->1572K(290048K)] 407605K->111645K(977024K), 0.0099450 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-08T13:11:54.458+0000: 719.544: [GC [PSYoungGen: 290020K->1344K(282176K)] 400093K->111673K(969152K), 0.0073090 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T13:11:57.240+0000: 722.326: [GC [PSYoungGen: 282176K->1494K(275072K)] 392505K->112055K(962048K), 0.0113880 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T13:11:59.754+0000: 724.840: [GC [PSYoungGen: 275030K->1330K(267840K)] 385591K->112083K(954816K), 0.0046450 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T13:12:02.366+0000: 727.452: [GC [PSYoungGen: 267826K->1476K(261312K)] 378579K->112437K(948288K), 0.0244090 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2014-07-08T13:12:05.117+0000: 730.203: [GC [PSYoungGen: 261252K->1394K(254720K)] 372213K->112611K(941696K), 0.0050450 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T13:12:07.577+0000: 732.663: [GC [PSYoungGen: 254704K->1458K(248512K)] 365921K->112883K(935488K), 0.0099310 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T13:12:09.571+0000: 734.657: [GC [PSYoungGen: 248498K->1398K(242432K)] 359923K->112999K(929408K), 0.0074820 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T13:12:11.920+0000: 737.006: [GC [PSYoungGen: 242416K->1690K(236992K)] 354018K->113459K(923968K), 0.0147160 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-08T13:12:14.270+0000: 739.356: [GC [PSYoungGen: 236954K->868K(230592K)] 348723K->113389K(917568K), 0.0080090 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T13:12:16.730+0000: 741.816: [GC [PSYoungGen: 230564K->1640K(225984K)] 343085K->114337K(912960K), 0.0099390 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T13:12:18.524+0000: 743.610: [GC [PSYoungGen: 225957K->1494K(220672K)] 338655K->114463K(907648K), 0.0046690 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T13:12:20.202+0000: 745.288: [GC [PSYoungGen: 220630K->1508K(215680K)] 333599K->114653K(902656K), 0.0203560 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
