2014-07-08T14:15:17.318+0000: 23.750: [GC [PSYoungGen: 257728K->15339K(300608K)] 257728K->15347K(987584K), 0.0225110 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2014-07-08T14:15:20.978+0000: 27.410: [GC [PSYoungGen: 273067K->17010K(300608K)] 273075K->17026K(987584K), 0.0080570 secs] [Times: user=0.03 sys=0.02, real=0.00 secs] 
2014-07-08T14:15:23.479+0000: 29.911: [GC [PSYoungGen: 274738K->18271K(300608K)] 274754K->18295K(987584K), 0.0152570 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
2014-07-08T14:15:25.525+0000: 31.958: [GC [PSYoungGen: 275999K->22292K(300608K)] 276023K->22316K(987584K), 0.0117610 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
2014-07-08T14:15:27.401+0000: 33.833: [GC [PSYoungGen: 280020K->25218K(276608K)] 280044K->25242K(963584K), 0.0160970 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
2014-07-08T14:15:29.279+0000: 35.711: [GC [PSYoungGen: 276546K->21937K(267136K)] 276570K->26712K(954112K), 0.0352460 secs] [Times: user=0.21 sys=0.02, real=0.03 secs] 
2014-07-08T14:15:31.088+0000: 37.520: [GC [PSYoungGen: 267121K->9719K(248960K)] 271896K->28851K(935936K), 0.0265410 secs] [Times: user=0.18 sys=0.02, real=0.03 secs] 
2014-07-08T14:15:33.790+0000: 40.222: [GC [PSYoungGen: 248951K->6737K(260736K)] 268083K->29675K(947712K), 0.0044970 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T14:15:36.685+0000: 43.117: [GC [PSYoungGen: 240273K->3704K(231744K)] 263211K->30009K(918720K), 0.0069450 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-08T14:15:39.542+0000: 45.974: [GC [PSYoungGen: 231736K->1770K(251840K)] 258041K->30533K(938816K), 0.0038910 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T14:15:42.173+0000: 48.605: [GC [PSYoungGen: 224489K->1654K(219264K)] 253252K->30835K(906240K), 0.0065700 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T14:15:44.749+0000: 51.181: [GC [PSYoungGen: 219254K->1642K(241664K)] 248435K->31261K(928640K), 0.0077150 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T14:15:47.202+0000: 53.634: [GC [PSYoungGen: 214314K->1455K(209344K)] 243933K->31221K(896320K), 0.0051640 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2014-07-08T14:15:49.531+0000: 55.963: [GC [PSYoungGen: 209325K->1384K(231104K)] 239090K->31297K(918080K), 0.0083890 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T14:15:51.785+0000: 58.217: [GC [PSYoungGen: 204646K->1042K(199872K)] 234559K->30955K(886848K), 0.0077540 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T14:15:54.024+0000: 60.456: [GC [PSYoungGen: 199826K->1448K(220608K)] 229739K->31361K(907584K), 0.0058230 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T14:15:56.313+0000: 62.745: [GC [PSYoungGen: 195944K->1366K(191744K)] 225857K->31421K(878720K), 0.0048740 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T14:15:58.514+0000: 64.946: [GC [PSYoungGen: 191682K->1433K(210240K)] 221737K->31488K(897216K), 0.0051820 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T14:16:00.697+0000: 67.130: [GC [PSYoungGen: 187737K->1421K(183872K)] 217792K->31476K(870848K), 0.0045290 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T14:16:02.871+0000: 69.303: [GC [PSYoungGen: 183820K->1404K(200192K)] 213875K->31600K(887168K), 0.0065910 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-08T14:16:04.924+0000: 71.356: [GC [PSYoungGen: 180028K->1703K(176704K)] 210224K->31899K(863680K), 0.0080930 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-08T14:16:06.896+0000: 73.328: [GC [PSYoungGen: 176679K->1334K(190720K)] 206875K->31538K(877696K), 0.0095900 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T14:16:08.878+0000: 75.310: [GC [PSYoungGen: 172790K->1405K(169472K)] 202994K->31625K(856448K), 0.0054670 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T14:16:10.807+0000: 77.239: [GC [PSYoungGen: 169452K->1412K(181952K)] 199673K->31664K(868928K), 0.0074000 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2014-07-08T14:16:12.695+0000: 79.127: [GC [PSYoungGen: 166212K->1074K(162688K)] 196464K->31342K(849664K), 0.0060760 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T14:16:14.577+0000: 81.010: [GC [PSYoungGen: 162674K->1418K(173632K)] 192942K->31727K(860608K), 0.0052300 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T14:16:16.347+0000: 82.779: [GC [PSYoungGen: 159946K->1446K(156992K)] 190255K->31771K(843968K), 0.0066590 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T14:16:18.121+0000: 84.553: [GC [PSYoungGen: 156966K->1184K(165888K)] 187291K->31604K(852864K), 0.0048960 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T14:16:19.888+0000: 86.320: [GC [PSYoungGen: 153788K->1312K(151168K)] 184209K->31756K(838144K), 0.0191040 secs] [Times: user=0.12 sys=0.00, real=0.02 secs] 
2014-07-08T14:16:33.706+0000: 100.138: [GC [PSYoungGen: 151136K->1368K(158528K)] 181580K->31812K(845504K), 0.0125050 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
2014-07-08T14:18:31.476+0000: 217.908: [GC [PSYoungGen: 148440K->1298K(145792K)] 178884K->31742K(832768K), 0.0060330 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-08T14:18:32.800+0000: 219.233: [GC [PSYoungGen: 145746K->1184K(151872K)] 176190K->31708K(838848K), 0.0067190 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T14:18:33.030+0000: 219.463: [GC [PSYoungGen: 143072K->1486K(140928K)] 173596K->32042K(827904K), 0.0051970 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-08T14:18:33.285+0000: 219.718: [GC [PSYoungGen: 140878K->1276K(152640K)] 171434K->31888K(839616K), 0.0058270 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T14:18:33.523+0000: 219.955: [GC [PSYoungGen: 141436K->1248K(151872K)] 172048K->31892K(838848K), 0.0034720 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T14:18:34.277+0000: 220.710: [GC [PSYoungGen: 141408K->1266K(184832K)] 172052K->31950K(871808K), 0.0089240 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T14:18:35.747+0000: 222.180: [GC [PSYoungGen: 176498K->1252K(172992K)] 207182K->32016K(859968K), 0.0065180 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2014-07-08T14:18:37.825+0000: 224.257: [GC [PSYoungGen: 172964K->1316K(173312K)] 203728K->32088K(860288K), 0.0045240 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-08T14:18:39.894+0000: 226.326: [GC [PSYoungGen: 169636K->1462K(166528K)] 200408K->32234K(853504K), 0.0061910 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T14:18:41.960+0000: 228.393: [GC [PSYoungGen: 166518K->1618K(165952K)] 197290K->32398K(852928K), 0.0043520 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T14:18:43.982+0000: 230.414: [GC [PSYoungGen: 163474K->1384K(160192K)] 194254K->32172K(847168K), 0.0072970 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T14:18:46.277+0000: 232.709: [GC [PSYoungGen: 160099K->1654K(159040K)] 190887K->32442K(846016K), 0.0114240 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
2014-07-08T14:18:48.919+0000: 235.351: [GC [PSYoungGen: 157430K->1430K(154368K)] 188218K->32218K(841344K), 0.0118690 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
2014-07-08T14:18:51.185+0000: 237.617: [GC [PSYoungGen: 154326K->1504K(152320K)] 185114K->32300K(839296K), 0.0049910 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T14:18:53.041+0000: 239.473: [GC [PSYoungGen: 151584K->1724K(149056K)] 182380K->32577K(836032K), 0.0106580 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
