2014-07-08T15:29:35.069+0000: 23.906: [GC [PSYoungGen: 257728K->42864K(300608K)] 257728K->57707K(987584K), 0.0789860 secs] [Times: user=0.21 sys=0.03, real=0.08 secs] 
2014-07-08T15:29:35.331+0000: 24.168: [GC [PSYoungGen: 300592K->42870K(300608K)] 315435K->64050K(987584K), 0.0707110 secs] [Times: user=0.24 sys=0.03, real=0.07 secs] 
2014-07-08T15:29:36.020+0000: 24.857: [GC [PSYoungGen: 300598K->42854K(300608K)] 321778K->64090K(987584K), 0.0760000 secs] [Times: user=0.29 sys=0.00, real=0.08 secs] 
2014-07-08T15:29:37.073+0000: 25.910: [GC [PSYoungGen: 300582K->42854K(558336K)] 321818K->64603K(1245312K), 0.0597730 secs] [Times: user=0.21 sys=0.02, real=0.06 secs] 
2014-07-08T15:29:38.882+0000: 27.719: [GC [PSYoungGen: 558310K->42864K(558336K)] 580059K->64788K(1245312K), 0.0535280 secs] [Times: user=0.18 sys=0.04, real=0.06 secs] 
2014-07-08T15:29:40.632+0000: 29.469: [GC [PSYoungGen: 558320K->42928K(1088704K)] 580244K->64852K(1775680K), 0.0453390 secs] [Times: user=0.14 sys=0.02, real=0.05 secs] 
2014-07-08T15:29:44.367+0000: 33.204: [GC [PSYoungGen: 1073840K->2580K(1089600K)] 1095764K->66038K(1776576K), 0.0672330 secs] [Times: user=0.24 sys=0.02, real=0.06 secs] 
2014-07-08T15:29:49.087+0000: 37.924: [GC [PSYoungGen: 1033492K->2226K(2124160K)] 1096950K->65964K(2811136K), 0.0337990 secs] [Times: user=0.13 sys=0.01, real=0.03 secs] 
2014-07-08T15:30:02.032+0000: 50.870: [GC [PSYoungGen: 2059698K->3300K(2128512K)] 2123436K->67310K(2815488K), 0.0483980 secs] [Times: user=0.17 sys=0.00, real=0.05 secs] 
2014-07-08T15:30:14.935+0000: 63.772: [GC [PSYoungGen: 2060772K->3748K(2721472K)] 2124782K->68526K(3408448K), 0.0460410 secs] [Times: user=0.18 sys=0.01, real=0.05 secs] 
2014-07-08T15:30:31.627+0000: 80.464: [GC [PSYoungGen: 2652068K->2930K(2651264K)] 2716846K->70196K(3338240K), 0.0742070 secs] [Times: user=0.26 sys=0.00, real=0.07 secs] 
