2014-07-08T14:15:18.656+0000: 25.088: [GC [PSYoungGen: 257728K->42864K(300608K)] 257728K->57690K(987584K), 0.0966980 secs] [Times: user=0.35 sys=0.02, real=0.10 secs] 
2014-07-08T14:15:19.006+0000: 25.438: [GC [PSYoungGen: 300592K->42864K(300608K)] 315418K->63763K(987584K), 0.0911310 secs] [Times: user=0.33 sys=0.02, real=0.10 secs] 
2014-07-08T14:15:20.457+0000: 26.890: [GC [PSYoungGen: 300592K->42870K(300608K)] 321491K->64689K(987584K), 0.0737310 secs] [Times: user=0.27 sys=0.00, real=0.07 secs] 
2014-07-08T14:15:21.816+0000: 28.249: [GC [PSYoungGen: 300598K->42870K(558336K)] 322417K->65713K(1245312K), 0.0576570 secs] [Times: user=0.19 sys=0.03, real=0.06 secs] 
2014-07-08T14:15:24.655+0000: 31.087: [GC [PSYoungGen: 558326K->42852K(558336K)] 581169K->66007K(1245312K), 0.0485640 secs] [Times: user=0.16 sys=0.03, real=0.05 secs] 
2014-07-08T14:15:26.754+0000: 33.186: [GC [PSYoungGen: 558308K->43060K(1088768K)] 581463K->66215K(1775744K), 0.0917750 secs] [Times: user=0.33 sys=0.02, real=0.09 secs] 
2014-07-08T14:15:31.182+0000: 37.614: [GC [PSYoungGen: 1073972K->2404K(1089536K)] 1097127K->65921K(1776512K), 0.0766870 secs] [Times: user=0.26 sys=0.03, real=0.07 secs] 
2014-07-08T14:15:37.920+0000: 44.352: [GC [PSYoungGen: 1033316K->2706K(2124224K)] 1096833K->66647K(2811200K), 0.0293760 secs] [Times: user=0.11 sys=0.00, real=0.02 secs] 
2014-07-08T14:15:51.034+0000: 57.466: [GC [PSYoungGen: 2060178K->3360K(2128576K)] 2124119K->67677K(2815552K), 0.0144510 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-08T14:16:04.231+0000: 70.663: [GC [PSYoungGen: 2060832K->3488K(2721152K)] 2125149K->68813K(3408128K), 0.0298310 secs] [Times: user=0.10 sys=0.00, real=0.03 secs] 
2014-07-08T14:16:22.293+0000: 88.725: [GC [PSYoungGen: 2651336K->2866K(2650816K)] 2716661K->70615K(3337792K), 0.0562260 secs] [Times: user=0.21 sys=0.01, real=0.06 secs] 
2014-07-08T14:18:40.736+0000: 227.169: [GC [PSYoungGen: 2650802K->2788K(2722624K)] 2718551K->72121K(3409600K), 0.0102980 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T14:19:03.232+0000: 249.664: [GC [PSYoungGen: 2651236K->3332K(2651840K)] 2720569K->74089K(3338816K), 0.0639620 secs] [Times: user=0.24 sys=0.01, real=0.06 secs] 
