2014-07-08T13:00:17.755+0000: 22.841: [GC [PSYoungGen: 257728K->14248K(300608K)] 257728K->14256K(987584K), 0.0223160 secs] [Times: user=0.05 sys=0.02, real=0.02 secs] 
2014-07-08T13:00:21.797+0000: 26.883: [GC [PSYoungGen: 271976K->14658K(300608K)] 271984K->14674K(987584K), 0.0254940 secs] [Times: user=0.15 sys=0.02, real=0.02 secs] 
2014-07-08T13:00:24.308+0000: 29.395: [GC [PSYoungGen: 272386K->15710K(300608K)] 272402K->15734K(987584K), 0.0220940 secs] [Times: user=0.13 sys=0.01, real=0.02 secs] 
2014-07-08T13:00:26.185+0000: 31.271: [GC [PSYoungGen: 273438K->18544K(300608K)] 273462K->18576K(987584K), 0.0059260 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2014-07-08T13:00:28.008+0000: 33.094: [GC [PSYoungGen: 276272K->21220K(272576K)] 276304K->21252K(959552K), 0.0227070 secs] [Times: user=0.11 sys=0.02, real=0.02 secs] 
2014-07-08T13:00:29.740+0000: 34.826: [GC [PSYoungGen: 272548K->21686K(266880K)] 272580K->23440K(953856K), 0.0262230 secs] [Times: user=0.16 sys=0.03, real=0.03 secs] 
2014-07-08T13:00:31.618+0000: 36.704: [GC [PSYoungGen: 266870K->10737K(249984K)] 268624K->25262K(936960K), 0.0207450 secs] [Times: user=0.13 sys=0.02, real=0.02 secs] 
2014-07-08T13:00:33.766+0000: 38.852: [GC [PSYoungGen: 249969K->8462K(254464K)] 264494K->26644K(941440K), 0.0038240 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T13:00:36.623+0000: 41.709: [GC [PSYoungGen: 241998K->4570K(232640K)] 260180K->27488K(919616K), 0.0063950 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-08T13:00:39.290+0000: 44.376: [GC [PSYoungGen: 232602K->2056K(246272K)] 255520K->27797K(933248K), 0.0063660 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T13:00:41.914+0000: 47.000: [GC [PSYoungGen: 224776K->924K(218560K)] 250517K->27641K(905536K), 0.0032450 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T13:00:44.478+0000: 49.564: [GC [PSYoungGen: 218523K->1316K(236672K)] 245240K->28179K(923648K), 0.0054510 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T13:00:46.990+0000: 52.076: [GC [PSYoungGen: 213988K->1061K(208960K)] 240851K->27934K(895936K), 0.0035270 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T13:00:49.289+0000: 54.375: [GC [PSYoungGen: 208933K->1368K(226560K)] 235806K->28387K(913536K), 0.0041900 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2014-07-08T13:00:51.628+0000: 56.714: [GC [PSYoungGen: 204614K->918K(199744K)] 231632K->28226K(886720K), 0.0045620 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T13:00:53.952+0000: 59.038: [GC [PSYoungGen: 199702K->1130K(216512K)] 227010K->28439K(903488K), 0.0064330 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T13:00:56.253+0000: 61.339: [GC [PSYoungGen: 195626K->1404K(191744K)] 222935K->28851K(878720K), 0.0044790 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2014-07-08T13:00:58.407+0000: 63.493: [GC [PSYoungGen: 191740K->1437K(206592K)] 219187K->28884K(893568K), 0.0057780 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T13:01:00.553+0000: 65.640: [GC [PSYoungGen: 187741K->1290K(183744K)] 215188K->28880K(870720K), 0.0104330 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T13:01:02.690+0000: 67.776: [GC [PSYoungGen: 183677K->1216K(197056K)] 211267K->28806K(884032K), 0.0063590 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2014-07-08T13:01:04.838+0000: 69.924: [GC [PSYoungGen: 179835K->1088K(176128K)] 207425K->28678K(863104K), 0.0050140 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T13:01:06.783+0000: 71.869: [GC [PSYoungGen: 176061K->1138K(187968K)] 203651K->28768K(874944K), 0.0055600 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T13:01:08.764+0000: 73.850: [GC [PSYoungGen: 172594K->772K(168896K)] 200224K->28425K(855872K), 0.0106880 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-08T13:01:10.667+0000: 75.753: [GC [PSYoungGen: 168836K->956K(179648K)] 196489K->28658K(866624K), 0.0043010 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T13:01:12.576+0000: 77.662: [GC [PSYoungGen: 165746K->1024K(162688K)] 193447K->28766K(849664K), 0.0034380 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T13:01:14.424+0000: 79.510: [GC [PSYoungGen: 162624K->978K(171520K)] 190366K->28759K(858496K), 0.0061550 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T13:01:16.359+0000: 81.445: [GC [PSYoungGen: 159506K->1194K(156736K)] 187287K->29008K(843712K), 0.0043810 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2014-07-08T13:01:34.225+0000: 99.311: [GC [PSYoungGen: 156714K->1258K(163968K)] 184528K->29072K(850944K), 0.0059010 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T13:02:53.590+0000: 178.676: [GC [PSYoungGen: 153898K->1085K(150912K)] 181712K->28899K(837888K), 0.0040280 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T13:02:53.832+0000: 178.918: [GC [PSYoungGen: 150909K->1131K(156800K)] 178723K->29048K(843776K), 0.0035190 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T13:02:54.053+0000: 179.139: [GC [PSYoungGen: 148203K->1379K(145856K)] 176120K->29313K(832832K), 0.0030730 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-08T13:02:54.281+0000: 179.368: [GC [PSYoungGen: 145827K->1248K(150208K)] 173761K->29230K(837184K), 0.0037150 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T13:02:54.512+0000: 179.598: [GC [PSYoungGen: 143136K->1056K(140480K)] 171118K->29102K(827456K), 0.0042890 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T13:02:55.588+0000: 180.674: [GC [PSYoungGen: 140408K->1146K(144128K)] 168453K->29247K(831104K), 0.0050220 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T13:02:57.432+0000: 182.518: [GC [PSYoungGen: 138106K->1114K(135744K)] 166207K->29255K(822720K), 0.0077980 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T13:02:59.108+0000: 184.194: [GC [PSYoungGen: 135706K->956K(138496K)] 163847K->29130K(825472K), 0.0061910 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T13:03:00.721+0000: 185.807: [GC [PSYoungGen: 133244K->1028K(131136K)] 161418K->29257K(818112K), 0.0059780 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T13:03:02.335+0000: 187.421: [GC [PSYoungGen: 131060K->1312K(133056K)] 159289K->29590K(820032K), 0.0077250 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T13:03:04.026+0000: 189.112: [GC [PSYoungGen: 129178K->1088K(126912K)] 157456K->29414K(813888K), 0.0041560 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T13:03:05.675+0000: 190.761: [GC [PSYoungGen: 126848K->1088K(128128K)] 155174K->29446K(815104K), 0.0034460 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T13:03:07.540+0000: 192.626: [GC [PSYoungGen: 124767K->1784K(123520K)] 153125K->30174K(810496K), 0.0035730 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T13:03:10.990+0000: 196.076: [GC [PSYoungGen: 123512K->918K(123648K)] 151902K->29371K(810624K), 0.0030460 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T13:03:11.184+0000: 196.270: [GC [PSYoungGen: 120726K->936K(118912K)] 149179K->29421K(805888K), 0.0033820 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T13:03:11.390+0000: 196.476: [GC [PSYoungGen: 118888K->1056K(119424K)] 147373K->29629K(806400K), 0.0028280 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T13:03:11.745+0000: 196.831: [GC [PSYoungGen: 117216K->1536K(115968K)] 145789K->30142K(802944K), 0.0055530 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
