2014-07-08T16:43:56.610+0000: 22.487: [GC [PSYoungGen: 257728K->23048K(300608K)] 257728K->23056K(987584K), 0.0642030 secs] [Times: user=0.27 sys=0.03, real=0.07 secs] 
2014-07-08T16:44:00.607+0000: 26.485: [GC [PSYoungGen: 280776K->25397K(300608K)] 280784K->25413K(987584K), 0.0124660 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2014-07-08T16:44:02.526+0000: 28.404: [GC [PSYoungGen: 283125K->28135K(300608K)] 283141K->28151K(987584K), 0.0200710 secs] [Times: user=0.11 sys=0.01, real=0.02 secs] 
2014-07-08T16:44:04.376+0000: 30.253: [GC [PSYoungGen: 285863K->31869K(300608K)] 285879K->31893K(987584K), 0.0237850 secs] [Times: user=0.13 sys=0.01, real=0.02 secs] 
2014-07-08T16:44:06.040+0000: 31.918: [GC [PSYoungGen: 289597K->35837K(287168K)] 289621K->35869K(974144K), 0.0141280 secs] [Times: user=0.08 sys=0.01, real=0.02 secs] 
2014-07-08T16:44:07.606+0000: 33.483: [GC [PSYoungGen: 287165K->34153K(279360K)] 287197K->39199K(966336K), 0.0260990 secs] [Times: user=0.18 sys=0.00, real=0.02 secs] 
2014-07-08T16:44:09.193+0000: 35.070: [GC [PSYoungGen: 279337K->15383K(287680K)] 284383K->42478K(974656K), 0.0370050 secs] [Times: user=0.24 sys=0.03, real=0.04 secs] 
2014-07-08T16:44:11.598+0000: 37.475: [GC [PSYoungGen: 260567K->12076K(533184K)] 287662K->44499K(1220160K), 0.0117980 secs] [Times: user=0.07 sys=0.02, real=0.01 secs] 
2014-07-08T16:44:17.323+0000: 43.200: [GC [PSYoungGen: 501100K->7202K(480256K)] 533523K->45504K(1167232K), 0.0137180 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2014-07-08T16:44:22.854+0000: 48.731: [GC [PSYoungGen: 480226K->3905K(491776K)] 518528K->46763K(1178752K), 0.0111330 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2014-07-08T16:44:27.909+0000: 53.786: [GC [PSYoungGen: 461633K->2566K(445760K)] 504491K->47725K(1132736K), 0.0053450 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T16:44:32.857+0000: 58.735: [GC [PSYoungGen: 445702K->3036K(464256K)] 490861K->49054K(1151232K), 0.0131250 secs] [Times: user=0.07 sys=0.01, real=0.02 secs] 
2014-07-08T16:44:37.850+0000: 63.727: [GC [PSYoungGen: 432220K->2241K(418112K)] 478238K->49819K(1105088K), 0.0084260 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T16:44:42.866+0000: 68.743: [GC [PSYoungGen: 418049K->2354K(437632K)] 465627K->50362K(1124608K), 0.0079950 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T16:44:47.652+0000: 73.530: [GC [PSYoungGen: 405362K->2205K(392960K)] 453370K->50784K(1079936K), 0.0137230 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
2014-07-08T16:44:51.943+0000: 77.821: [GC [PSYoungGen: 392925K->1874K(411904K)] 441504K->51154K(1098880K), 0.0111730 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
2014-07-08T16:44:56.505+0000: 82.382: [GC [PSYoungGen: 380882K->1914K(369664K)] 430162K->51486K(1056640K), 0.0051650 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-08T16:45:00.802+0000: 86.679: [GC [PSYoungGen: 369658K->2116K(387456K)] 419230K->52113K(1074432K), 0.0059260 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T16:45:04.890+0000: 90.768: [GC [PSYoungGen: 359060K->2407K(349120K)] 409057K->52821K(1036096K), 0.0062690 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T16:45:07.250+0000: 93.127: [GC [PSYoungGen: 349095K->2412K(364224K)] 399509K->52979K(1051200K), 0.0075350 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T16:45:10.145+0000: 96.023: [GC [PSYoungGen: 339180K->2222K(329472K)] 389747K->52930K(1016448K), 0.0079580 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-08T16:45:14.076+0000: 99.954: [GC [PSYoungGen: 329454K->2490K(342656K)] 380162K->53336K(1029632K), 0.0068170 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-08T16:45:17.651+0000: 103.528: [GC [PSYoungGen: 320570K->2159K(311488K)] 371416K->53286K(998464K), 0.0101760 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
