2014-07-08T15:29:33.807+0000: 22.644: [GC [PSYoungGen: 257728K->18967K(300608K)] 257728K->18975K(987584K), 0.0730490 secs] [Times: user=0.15 sys=0.02, real=0.07 secs] 
2014-07-08T15:29:37.058+0000: 25.895: [GC [PSYoungGen: 276695K->20996K(300608K)] 276703K->21012K(987584K), 0.0229520 secs] [Times: user=0.15 sys=0.02, real=0.02 secs] 
2014-07-08T15:29:39.085+0000: 27.922: [GC [PSYoungGen: 278724K->21204K(300608K)] 278740K->21228K(987584K), 0.0115280 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T15:29:40.829+0000: 29.666: [GC [PSYoungGen: 278932K->21092K(300608K)] 278956K->21124K(987584K), 0.0069520 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2014-07-08T15:29:42.649+0000: 31.486: [GC [PSYoungGen: 278820K->21108K(272448K)] 278852K->21140K(959424K), 0.0153130 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2014-07-08T15:29:44.454+0000: 33.291: [GC [PSYoungGen: 272436K->21793K(267008K)] 272468K->22071K(953984K), 0.0295320 secs] [Times: user=0.19 sys=0.01, real=0.03 secs] 
2014-07-08T15:29:45.949+0000: 34.786: [GC [PSYoungGen: 266977K->7393K(246656K)] 267255K->27305K(933632K), 0.0192300 secs] [Times: user=0.05 sys=0.02, real=0.02 secs] 
2014-07-08T15:29:47.672+0000: 36.509: [GC [PSYoungGen: 246625K->10337K(255232K)] 266537K->30546K(942208K), 0.0048250 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-08T15:29:50.619+0000: 39.456: [GC [PSYoungGen: 243873K->11435K(239488K)] 264082K->32649K(926464K), 0.0090810 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2014-07-08T15:29:53.167+0000: 42.004: [GC [PSYoungGen: 239467K->5513K(246336K)] 260681K->34766K(933312K), 0.0058420 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
2014-07-08T15:29:55.973+0000: 44.810: [GC [PSYoungGen: 228196K->2854K(220480K)] 257449K->35895K(907456K), 0.0074630 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2014-07-08T15:29:58.359+0000: 47.196: [GC [PSYoungGen: 220454K->2623K(238016K)] 253495K->37219K(924992K), 0.0068650 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-08T15:30:00.712+0000: 49.549: [GC [PSYoungGen: 215295K->2765K(210688K)] 249891K->38221K(897664K), 0.0122450 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2014-07-08T15:30:03.030+0000: 51.868: [GC [PSYoungGen: 210637K->2187K(228544K)] 246093K->38911K(915520K), 0.0052120 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
